Property,Stand_name,Stand_code,City,County,State,Owner,Ownership_cat,Harvest_status,Dates_sampled,num_plots,sample_lat,sample_long,treatment_type,harvest_start_year,harvest_end_year,notes,EAB_present,bedrock_type,calcium_rich,forest_type,Treatment
Stoner Woodlot,Stoner Woodlot,SW,Greensboro,Orleans,VT,Stoner family,private,not cut,7/29/2020,4,44.630491,-72.308431,na,na,na,,no,phyllite (Dsw),no,RNH,unharvested
October Mountain State Forest,Heaphy Richardson Lot,OMSFHR,Becket,Berkshire,MA,Massachusetts Department of Conservation & Recreation,public_state,cut,8/10/2020,6,42.293703,-73.148634,thinning_focus,2017,2019,,yes,mafic,no,NH,removal
October Mountain State Forest,Schoolhouse Lot BB stand,OMSFSCH,Washington,Berkshire,MA,Massachusetts Department of Conservation & Recreation,public_state,cut,8/11/2020,6,42.331395,-73.178923,thinning_focus,2015,2016,,yes,mafic,no,NH,removal
October Mountain State Forest,County Rd ash salvage,OMSFCR,Washington,Berkshire,MA,Massachusetts Department of Conservation & Recreation,public_state,cut,"8/11/20, 8/12/20",6,42.342766,-73.17579,thinning_focus,2019,2019,,yes,Grenville granite,no,NH,removal
Otis State Forest,Clam Dam unit 1,OSFCD1,Sandisfield,Berkshire,MA,Massachusetts Department of Conservation & Recreation,public_state,cut,8/12/2020,6,42.143487,-73.103846,thinning_focus,2018,2019,,yes,Grenville granite,no,NH,removal
Otis State Forest,Clam Dam unit 3,OSFCD3,Sandisfield,Berkshire,MA,Massachusetts Department of Conservation & Recreation,public_state,not cut,8/12/2020,4,42.134764,-73.106876,na,na,na,,yes,"metamorphic rocks, other",no,NH,unharvested
Pittsfield State Forest,Potter Mtn Rd. Hancock Unit,PSFPMH,Hancock,Berkshire,MA,Massachusetts Department of Conservation & Recreation,public_state,cut,8/13/2020,6,42.531607,-73.299895,thinning_focus,2017,2018,"also mentions establishing white ash regen as a secondary goal, but PRIMARY goal si dramatic reduction of ash BA",yes,pelitic rocks,no,NH,removal
Balance Rock State Park,Balance Rock State Park,BRSP,Lanesborough,Berkshire,MA,Massachusetts Department of Conservation & Recreation,public_state,not cut,8/13/2020,4,42.512145,-73.273545,na,na,na,,yes,carbonate rocks,yes,RNH,unharvested
Dennis Hill State Park,Dennis Hill State Park stand 1,DHSP,Norfolk,Litchfield,CT,Connecticut Department of Energy and Environmental Protection,public_state,cut,8/17/2020,6,41.952397,-73.202839,thinning_focus,2019,2019,not a ton of info but mentions presalvage; was very heavy ash before,yes,schist (Cmcu),no,NH,removal
Haystack Mountain State Park,Haystack Mountain State Park,HMSP,Norfolk,Litchfield,CT,Connecticut Department of Energy and Environmental Protection,public_state,to be cut,8/17/2020,4,42.000183,-73.20611,na,na,na,,yes,gneiss (Ygn),no,NH,unharvested
Housatonic State Forest,Housatonic State Forest stand 16-1,HSF161,West Cornwall,Litchfield,CT,Connecticut Department of Energy and Environmental Protection,public_state,cut,8/18/2020,6,41.888405,-73.389575,thinning_focus,2018,2018,,yes,gneiss (Ygn),no,NH,removal
Algonquin State Forest,Algonquin State Forest stand 1-14,ASF114,Colebrook,Litchfield,CT,Connecticut Department of Energy and Environmental Protection,public_state,not cut,8/18/2020,4,42.007076,-73.061526,na,na,na,,yes,gneiss (Ygr),no,NH,unharvested
Sandisfield State Forest,York Lake stand 2,SSFYL2,Sandisfield,Berkshire,MA,Massachusetts Department of Conservation & Recreation,public_state,cut,8/19/2020,6,42.09893,-73.175334,thinning_focus,2014,2016,many MA stands (& others) mention BBD as a primary motivator & EAB/ash (pre)salvage as secondary,yes,"metamorphic rocks, other",no,RNH,removal
Tunxis State Forest,Tunxis State Forest stand 49,TSF49,Hartland,Litchfield,CT,Connecticut Department of Energy and Environmental Protection,public_state,to be cut,8/19/2020,4,42.024529,-73.003068,na,na,na,,yes,gneiss (Ygn),no,RNH,unharvested
October Mountain State Forest,Sherlock Lot 2014,OMSFSH14,Washington,Berkshire,MA,Massachusetts Department of Conservation & Recreation,public_state,cut,"8/19/20, 8/20/20",6,42.340358,-73.141043,thinning_focus,2015,2015,,yes,Grenville granite,no,NH,removal
October Mountain State Forest,Sherlock Lot 2017,OMSFSH17,Washington,Berkshire,MA,Massachusetts Department of Conservation & Recreation,public_state,cut,8/20/2020,6,42.337194,-73.145947,thinning_focus,2019,2020,,yes,Grenville granite,no,NH,removal
Kearsarge Mountain State Forest,Kearsarge Mountain State Forest comp 4 stand 26,KMSF,Wilmot,Merrimack,NH,New Hampshire Department of Natural and Cultural Resources,public_state,not cut,9/15/2020,4,43.39086,-71.86721,na,na,na,,yes,metaturbidite (Dlu),no,NH,unharvested
Shaker State Forest,Shaker State Forest,SSF1,Canterbury,Merrimack,NH,New Hampshire Department of Natural and Cultural Resources,public_state,cut,"9/15/20, 9/16/20",7,43.377916,-71.462535,thinning_focus,2015,2015,,yes,metapelite (Srl),no,NH,removal
Cardigan Mountain State Forest,Cardigan Mountain State Forest comp 1 stand 1,CMSF11,Orange,Grafton,NH,New Hampshire Department of Natural and Cultural Resources,public_state,not cut,9/16/2020,4,43.670428,-71.933773,na,na,na,,yes,metaturbidite (Dlu),no,NH,unharvested
Cardigan Mountain State Forest,Cardigan Mountain State Forest comp 6 stand 2,CMSF62,Orange,Grafton,NH,New Hampshire Department of Natural and Cultural Resources,public_state,not cut,9/17/2020,4,43.647182,-71.939423,na,na,na,,yes,metaturbidite (Dlu),no,NH,unharvested
