"","plot_ID","X","harvest_status","live_biomass","cut_biomass","propbiocut","seedling_richness","seedling_shannon","seedling_density","saplings_richness","saplings_shannon","saplings_tally"
"1","ASF114unh1",1,"NO",8713.01970704381,0,0,3,0.979971182083305,4.66666666666667,4,1.18495335734272,25
"2","ASF114unh2",2,"NO",12519.4576188903,0,0,2,0.500402423538188,1.66666666666667,2,0.410116318288409,7
"3","ASF114unh3",3,"NO",12741.2459076137,0,0,2,0.500402423538188,1.66666666666667,2,0.173205206749177,24
"4","ASF114unh4",4,"NO",12880.8759636024,0,0,1,0,1,2,0.223718076065834,17
"5","BRSPunh1",5,"NO",12626.7528616396,0,0,5,1.46481638489081,3,7,1.64619609854564,21
"6","BRSPunh2",6,"NO",9748.66118441989,0,0,3,0.955699891112534,2.33333333333333,6,1.60026540892541,20
"7","BRSPunh3",7,"NO",9357.44835128672,0,0,3,0.950270539233235,1.66666666666667,5,1.47984841847686,18
"8","BRSPunh4",8,"NO",11248.6241275868,0,0,1,0,0.333333333333333,3,0.687092027379972,13
"9","CH138gap1",9,"YES",5019.71227752915,3830.28965818835,0.432800996656259,2,0.693147180559945,4,5,0.90028114319122,28
"10","CH138gap2",10,"YES",527.672614249285,8597.69813892333,0.942175213640955,5,1.52295506753132,3,5,1.06775039604875,44
"11","CH138gap3",11,"YES",3148.83631101764,3642.78954992711,0.536364874112836,4,0.91707556933998,21.3333333333333,7,1.26513319352348,73
"12","CH138mat1",12,"YES",9635.07224334419,3150.69662033095,0.246422147461323,2,0.173205206749177,8,3,0.58242568719587,35
"13","CH138mat2",13,"YES",7692.37915280537,4656.39507790696,0.377073464208792,1,0,5.33333333333333,3,0.326442040956666,38
"14","CH138mat3",14,"YES",7934.70159799773,5629.49098331011,0.415025881530748,5,0.884398220874533,14.6666666666667,5,1.09082822231732,54
"15","CH138mat4",15,"YES",5710.88128634163,6571.77612488802,0.535045137616527,6,1.36115087168543,12,8,1.56199955027129,44
"16","CH145unh1",16,"NO",11299.6482598404,226.031063485059,0.019611083836735,2,0.686961576597323,15,5,1.46147212930402,16
"17","CH145unh2",17,"NO",8161.52089283953,0,0,2,0.110453046672598,14.3333333333333,4,1.27302833658963,9
"18","CH145unh3",18,"NO",9852.94708792284,0,0,2,0.223718076065834,5.66666666666667,2,0.286835983056161,12
"19","CH145unh4",19,"NO",10213.2161659902,0,0,4,0.672296228090859,8.66666666666667,3,1.00424247305408,7
"20","CH2214unh1",20,"NO",8567.22262735347,0,0,2,0.271189373041844,4.33333333333333,2,0.450561208866305,12
"21","CH2214unh2",21,"NO",9815.27663541655,0,0,2,0.325082973391448,3.33333333333333,3,0.779277120604701,29
"22","CH2214unh3",22,"NO",8290.49674855048,0,0,4,0.723779742996018,42.3333333333333,6,1.40521213923333,24
"23","CH2214unh4",23,"NO",10687.1151022254,0,0,1,0,62.3333333333333,4,1.09059947377948,13
"24","CH224gap1",24,"YES",4327.37823921818,2452.47022666318,0.361729357080013,4,0.690456531384835,8.33333333333333,6,1.33866528511847,35
"25","CH224gap2",25,"YES",5771.28800611722,3523.04875284265,0.379053271277951,2,0.429323021930616,4.33333333333333,4,1.242453324894,12
"26","CH224gap3",26,"YES",2449.47106142074,8367.85351216258,0.77356036192142,5,0.963828035269486,20,6,1.40981042667391,32
"27","CH224mat1",27,"YES",8101.925140637,0,0,2,0.112515934119639,14,6,1.67262544615032,11
"28","CH224mat2",28,"YES",7516.78537075642,521.391074523412,0.0648643480362493,5,0.332940712262338,20.3333333333333,3,0.485094091302212,30
"29","CH224mat3",29,"YES",4149.91542825273,2499.97768495591,0.375942536578553,3,0.876199457463585,7.66666666666667,6,1.57409733684897,14
"30","CH231unh1",30,"NO",12580.1993169247,0,0,2,0.304636097349238,14.6666666666667,2,0.206192050633232,19
"31","CH231unh2",31,"NO",8879.76255979815,0,0,3,0.130281794200603,27.6666666666667,4,1.19445300632336,15
"32","CH231unh3",32,"NO",9181.21294399863,0,0,3,0.76475441956742,5,6,1.63493193615331,30
"33","CH231unh4",33,"NO",6366.31454625195,0,0,3,1.03972077083992,1.33333333333333,5,1.09077847021539,25
"34","CMSF11unh1",34,"NO",8674.86901887979,0,0,4,1.12095039267358,3.66666666666667,8,1.44279169536492,45
"35","CMSF11unh2",35,"NO",11506.9601419096,0,0,4,1.05878721718557,6,7,1.52895933538291,29
"36","CMSF11unh3",36,"NO",16244.4717391557,0,0,5,1.47080847632211,3.33333333333333,4,1.1573732982229,16
"37","CMSF11unh4",37,"NO",4147.22975589631,0,0,6,1.63263092715435,4,7,1.56342457497185,33
"38","CMSF62unh1",38,"NO",6412.20588258816,0,0,NA,0,NA,5,1.28557245128781,23
"39","CMSF62unh2",39,"NO",6979.36782133132,96.1433145049738,0.0135881793780274,2,0.562335144618808,1.33333333333333,4,1.20314638081895,24
"40","CMSF62unh3",40,"NO",10457.9051278163,0,0,2,0.562335144618808,2.66666666666667,7,1.66677498676988,26
"41","CMSF62unh4",41,"NO",8687.07178106657,0,0,1,0,1.66666666666667,6,1.54815599700551,23
"42","CWEunh1",42,"NO",9977.36556863572,140.62267485081,0.0138982840725612,2,0.636514168294813,1,2,0.585952618303551,11
"43","CWEunh2",43,"NO",10432.2686295729,34.8567854245448,0.00333012016600102,3,0.501046913759097,7,2,0.621086374555245,16
"44","CWEunh3",44,"NO",9182.22461255509,0,0,1,0,7,2,0.450561208866305,6
"45","CWEunh4",45,"NO",6378.22893842554,0,0,2,0.548874384484994,7,3,1.02505761375874,25
"46","DHSPgap1",46,"YES",2319.24622443157,6323.66933470599,0.731659275326415,3,1.09861228866811,1,4,1.11874333598575,12
"47","DHSPgap2",47,"YES",5219.9318131277,4916.26007077991,0.485020422569648,2,0.693147180559945,0.666666666666667,3,1.01140426470735,6
"48","DHSPgap3",48,"YES",5623.11012644521,11395.3917627828,0.669588418355179,1,0,0.333333333333333,2,0.693147180559945,4
"49","DHSPmat1",49,"YES",5587.76412543071,7278.12885809059,0.56569169877384,2,0.693147180559945,0.666666666666667,4,0.98689944883853,16
"50","DHSPmat2",50,"YES",5800.04795816909,5866.40976498545,0.502844128371745,2,0.693147180559945,0.666666666666667,1,0,14
"51","DHSPmat3",51,"YES",9005.55082106103,2690.29144575083,0.230021180551041,2,0.500402423538188,3.33333333333333,4,1.1889247904867,25
"52","GMAgap1",52,"YES",5808.98889030253,580.895902083205,0.0909086659551996,1,0,0.333333333333333,5,1.32836876211575,61
"53","GMAgap2",53,"YES",1631.97730473015,3561.1140873472,0.68574069248619,2,0.636514168294813,2,4,1.0755091309005,77
"54","GMAmat1",54,"YES",8673.17418562001,2282.71931431105,0.208355376430541,4,1.242453324894,2,6,1.34668505051633,61
"55","GMAmat2",55,"YES",6641.18413404036,2138.95404885364,0.243612800197254,2,0.673011667009257,1.66666666666667,7,1.49421101004101,72
"56","GMCBgap1",56,"YES",4930.17357592359,7000.85113493932,0.586777020800671,7,1.16697337334354,9.33333333333333,5,1.28549822344005,55
"57","GMCBgap2",57,"YES",3336.15338143568,6813.61491854494,0.671307434531087,5,1.0650848338288,9.66666666666667,7,1.0920435283759,76
"58","GMCBgap3",58,"YES",3474.07887701718,3965.57177781704,0.533031987898551,5,1.5127993916368,30,5,1.32747927223841,114
"59","GMCBmat1",59,"YES",4751.53392794347,1512.16646072604,0.241417431692841,2,0.486912709464602,7,3,0.908616347345788,25
"60","GMCBmat2",60,"YES",5171.98467889018,3287.05782603074,0.38858509389432,4,1.07560416410853,9.66666666666667,4,1.20033067661529,57
"61","GMCBmat3",61,"YES",5820.4768003249,1005.09778229162,0.147254677262104,5,1.37213610805361,8,4,1.19436589516269,55
"62","GMMTgap1",62,"YES",2671.86209282298,6630.07474961428,0.712762821541271,7,1.27558253022012,14.3333333333333,6,1.40242058549396,35
"63","GMMTgap2",63,"YES",4353.48682628158,746.239809560761,0.146329374660197,3,0.89794572485678,3.33333333333333,4,1.21912395755847,40
"64","GMMTgap3",64,"YES",4166.99574284446,6683.30608186175,0.615955776146597,1,0,0.333333333333333,4,0.661081832936551,66
"65","GMMTmat1",65,"YES",3856.12053468485,3400.95850493385,0.468640135565141,2,0.500402423538188,1.66666666666667,4,1.25096461752725,21
