plot_ID,ABBA,ACER,ACPE,ACRU,ACSA,BEAL,BELE,BENI,BEPA,BEPO,BESP,CACA,CACO,CAOV,FAGR,FRAM,FRNI,HAVI,OSVI,PIRU,PISP,PIST,PODE,POGR,POTR,PRPE,PRSE,QURU,ROPS,THOC,TIAM,TSCA,ULAM,ULRU,ULSP,UNK
CH224mat2,0,0,0,0,0.631785278,0,0,0,0,0,0,0,0,0,0,0.247112966,0,0,0,0,0,0,0.179450914,0,0,0,0,0,0,0,0,0,0,0,0,0
CH224mat3,0,0,0,0,0.203481742,0,0,0,0,0,0,0,0,0,0.008171282,0.355642426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH231unh1,0,0,0,0,0.374590942,0.125023607,0,0,0,0,0,0,0,0,0.172293581,1.09237889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH231unh2,0,0,0,0,0.603436332,0,0,0,0,0,0,0,0,0,0,0.621330843,0,0,0.021642432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH231unh3,0,0,0,0,0.541720529,0.012468981,0,0,0,0,0,0,0,0,0.114608442,0.715496156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH231unh4,0,0,0,0.256213374,0.231946142,0.11282009,0,0,0,0,0,0,0,0,0,0.324609773,0,0,0,0,0,0,0,0,0,0,0.0710212,0.010568318,0,0,0,0,0,0,0,0
CMSF11unh1,0.149379589,0,0,0.245755798,0.560984775,0,0,0,0.124410211,0,0,0,0,0,0,0.25425302,0,0,0,0.038099665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMSF11unh2,0.105011661,0,0,0.348730922,0.338760292,0,0,0,0.064242428,0,0,0,0,0,0,0.709730548,0,0,0,0,0,0,0,0,0.125036173,0,0,0,0,0,0,0,0,0,0,0
CMSF11unh3,0,0,0,0,0.720900481,0.042273271,0,0,0.084010115,0,0,0,0,0,0,0.835907119,0,0,0,0.139216537,0,0,0,0,0,0,0,0,0,0,0.027465374,0,0,0,0,0
CMSF11unh4,0.139009977,0,0,0.012076282,0.085291884,0,0,0,0,0,0,0,0,0,0,0.45188276,0,0,0,0.044761412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMSF62unh1,0,0,0.034438924,0.032365473,0.144359324,0,0,0,0.122542534,0,0,0,0,0,0.020106193,0.577043026,0,0,0,0.091439981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMSF62unh2,0.089034307,0,0.012076282,0,0.346844395,0,0,0,0,0,0,0,0,0,0.010028749,0.649824303,0,0,0,0.170213061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078923876
CMSF62unh3,0.012468981,0,0,0.010568318,0.902691096,0,0,0,0.240181827,0,0,0,0,0,0.072235425,0.132025431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMSF62unh4,0.011309734,0,0.008171282,0.493504151,0.153216259,0,0,0,0.316425924,0,0,0,0,0,0.203935702,0.110446617,0,0,0,0.018145839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWEunh1,0,0,0,0,0.461215647,0,0,0,0,0,0,0,0,0,0.476852139,0.316495039,0,0,0.088188433,0,0,0,0,0,0,0,0,0,0,0,0,0.016286016,0,0,0,0
CWEunh2,0,0,0,0,0.582536886,0,0,0,0,0,0,0,0,0,0,0.927120906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWEunh3,0,0,0,0,0.59446787,0,0,0,0,0,0,0,0,0,0,0.893292236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWEunh4,0,0,0,0,0.127038153,0,0,0,0,0,0,0,0,0,0.015614501,0.819155362,0,0,0.16853545,0,0,0,0,0,0,0,0,0,0,0,0.058964553,0,0,0,0,0
DHSPgap1,0,0,0,0,0.363011031,0.008824734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHSPgap2,0,0,0,0.011122023,0.258824038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361034969,0,0,0,0,0,0,0,0,0
DHSPgap3,0,0,0,0.302348448,0,0.124410211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183984232,0,0,0,0,0,0.181710504,0,0,0,0,0,0,0,0
DHSPmat1,0,0,0,0,0.261997832,0,0,0,0,0,0,0,0,0,0,0.353618454,0,0,0,0,0,0,0,0,0,0,0.159750772,0,0,0,0,0,0,0,0,0
