plot_ID,azimuth,species,diam_cm,decay_class,
CH138gap3,120,UNK,15.5,3,
CH138gap3,0,UNK,10.8,2,
CH138mat3,0,UNK,7.4,4,
CH138mat3,0,UNK,11.7,3,
CH138mat3,0,FAGR,7.4,1,
CH138mat3,0,UNK,12,3,
CH138mat3,0,UNK,7.6,5,
CH138mat3,120,UNK,20.5,3,
CH138mat3,120,TIAM,9.7,2,
CH138mat3,120,TIAM,14.4,2,
CH138mat3,120,TIAM,15.9,2,
CH138mat3,120,UNK,12,3,
CH138mat3,120,ACSA,10.7,2,
CH138mat3,240,UNK,7.1,3,
CH138mat3,240,ACSA,11.6,2,
CH138mat4,0,UNK,8.4,2,
CH138mat4,0,UNK,10.1,3,
CH138mat4,0,UNK,5.6,3,
CH138mat4,120,UNK,23.8,2,
CH138mat4,120,UNK,28.4,5,
CH145unh1,0,UNK,9.1,3,
CH145unh1,240,UNK,19.2,4,
CH145unh1,240,UNK,20.9,5,
CH145unh1,240,BEAL,15.6,3,
CH2214unh4,240,ACSA,17.6,3,
CH2214unh4,240,ACSA,21.7,4,
CH224gap1,0,UNK,9.8,1,
CH224gap1,0,ACSA,14.3,2,
CH224gap1,0,ACSA,6.1,2,
CH224gap1,120,ACSA,7.3,1,
CH224gap1,120,ACSA,6.8,1,
CH224gap1,120,ACSA,13.9,2,
CH224gap1,120,UNK,14.5,2,
CH224gap1,120,UNK,10.1,2,
CH224gap1,120,UNK,7.1,2,
MP19gap4 ,0,UNK,4.9,1,
MP19gap4 ,0,UNK,3.7,1,
MP19gap4 ,0,ACSA,12.2,2,
MP19gap4 ,0,UNK,11.6,1,
MP19gap4 ,0,ACSA,10.1,2,
MP19gap4 ,0,ACSA,13.6,2,
MP19gap4 ,0,ACSA,12.8,2,
MP19gap4 ,0,UNK,16.9,1,
MP19gap4 ,120,UNK,11.4,2,
MP19gap4 ,120,FAGR,10.7,1,
MP19gap4 ,120,FAGR,8.1,1,
MP19gap4 ,120,FAGR,5.1,1,
MP19gap4 ,120,UNK,18.7,2,
MP19gap4 ,120,UNK,7.8,2,
MP19gap4 ,240,ACSA,5.6,1,
MP19gap4 ,240,ACSA,21.8,3,
GMCBmat2,0,BEAL,4.4,2,
GMCBmat2,0,BEAL,6.6,2,
GMCBgap3,120,FAGR,8.2,2,
GMCBgap3,120,UNK,13.3,3,
GMCBgap3,240,FAGR,11.2,3,
GMCBgap3,240,FAGR,5.9,2,
GMCBgap3,240,FAGR,18.9,1,
GMCBgap3,240,FAGR,10.8,2,
GMCBgap3,0,FAGR,7.5,2,
GMCBgap3,0,FAGR,23.1,2,
GMCBgap3,120,ACPE,7.2,2,
GMCBgap3,120,FRAM,20.1,2,
GMCBmat3,0,UNK,8.6,3,
GMCBmat3,120,UNK,5.9,3,
GMCBmat3,120,UNK,6,2,
GMCBmat3,120,FRAM,11.9,2,
GMCBmat3,120,UNK,12.6,4,
GMCBmat3,120,ACPE,7.4,3,
GMCBmat3,120,ACPE,16.4,2,
GMCBmat3,240,UNK,15.7,5,
GMAmat1,120,FAGR,15.3,3,
GMAmat1,240,UNK,10,4,
GMAgap1,120,FRAM,15.7,3,
GMAgap1,120,FRAM,12.4,2,
GMAgap1,120,FRAM,14,2,
GMAgap1,120,UNK,14.6,2,
GMAgap1,120,FRAM,15.3,3,
GMAgap1,120,FRAM,26.6,4,
GMAgap1,120,UNK,15.5,2,
GMAgap1,120,FRAM,19.4,2,
GMAgap1,120,FRAM,35.1,2,
GMAgap1,120,FAGR,19.8,3,
GMAgap1,120,FAGR,8.3,2,
GMAgap1,120,UNK,5.6,3,
GMAgap1,0,ACSA,15.6,3,
GMAgap1,0,UNK,7.1,3,
GMAgap1,0,FRAM,33.8,3,
GMAgap1,0,FRAM,6.7,3,
GMAgap1,240,UNK,10.8,3,
GMAmat2,0,BEPA,19.1,4,
GMAmat2,120,FRAM,10.8,3,
GMAmat2,120,UNK,12,2,
GMAmat2,120,BEPA,22.3,2,
GMAmat2,120,FRAM,20.1,2,
GMAmat2,240,BEPA,7.8,3,
GMAmat2,240,BEAL,23.4,2,
GMAgap2,240,FAGR,38,3,
GMAgap2,240,UNK,11,4,
GMAgap2,240,UNK,12.5,5,
GMAgap2,240,FAGR,29,1,
GMAgap2,240,FAGR,4.6,1,
GMAgap2,240,FAGR,3.5,1,
GMAgap2,240,UNK,12.9,5,
GMAgap2,240,UNK,18.2,5,
GMAgap2,240,UNK,11.5,2,
GMAgap2,240,UNK,17.4,5,
GMAgap2,0,UNK,43.6,3,
GMAgap2,120,BEAL,9.3,3,
GMAgap2,120,BEPA,17.9,3,
GMRB5unh1,0,ACPE,9.7,2,
GMRB5unh1,240,ACRU,8.7,1,
GMRB5unh1,240,ACRU,9.4,1,
GMRB5unh1,240,ACRU,3.7,1,
GMRB5unh1,240,UNK,6.9,3,
GMRB5unh1,240,UNK,10,3,
GMRB5unh2,0,UNK,20.7,3,
GMRB5unh2,0,UNK,23.5,3,
GMRB5unh2,120,UNK,17.4,4,
GMRB5unh2,120,ACSP,17.1,4,
GMRB5unh2,240,UNK,19,5,
GMRB5unh2,240,UNK,7.8,4,
GMRB5unh3,120,UNK,4,3,
GMRB5unh3,120,UNK,3.4,3,
GMRB5unh4,0,UNK,10.7,4,
GMRB5unh4,0,UNK,9.3,5,
GMRB6unh1,0,UNK,10.7,5,
GMRB6unh1,120,UNK,3,4,
GMRB6unh1,120,UNK,10.2,4,
GMRB6unh1,240,UNK,10,3,
GMRB6unh1,240,UNK,16.2,5,
GMRB6unh2,120,ACSA,11.1,3,
GMRB6unh2,240,ACSA,6.7,2,
GMRB6unh3,0,UNK,3.5,4,
GMRB6unh3,120,FRAM,10.9,3,
GMRB6unh3,120,FRAM,16.5,2,
GMRB6unh4,0,FAGR,6,2,
GMRB6unh4,120,ACSA,6.9,2,
GMRB6unh4,120,UNK,10.9,4,
GMRB6unh4,240,BEAL,7,4,
GMMTmat1,0,ACSA,5.6,1,
GMMTmat1,0,UNK,14.8,4,
GMMTmat1,0,FAGR,7.5,1,
GMMTmat1,0,FAGR,4.4,1,
GMMTmat1,0,FAGR,8.3,1,
GMMTmat1,120,FAGR,1.1,1,
GMMTmat1,120,FAGR,1.5,1,
GMMTmat1,120,FAGR,1.1,1,
GMMTmat1,120,FAGR,1,1,
GMMTmat1,120,FAGR,0.5,1,
GMMTmat1,120,FAGR,2.9,2,
GMMTmat1,120,FAGR,3.7,2,
GMMTmat1,120,FAGR,5.9,2,
GMMTmat1,240,ACSA,10.5,1,
GMMTmat1,240,FAGR,6.5,1,
GMMTmat1,240,FAGR,2.2,1,
GMMTmat1,240,FAGR,9.6,1,
GMMTmat1,240,UNK,9.7,1,
GMMTmat1,240,FAGR,15.3,1,
GMMTmat1,240,FAGR,5.6,1,
GMMTgap1,240,FAGR,20.4,1,
GMMTgap1,240,FAGR,2.6,1,
GMMTgap1,240,FAGR,5.2,1,
GMMTgap1,240,FAGR,2.7,1,
GMMTgap1,240,FAGR,1.9,1,
GMMTgap1,240,ACPE,4.4,1,
GMMTgap1,240,FAGR,2.1,1,
GMMTgap1,240,ACSA,2.9,1,
GMMTgap1,240,ACSA,6.8,1,
GMMTgap1,240,UNK,22,4,
GMMTgap1,0,FAGR,6.5,2,
GMMTgap1,0,FAGR,4.6,1,
GMMTgap1,0,ACSA,47.6,1,
GMMTgap1,120,ACSA,9.2,1,
GMMTgap1,120,ACSA,12.2,1,
GMMTgap1,120,FAGR,3.2,2,
GMMTgap1,120,UNK,17.9,5,
GMMTmat2,120,UNK,10.1,2,
GMMTmat2,120,ACPE,6.2,1,
GMMTmat2,120,ACPE,11.9,1,
GMMTmat2,0,FAGR,12.7,1,
GMMTmat2,0,UNK,22.8,3,
GMMTmat2,0,UNK,24.4,2,
GMMTmat2,0,FAGR,1.4,1,
GMMTmat2,0,FAGR,2.5,1,
GMMTmat2,0,FAGR,2.4,1,
GMMTmat2,0,FAGR,5.9,1,
GMMTmat2,0,FAGR,2.1,1,
GMMTmat2,0,FAGR,2.1,1,
GMMTmat2,0,FAGR,2.1,1,
GMMTgap2,120,FAGR,9.7,1,
GMMTgap2,120,FAGR,11.7,1,
GMMTgap2,120,FAGR,13.6,1,
GMMTgap2,120,FAGR,4.2,1,
GMMTgap2,120,FAGR,2.7,1,
GMMTgap2,120,FAGR,1.9,1,
GMMTgap2,120,FAGR,1.1,1,
GMMTgap2,120,FAGR,0.8,1,
GMMTgap2,120,FAGR,0.4,1,
GMMTgap2,120,FAGR,0.6,1,
GMMTgap2,240,UNK,15.2,2,
GMMTgap2,240,FAGR,12.4,2,
GMMTgap2,240,PRSE,30.4,2,
GMMTgap2,240,FAGR,18.5,1,
GMMTgap3,0,UNK,11.1,3,
GMMTgap3,0,FAGR,8.2,1,
GMMTgap3,0,UNK,13.3,2,
GMMTgap3,240,UNK,5.3,2,
GMMTgap3,240,UNK,16.3,4,
GMMTgap3,240,UNK,28,3,
GMMTgap3,240,FAGR,13.9,1,
GMMTmat3,0,UNK,7.8,3,
GMMTmat3,0,ACSA,19.1,2,
GMMTmat3,0,ACSA,15.2,2,
GMMTmat3,0,ACSA,8.5,1,
GMMTmat3,0,ACSA,12.8,1,
GMMTmat3,0,ACSA,12.2,2,
GMMTmat3,0,UNK,11.7,3,
GMMTmat3,120,UNK,16.7,2,
GMMTmat3,120,ACSA,10.9,3,
GMMTmat3,120,UNK,8.1,2,
GMMTmat3,120,ACSA,16.2,2,
GMMTmat3,120,ACSA,8.5,1,
GMMTmat3,240,FAGR,4.4,2,
GMMTmat3,240,FAGR,10.7,2,
GMMTmat3,240,FAGR,6.3,2,
GMMTmat3,240,FAGR,3.5,2,
GMMTmat3,240,FAGR,4.2,2,
GMMTmat3,240,ACSA,4.7,2,
GMMTmat3,240,ACSA,4,1,
GMMTmat3,240,ACSA,3.5,2,
GMMTmat3,240,ACSA,7.9,2,
GMMTmat3,240,ACSA,7.2,2,
GMMTmat3,240,ACSA,4.3,1,
GMMTmat3,240,ACSA,3.6,2,
GMMTmat3,240,ACSA,29.2,2,
GMMTmat3,240,UNK,6.4,2,
CH224mat2,0,UNK,15.5,1,
CH224mat2,0,UNK,11.8,2,
CH224mat2,0,BEPA,7.1,2,
CH224mat2,120,BEPA,5.8,2,
CH224mat2,120,BEPA,10.6,2,
CH224mat2,120,OSVI,2,1,
CH224mat2,120,OSVI,3.4,1,
CH224gap2,0,UNK,20.6,2,
CH224gap2,0,UNK,19.3,2,
CH224gap2,0,ACSA,11.2,3,
CH224gap2,0,ACSA,8.1,2,
CH224gap2,0,ACSA,9.5,2,
CH224gap2,120,UNK,18.8,5,
CH224gap2,120,UNK,5.3,3,
CH224gap2,120,UNK,7.7,4,
CH224gap2,240,ACSA,7.3,1,
CH224gap2,240,BEPA,18,3,
CH224gap2,240,UNK,15,4,
CH224gap2,240,UNK,15,3,
CH224mat3,0,ACSA,10,2,
CH224mat3,0,UNK,8.5,2,
CH224mat3,0,UNK,12.7,2,
CH224mat3,0,ACSA,35.2,1,
CH224mat3,0,ACSA,8.7,2,
CH224mat3,0,ACSA,19.6,2,
CH224mat3,0,ACSA,6.4,2,
CH224mat3,0,UNK,7.4,3,
CH224mat3,240,ACSA,2.6,1,
CH224mat3,240,ACSA,11.6,1,
CH224mat3,240,ACSA,5.7,1,
CH224mat3,240,UNK,8.1,3,
CCH224gap3,0,ACSA,6.5,2,
CCH224gap3,0,ACSA,14.1,2,
CCH224gap3,0,ACSA,4.4,2,
CCH224gap3,120,ACSA,17.1,1,
CCH224gap3,120,ACSA,13.4,1,
CCH224gap3,120,ACSA,9.3,1,
CCH224gap3,120,UNK,23.5,1,
CCH224gap3,120,ACSA,18,1,
CCH224gap3,120,ACSA,12.4,1,
CCH224gap3,120,ACSA,15.6,1,
CCH224gap3,240,UNK,3.8,2,
CCH224gap3,240,UNK,27.4,3,
CCH224gap3,240,FAGR,11.1,1,
CH231unh1,120,FRAM,23.8,3,
CH231unh1,120,FRAM,23.4,4,
CH231unh1,240,UNK,3.7,3,
CH231unh1,240,UNK,8.9,4,
GSF396mat2,0,UNK,7.9,2,
GSF396mat2,0,UNK,22.1,4,
GSF396mat2,0,UNK,15.8,5,
GSF396mat2,240,UNK,21,4,
GSF396mat2,120,UNK,21,3,
GSF396mat2,120,UNK,21.8,3,
GSF396mat2,120,BEAL,24.5,3,
GSF396mat2,120,BEAL,22.3,3,
GSF396mat2,120,BEAL,17,3,
JMP1mat1,0,ACSA,10.2,2,
JMP1mat1,0,ACSA,3.6,1,
JMP1mat1,0,ACSA,4,1,
JMP1mat1,0,UNK,8,3,
JMP1mat1,120,UNK,15.9,3,
JMP1mat1,120,ACSA,13.5,2,
JMP1mat1,240,BEPA,13.7,4,
JMP1mat1,240,FRAM,11.4,2,
JMP1mat1,240,FRAM,15.3,2,
JMP1mat1,240,UNK,11.1,4,
JMP1mat2,0,ACSA,11.3,2,
JMP1mat2,0,UNK,5.7,2,
JMP1mat2,0,UNK,10.3,3,
JMP1mat2,120,ACSA,13,3,
JMP1mat2,240,UNK,12.8,3,
JMP1mat2,240,UNK,2.7,2,
JMP1mat2,240,UNK,4.1,2,
JMP1mat2,240,UNK,3.5,2,
JMP1mat2,240,UNK,3.8,2,
JMP1mat2,240,UNK,3.2,2,
JMP1mat2,240,UNK,2.5,2,
JMP1mat2,240,UNK,2.5,2,
JMP1mat2,240,UNK,3.4,2,
JMP1mat2,240,UNK,3.1,2,
JMP1mat3,0,UNK,6.9,2,
JMP1mat3,0,UNK,6.8,2,
JMP1mat3,0,BEPA,10.9,2,
JMP1mat3,0,BEPA,7.4,3,
JMP1mat3,120,ACSA,6.8,2,
JMP1mat3,240,BEPA,18.4,3,
JMP1mat3,240,BEPA,7.7,4,
JMP1mat3,240,BEPA,8.6,3,
JMP1mat4,0,UNK,17.3,4,
JMP1mat4,0,ACSA,18.3,1,
JMP1mat4,0,UNK,11.3,3,
JMP1mat4,0,FRAM,8.5,2,
JMP1mat4,120,UNK,9.9,2,
JMP1mat4,120,UNK,5.6,2,
JMP1mat4,120,FRAM,4.1,2,
JMP1mat4,120,UNK,5.5,1,
JMP1mat4,120,FRAM,8.2,2,
JMP1mat4,120,FRAM,3,1,
JMP1mat4,120,FRAM,4.2,1,
JMP1mat4,120,UNK,29.4,1,
JMP1mat4,120,UNK,8.1,3,
JMP1mat4,120,UNK,16.3,3,
JMP1mat4,120,FRAM,11.9,3,
JMP1mat4,120,UNK,7.1,2,
JMP1mat4,240,FRAM,14.3,3,"unsure if az is correct, scan cut off writing "
JMP1mat4,240,UNK,9.3,4,"unsure if az is correct, scan cut off writing "
JMP1mat4,240,ACPE,9.7,2,"unsure if az is correct, scan cut off writing "
GSF396mat1,0,FRAM,27.6,4,
GSF396mat1,120,UNK,9.8,3,
GSF396mat1,120,UNK,9.6,4,
GSF396mat1,240,FRAM,3,1,
GSF396mat1,240,FRAM,1.9,1,
GSF396mat1,240,ACSA,12.3,3,
GSF396mat1,240,UNK,10.4,5,
GSF396gap2,0,UNK,19.7,5,
GSF396gap2,120,UNK,20.8,2,
GSF396gap2,120,UNK,8.1,2,
GSF396mat3,120,UNK,13.5,5,
GSF396mat4,0,ACSA,18.6,1,
GSF396mat4,120,UNK,8,3,
GSF396mat4,120,UNK,17.9,3,
GSF396mat5,0,FRAM,19.5,1,
GSF396mat5,0,UNK,8.2,3,
GSF396gap1,240,UNK,9.3,3,
GSF396gap1,0,FRAM,13,3,
GSF396gap1,0,FRAM,10.4,3,
GSF396gap1,120,UNK,7.1,3,
MPunh1,120,UNK,7.9,3,
MPunh1,240,ACSP,6.6,2,
MPunh1,240,BEAL,24.2,5,
MPunh1,240,UNK,15,4,
MPunh1,240,UNK,13.2,4,
MPunh2,0,UNK,7.3,4,
MPunh2,0,UNK,7.4,5,
MPunh2,120,UNK,8.4,5,
MPunh2,120,UNK,15.3,5,
MPunh2,120,UNK,6.3,4,
MPunh3,0,UNK,33.4,4,
MPunh3,0,ACPE,2.1,1,
MPunh3,0,ACPE,2.2,1,
MPunh3,0,ACPE,2.1,1,
MPunh3,120,UNK,9.7,5,
MPunh3,120,UNK,14.1,5,
MPunh3,120,ACSA,4.3,1,
MPunh3,120,ACSA,4.9,1,
MPunh3,120,ACSA,8.9,1,
MPunh3,120,UNK,33,4,
MPunh3,120,ACSA,8.5,1,
MPunh3,120,ACSA,4.8,1,
MPunh3,120,ACSA,5.7,2,
MPunh3,240,ACPE,5.7,1,
MPunh3,240,UNK,6.8,4,
MPunh3,240,ACSA,3,1,
MPunh3,240,ACSA,9.5,1,
MPunh3,240,ACSA,11.7,1,
MPunh3,240,ACSA,9,1,
MP1314mat2,0,BEAL,19.1,5,
MP1314mat2,0,BEAL,15.1,5,
MP1314mat2,0,BEAL,15.8,4,
MP1314mat2,0,BEAL,18.5,4,
MP1314mat2,120,BEAL,17.1,4,
MP1314mat2,120,BEAL,18.8,5,
MP1314mat2,120,UNK,8.7,3,
MP1314mat2,240,BEAL,20.5,5,
MP1314mat2,240,BEAL,15.9,4,
MP1314mat3,120,UNK,6.1,3,
MP1314mat3,120,ACSA,7,3,
MP1314mat3,120,ACSA,9.8,3,
MP1314mat3,240,UNK,5.8,3,
MP1314mat3,240,UNK,6.9,3,
MPunh4,0,BEAL,4.9,2,
MPunh4,0,UNK,13.5,3,
MPunh4,120,UNK,7.3,3,
MPunh4,240,ACSA,8.2,2,
CH224mat1,0,ACSA,60.5,1,
CH224mat1,120,ACSA,6.4,2,
CH224mat1,120,UNK,9.5,3,
CH224mat1,120,UNK,12.3,3,
CH224mat1,240,UNK,18.6,2,
CH224mat1,240,UNK,18.6,2,
CH224mat1,240,BEPA,30.2,1,
CH224mat1,240,UNK,15,1,
CH224mat1,240,BEAL,20.9,1,
CH231unh2,0,FRAM,17.9,3,
CH231unh2,240,FRAM,13.3,3,
CH231unh2,240,FRAM,21.2,2,
CH231unh3,0,FRAM,31.9,3,
CH231unh3,0,BEPA,16.7,5,
CH231unh3,240,FRAM,6.4,2,
CH231unh4,0,UNK,20.3,5,
CH231unh4,240,UNK,13.9,4,
CWEunh1,0,UNK,7.4,4,
CWEunh2,120,FRAM,10.6,3,
CWEunh2,240,ACPE,5.6,1,
CWEunh2,240,ACPE,4.7,1,
CWEunh2,240,ACPE,3.7,1,
CWEunh3,120,UNK,11.4,5,
CWEunh3,240,UNK,19.6,5,
CWEunh3,240,FRAM,23.9,,
CWEunh4,0,UNK,9.8,3,
CWEunh4,0,FRAM,18.2,1,
CWEunh4,0,UNK,16.9,5,
CWEunh4,240,FRAM,15.3,2,
JNPunh1,240,UNK,15.4,5,
JNPunh2,240,UNK,19.9,4,
JNPunh2,240,UNK,12.4,4,
JNPunh3,120,UNK,5.8,5,
JNPunh3,120,UNK,7.9,4,
JNPunh3,240,FRAM,9.5,2,
JNPunh4,0,UNK,11.4,4,
JNPunh4,0,UNK,10.7,3,
JNPunh4,0,UNK,6.2,3,
JNPunh4,0,UNK,7.1,3,
JNPunh4,120,UNK,9.6,3,
JNPunh4,120,UNK,11,4,
JNPunh4,240,UNK,10.5,2,
JNPunh4,240,UNK,5.6,2,
JMP7mat1,0,UNK,15.2,3,
JMP7mat1,0,UNK,10,3,
JMP7mat1,0,UNK,9.9,4,
JMP7mat2,120,ACSA,7.4,2,
JMP7mat2,120,UNK,8.8,2,
JMP7mat2,120,UNK,11.6,3,
JMP7mat2,0,UNK,10.7,2,
JMP7mat2,0,ACSA,14.5,2,
JMP7mat2,0,ACSA,4.9,1,
JMP7mat3,0,FRAM,14.1,2,
JMP7mat3,0,FRAM,8.2,2,
JMP7mat3,120,ACPE,8,1,
JMP7mat3,120,UNK,10.8,2,
JMP7mat3,120,UNK,6.3,2,
