"","plot_ID","harvest_status","live_biomass","cut_biomass","propbiocut","seedling_richness","seedling_shannon","seedling_density"
"1","ASF114unh1","NO",8713.01970704381,0,0,3,0.979971182083305,4.66666666666667
"2","ASF114unh2","NO",12519.4576188903,0,0,2,0.500402423538188,1.66666666666667
"3","ASF114unh3","NO",12741.2459076137,0,0,2,0.500402423538188,1.66666666666667
"4","ASF114unh4","NO",12880.8759636024,0,0,1,0,1
"5","BRSPunh1","NO",12626.7528616396,0,0,5,1.46481638489081,3
"6","BRSPunh2","NO",9748.66118441989,0,0,3,0.955699891112534,2.33333333333333
"7","BRSPunh3","NO",9357.44835128672,0,0,3,0.950270539233235,1.66666666666667
"8","BRSPunh4","NO",11248.6241275868,0,0,1,0,0.333333333333333
"9","CH138gap1","YES",5019.71227752915,3830.28965818835,0.432800996656259,2,0.693147180559945,4
"10","CH138gap2","YES",527.672614249285,8597.69813892333,0.942175213640955,5,1.52295506753132,3
"11","CH138gap3","YES",3148.83631101764,3642.78954992711,0.536364874112836,4,0.91707556933998,21.3333333333333
"12","CH138mat1","YES",9635.07224334419,3150.69662033095,0.246422147461323,2,0.173205206749177,8
"13","CH138mat2","YES",7692.37915280537,4656.39507790696,0.377073464208792,1,0,5.33333333333333
"14","CH138mat3","YES",7934.70159799773,5629.49098331011,0.415025881530748,5,0.884398220874533,14.6666666666667
"15","CH138mat4","YES",5710.88128634163,6571.77612488802,0.535045137616527,6,1.36115087168543,12
"16","CH145unh1","NO",11299.6482598404,226.031063485059,0.019611083836735,2,0.686961576597323,15
"17","CH145unh2","NO",8161.52089283953,0,0,2,0.110453046672598,14.3333333333333
"18","CH145unh3","NO",9852.94708792284,0,0,2,0.223718076065834,5.66666666666667
"19","CH145unh4","NO",10213.2161659902,0,0,4,0.672296228090859,8.66666666666667
"20","CH2214unh1","NO",8567.22262735347,0,0,2,0.271189373041844,4.33333333333333
"21","CH2214unh2","NO",9815.27663541655,0,0,2,0.325082973391448,3.33333333333333
"22","CH2214unh3","NO",8290.49674855048,0,0,4,0.723779742996018,42.3333333333333
"23","CH2214unh4","NO",10687.1151022254,0,0,1,0,62.3333333333333
"24","CH224gap1","YES",4327.37823921818,2452.47022666318,0.361729357080013,4,0.690456531384835,8.33333333333333
"25","CH224gap2","YES",5771.28800611722,3523.04875284265,0.379053271277951,2,0.429323021930616,4.33333333333333
"26","CH224gap3","YES",2449.47106142074,8367.85351216258,0.77356036192142,5,0.963828035269486,20
"27","CH224mat1","YES",8101.925140637,0,0,2,0.112515934119639,14
"28","CH224mat2","YES",7516.78537075642,521.391074523412,0.0648643480362493,5,0.332940712262338,20.3333333333333
"29","CH224mat3","YES",4149.91542825273,2499.97768495591,0.375942536578553,3,0.876199457463585,7.66666666666667
"30","CH231unh1","NO",12580.1993169247,0,0,2,0.304636097349238,14.6666666666667
"31","CH231unh2","NO",8879.76255979815,0,0,3,0.130281794200603,27.6666666666667
"32","CH231unh3","NO",9181.21294399863,0,0,3,0.76475441956742,5
"33","CH231unh4","NO",6366.31454625195,0,0,3,1.03972077083992,1.33333333333333
"34","CMSF11unh1","NO",8674.86901887979,0,0,4,1.12095039267358,3.66666666666667
"35","CMSF11unh2","NO",11506.9601419096,0,0,4,1.05878721718557,6
"36","CMSF11unh3","NO",16244.4717391557,0,0,5,1.47080847632211,3.33333333333333
"37","CMSF11unh4","NO",4147.22975589631,0,0,6,1.63263092715435,4
"38","CMSF62unh1","NO",6412.20588258816,0,0,NA,0,NA
"39","CMSF62unh2","NO",6979.36782133132,96.1433145049738,0.0135881793780274,2,0.562335144618808,1.33333333333333
"40","CMSF62unh3","NO",10457.9051278163,0,0,2,0.562335144618808,2.66666666666667
"41","CMSF62unh4","NO",8687.07178106657,0,0,1,0,1.66666666666667
"42","CWEunh1","NO",9977.36556863572,140.62267485081,0.0138982840725612,2,0.636514168294813,1
"43","CWEunh2","NO",10432.2686295729,34.8567854245448,0.00333012016600102,3,0.501046913759097,7
"44","CWEunh3","NO",9182.22461255509,0,0,1,0,7
"45","CWEunh4","NO",6378.22893842554,0,0,2,0.548874384484994,7
"46","DHSPgap1","YES",2319.24622443157,6323.66933470599,0.731659275326415,3,1.09861228866811,1
"47","DHSPgap2","YES",5219.9318131277,4916.26007077991,0.485020422569648,2,0.693147180559945,0.666666666666667
"48","DHSPgap3","YES",5623.11012644521,11395.3917627828,0.669588418355179,1,0,0.333333333333333
"49","DHSPmat1","YES",5587.76412543071,7278.12885809059,0.56569169877384,2,0.693147180559945,0.666666666666667
"50","DHSPmat2","YES",5800.04795816909,5866.40976498545,0.502844128371745,2,0.693147180559945,0.666666666666667
"51","DHSPmat3","YES",9005.55082106103,2690.29144575083,0.230021180551041,2,0.500402423538188,3.33333333333333
"52","GMAgap1","YES",5808.98889030253,580.895902083205,0.0909086659551996,1,0,0.333333333333333
"53","GMAgap2","YES",1631.97730473015,3561.1140873472,0.68574069248619,2,0.636514168294813,2
"54","GMAmat1","YES",8673.17418562001,2282.71931431105,0.208355376430541,4,1.242453324894,2
"55","GMAmat2","YES",6641.18413404036,2138.95404885364,0.243612800197254,2,0.673011667009257,1.66666666666667
"56","GMCBgap1","YES",4930.17357592359,7000.85113493932,0.586777020800671,7,1.16697337334354,9.33333333333333
"57","GMCBgap2","YES",3336.15338143568,6813.61491854494,0.671307434531087,5,1.0650848338288,9.66666666666667
"58","GMCBgap3","YES",3474.07887701718,3965.57177781704,0.533031987898551,5,1.5127993916368,30
