Stand_name,CAOV,ACRU,FAGR,FRAM,QURU,ACSA,BEAL,FRNI,BEPA,ACPE,OSVI,TIAM,TSCA,BENI,PRSE,PRPE,ROPS,PODE,ABBA,POTR,PIRU,UNK,BELE,ULSP,PIST,CACA,BEPO,ULAM,HAVI,CACO,BESP,ACER,THOC,ULRU,POGR,PISP
Joe Nelson property,0,0,0,10.02388459,0,5.852193156,1.002334954,5.620431976,0,0,0.157398701,5.544621418,0,0,0.903409146,0,0,0,0,0,0,0,0,0,0,0,0,1.183359413,0,0,0,0,0,0,0,0
Kearsarge Mountain State Forest comp 4 stand 26,0,0,2.670888808,10.31906176,0,11.41877627,4.466328645,0,0.77366137,0.051070516,0,0,0,0,0,0,0,0,0,0,0.421802992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long Pond harvested,0,0,0,3.792324484,0,16.54500136,1.244738279,0,0,0.052782029,0.227143694,0.365066156,0,0,0.580019816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long Pond unharvested,0,0,0.486578706,11.53155945,0,20.53271818,6.144670524,0,0,0,0.299403597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mad Tom stand 58-14,0,0,1.647657355,4.278299415,0,4.912799684,3.02445379,0,0,0,0,0,0,0,0.779553492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathewson State Forest stand 3-1-11,0,0.868095681,0,6.924099661,0,10.09222405,0.858494189,0,0.542523599,0.179910176,0,0,0,0,0.918626236,0.066051986,0,0,0.146010427,0.998250883,0.212371663,0,0,0,2.503702083,0,0,0,0,0,0.092132113,0,0,0,0,0
Mud Pond 2013-14,0,0,0.33051191,8.126305357,0,8.136594073,1.532135102,0,0,0.036079228,0,0,0,0,0.124017642,0,0,0,0,0,0,3.568993244,0,0,0,0,0,0,0,0,0,0.212057504,0,0,0,0
Mud Pond 2019,0,0.483089995,0.610144978,1.992330741,0,6.052109948,5.517963462,0.073614248,0,0.179707515,0.21376855,0.063112352,0,0,0.296790746,0,0,0,0.145915759,0,0.136159992,0,0,0,0,0,0,0,0,0,0,0,0.188161765,0,0,0
Mud Pond unharvested,0,0,0.499518141,12.48764427,0,27.64485689,0.438846133,0,0,0.120995496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potter Mtn Rd. Hancock Unit,0,0,0.290397698,6.538344808,0,10.35676087,2.685453035,0,0,0.040320378,0.54427111,0.462651878,0,0,0.748589169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roaring Brook stand 125-5,0,0,1.335746291,11.25953679,0,18.61484459,3.389832469,0,0,0.075476764,0,0,0,0,1.295563358,0,0,0,3.182418632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roaring Brook stand 125-6,0,1.710435212,2.284148935,23.95179692,0,7.592223152,6.909182005,0,1.149258406,0,0,0,0,0,1.770797969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schoolhouse Lot BB stand,0,0,1.681344391,0.302430653,0,11.33625056,0.360687562,0,0,0,0,0,0,0,1.336227348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaker State Forest,0,3.298074823,0.777782606,1.617552762,8.65960941,1.260277943,0,0,0,0,0.075580548,1.403663598,1.977980395,0,0,0,0,0,0,0,0,0,0.347549907,0,0.531406007,0,0,0,0,0,0,0,0,0.047404389,0.373695251,0
Sherlock Lot 2014,0,0,2.506987665,1.859678861,0,10.01285793,0.204075895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherlock Lot 2017,0,2.796367618,2.275026862,0.392558365,0,2.645823153,6.127722286,0,0.161281513,0.035395277,0,0,0,0,0.188495559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038170351
Stoner Woodlot,0,0.69653527,0,8.474951783,0,17.27648194,2.500157974,0,0,0,0,0,0,0,0,0,0,0,0,0.447696588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunnyside stand 63-49,0,0,0.362883404,2.564377363,0,6.266515231,1.792105167,0,0.365399951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunxis State Forest stand 49,0,4.84364374,0.166209886,17.74722506,5.549991578,8.325971569,0,0,0,0.052076807,0.108978904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York Lake stand 2,0,3.506894429,0.177774874,6.81555109,1.573473226,9.290173806,0.039597157,0,0,0,0,0,0,0,2.239867205,0,0,0,0,0,0,0,0,0,3.310989947,0,0,0,0,0,0,0,0,0,0,0
