"","plot_ID","tree_ID","species","DBH_cm","status","height_m","decay_class","to.be.cut","notes.x","harvest_status","gap_status","date","site_name","measured_by","tallied_by","entered_by","notes.y","Property","Stand_name","ASH_stump_DBH","BA_sqm","diam_in","height_ft","stump_DBH_in","stump_DBH_cm"
"24","ASF114unh2",9,"FRAM",42.8,"stump",1.21,3,"NO","stump","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.143872377163798,16.8504028,3.9698164,16.6613769968744,42.3198975720611
"25","ASF114unh2",10,"FAGR",22.4,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0394081382466304,8.8189024,NA,0,0
"26","ASF114unh2",11,"ACSA",20,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0314159265358979,7.87402,NA,0,0
"27","ASF114unh2",12,"FAGR",18.5,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0268802521422777,7.2834685,NA,0,0
"28","ASF114unh2",13,"FRAM",43.8,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.15067392525882,17.2441038,NA,0,0
"29","ASF114unh2",14,"FAGR",22.6,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0401149965936881,8.8976426,NA,0,0
"30","ASF114unh2",15,"ACSA",13.9,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0151746779150021,5.4724439,NA,0,0
"31","ASF114unh3",1,"FRAM",44.9,"snag",19.8,1,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.158337055139089,17.6771749,64.960632,0,0
"32","ASF114unh3",2,"UNK",23.5,"stump",0.19,5,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0433736135736241,9.2519735,0.6233596,7.6563493539077,19.4471273589256
"33","ASF114unh3",3,"FAGR",32.9,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0850122826043032,12.9527629,NA,0,0
"34","ASF114unh3",4,"FRAM",32.4,"snag",15.3,2,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0824479576008105,12.7559124,50.196852,0,0
"35","ASF114unh3",5,"FRAM",50.5,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.200296166620434,19.8819005,NA,0,0
"36","ASF114unh3",6,"FRAM",41.3,"snag",21.3,1,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.133964579332539,16.2598513,69.881892,0,0
"37","ASF114unh3",7,"FRAM",40.1,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.126292810072473,15.7874101,NA,0,0
"38","ASF114unh3",8,"FRAM",47.7,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.178700858719658,18.7795377,NA,0,0
"39","ASF114unh3",9,"FAGR",41.5,"snag",3,4,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.135265198691126,16.3385915,9.84252,0,0
"40","ASF114unh3",10,"FRAM",32,"snag",12.2,2,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0804247719318987,12.598432,40.026248,0,0
"41","ASF114unh3",11,"FRAM",47.2,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.174974144434337,18.5826872,NA,0,0
"42","ASF114unh3",12,"FAGR",13.5,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0143138815279185,5.3149635,NA,0,0
"43","ASF114unh3",13,"FAGR",36.3,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.103491130592718,14.2913463,NA,0,0
"44","ASF114unh3",14,"FRAM",48.6,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.185507904601824,19.1338686,NA,0,0
"45","ASF114unh3",15,"FAGR",24.9,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.0486954715288052,9.8031549,NA,0,0
"46","ASF114unh3",16,"FAGR",43.7,"live",NA,NA,"NO","","NO","NO","8/18/2020","Algonquin State Forest - Stand 1-14","MW, MR","HH","MW","","Algonquin State Forest","Algonquin State Forest stand 1-14",NA,0.149986701865847,17.2047337,NA,0,0
