"","Group","CWD_vol_mean","CWD_vol_SE","CWD_biomass_mean","CWD_biomass_SE","snag_BA_mean","snag_BA_SE","snag_vol_mean","snag_vol_SE","snag_biomass_mean","snag_biomass_SE"
"1","unharvested",31.9695401638855,4.33769563666916,9.17412619632212,1.36768480458671,11.9083881305084,1.57997357062676,68.0912415704515,11.1955232612995,26.0607304040217,4.38298072894904
"2","regeneration",67.9016588066192,18.5899591604605,21.3835105079872,5.46512097107346,21.8488197017054,7.1687420160882,112.394774893197,41.3945200063755,45.9190515337482,20.1397292222043
"3","removal",86.1220958366967,9.71257867888104,32.4383228332307,3.89425864692755,14.2046791472285,3.61682147082733,80.1377932843921,27.9536574151023,31.6645732621369,10.8125182031099
"4","NH",65.7544035396817,8.05164493111651,23.0691614354381,3.25201208915461,16.5229918438318,2.44231592122192,93.9641022087695,18.505722850912,36.9083297404322,7.33089877807912
"5","RNH",40.9192735713617,7.1051141906116,13.4677819774169,2.57845612067708,7.64685530832593,1.23483530003892,39.8083798610226,5.68340954097719,15.3200675036196,1.90006123236551
