"","plot_ID","Stand_name","State","Ownership_cat","Treatment","EAB_present","forest_type","species","small_saplings_tally","large_saplings_tally","all_saplings_tally"
"59","CH138gap2","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","ACRU",0,0,0
"60","CH138gap2","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","BEAL",2,0,2
"61","CH138gap3","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","all",39,3,42
"62","CH138gap3","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","ACSA",1,0,1
"63","CH138gap3","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","FRAM",30,0,30
"64","CH138gap3","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","FAGR",0,0,0
"65","CH138gap3","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","ACRU",0,0,0
"66","CH138gap3","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","BEAL",1,0,1
"67","CH138mat1","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","all",9,26,35
"68","CH138mat1","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","ACSA",0,1,1
"69","CH138mat1","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","FRAM",0,0,0
"70","CH138mat1","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","FAGR",4,24,28
"71","CH138mat1","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","ACRU",0,0,0
"72","CH138mat1","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","BEAL",0,0,0
"73","CH138mat2","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","all",7,31,38
"74","CH138mat2","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","ACSA",2,0,2
"75","CH138mat2","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","FRAM",0,0,0
"76","CH138mat2","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","FAGR",5,30,35
"77","CH138mat2","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","ACRU",0,0,0
"78","CH138mat2","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","BEAL",0,0,0
"79","CH138mat3","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","all",36,14,50
"80","CH138mat3","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","ACSA",11,0,11
"81","CH138mat3","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","FRAM",0,0,0
"82","CH138mat3","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","FAGR",20,14,34
"83","CH138mat3","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","ACRU",0,0,0
"84","CH138mat3","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","BEAL",3,0,3
"85","CH138mat4","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","all",14,4,18
"86","CH138mat4","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","ACSA",2,0,2
"87","CH138mat4","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","FRAM",3,0,3
"88","CH138mat4","Camel's Hump SP stand 1-3-8","VT","public_state","removal","yes","NH","FAGR",0,2,2
