"TextClass","elevbin","freq","soilindex","sum_Shape_Area","fieldcap","wiltpoint","WHC","slopegradw","brockdepmi","ksat","sand","silt","clay","maxdepth","elev"
"Loam",1,4085,"1",0.045173041,23.8169780676666,9.79985796757845,14.0171201000882,14.6213355372732,22.7241329067386,9.63554485033529,43.3512106683514,44.4131359951617,12.2356533364869,84.3887032628648,287.448854774411
"Loam",2,2743,"2",0.0508968,20.2681721549469,9.32451528437554,10.9436568705714,21.9565215809245,36.2236710818537,12.4426370482271,41.4407730664358,45.0913090897491,13.4679178438152,73.5643137326998,488.134774111752
"Loam",3,229,"3",0.002784653,20.0104094107745,9.67507287711833,10.3353365336561,17.9525901431884,40.3373479002861,11.2609568464757,43.1153605165037,45.2751942392284,11.6094452442679,85.0135294390083,725.047119394677
"Loam",NA,2,"4",0.0000112,19.7115654818661,7.86639708114018,11.8451684007259,8.19133928571429,NA,9.073205801225,48.8329587833573,43.9549387078784,7.21210250876432,99.1341428571428,NA
"LoamySand",1,1424,"5",0.0112552366,9.96507837466267,5.1560828706054,4.80899550405727,10.0712429092783,NA,130.343553668525,80.4158596843022,16.0876540265527,3.49648628914506,100,271.883868943924
"LoamySand",2,973,"6",0.007801948,10.2929856053816,5.48976230550719,4.80322329987441,11.0248657130245,NA,142.975787452949,81.1456373809771,15.6451569192114,3.2092056998115,100,450.597732616269
"LoamySand",3,34,"7",0.000245877,10.924169075845,5.06911907383641,5.8550500020086,5.53692008605929,NA,197.870081628515,81.1459426942343,15.1729431660835,3.68111413968217,100,704.776392690333
"None",1,15,"8",0.000056753,NA,NA,NA,NA,0,0.109650002,NA,NA,NA,49.6389089563547,284.086331260305
"None",2,11,"9",0.000234923,NA,NA,NA,NA,0,0.109650002,NA,NA,NA,67.8239976502939,390.349514166161
"Sand",1,954,"10",0.007834001,9.5643288442504,4.92336776207086,4.64096108217953,15.3550831490493,NA,104.06517971584,88.0807130526244,9.26671993575859,2.652567011617,100,282.412204093991
"Sand",2,786,"11",0.0061349949,9.2654181180796,4.58173717834833,4.68368093973127,16.7999466070711,NA,104.849813871278,87.9234759874004,9.7431373490162,2.33338666358337,100,453.665351891039
"Sand",3,37,"12",0.000236555,9.2037280083077,5.19033269995222,4.01339530835549,16.7423728813559,NA,105.755537382105,88.6877295931041,9.41900666085515,1.89326374604072,100,722.581259330323
"Sand",NA,2,"13",0.00000736,9.191680017,4.395000024,4.796679993,11.7,NA,114.7129167,87.8596,9.5916,2.5488,100,NA
"SandyClayLoam",1,36,"14",0.000217,28.08399982,8.633333524,19.450666296,4.23834101382488,NA,15.52400045,45.5978269096024,24.7826083800803,29.6195647103172,100,262.455716874599
"SandyClayLoam",2,1,"15",0.00000604,28.08399982,8.633333524,19.450666296,2,NA,15.52400045,45.5978269096024,24.7826083800804,29.6195647103172,100,375.0714286
"SandyLoam",1,14285,"16",0.2070665989,17.126274501733,8.75183386021031,8.37444064152271,17.7483751465626,53.8271519750129,20.5787151825996,60.4261600475886,33.9021518305454,5.67168812186597,87.5033920977032,286.88695051302
"SandyLoam",2,15716,"17",0.322172795,17.6578887590036,8.96966602250645,8.68822273649711,18.7010372090542,49.8580688465551,13.3690524336125,58.7269857694117,36.7325685214572,4.54044570913105,84.22289474633,483.640632844626
"SandyLoam",3,1749,"18",0.053923359,19.0129154158374,10.7371186662178,8.27579674961965,23.8275993062673,53.110646813413,12.3619363340237,65.0532335761615,29.1715161476286,5.77525027620995,82.2045438470184,751.984052860751
"SandyLoam",NA,2,"19",0.00002846,17.4804150841673,7.17698944789529,10.303425636272,5.09030217849613,NA,4.46884323157133,58.556411128625,34.4817826449238,6.96180622645121,99.914659170766,NA
"SiltLoam",1,5229,"20",0.065968757,20.6978372920178,10.0257863457875,10.6720509462304,9.09253995342068,32.698268368163,7.56852474729525,36.6859294290699,53.3659241547974,9.9481464161327,96.9549200404064,288.419160322146
"SiltLoam",2,3546,"21",0.0600090599,19.6465009695854,10.2548237133938,9.39167725619155,12.8663725765182,32.7441480220265,7.21373079760782,38.4815194140643,52.2608306964334,9.25764988950231,93.5575104628493,453.723114130994
"SiltLoam",3,232,"22",0.002487767,19.1130966131453,10.8455817823849,8.26751483076042,17.7741523623394,32.7017725561766,8.28491400103175,36.745279431723,51.5528907095385,11.7018298587385,84.5955274951392,726.907490304667
"SiltyClayLoam",1,153,"23",0.002169392,33.4691755108947,12.7439618380911,20.7252136728035,5.65661019308636,NA,4.27845111960931,17.4235940242366,52.8246501245614,29.751755851202,100,275.140534853084
"SiltyClayLoam",2,119,"24",0.00149378,33.1513929515796,13.3668276102607,19.7845653413189,5.62961480271526,NA,4.18020400142352,16.5442157852366,52.9948222909402,30.4609619238232,100,423.652507354614
"SiltyClayLoam",3,5,"25",0.00003046,32.2301562124196,12.1494027873145,20.0807534251051,10.5292843072882,NA,4.35260602046947,18.8846469403033,52.6074450448159,28.5079080148808,100,742.388637835785
