"species","age","mapcode"
"betualle","93","2555"
"picerube","86","2555"
"acerrubr","70","2556"
"acersacc","72","2556"
"betualle","71","2556"
"fagugran","68","2556"
"betualle","71","2557"
"fagugran","49","2557"
"acersacc","113","2558"
"betualle","104","2558"
"fagugran","116","2558"
"acerrubr","84","2559"
"acersacc","118","2559"
"betualle","86","2559"
"fagugran","88","2559"
"acerrubr","68","2560"
"betualle","61","2560"
"fagugran","61","2560"
"acerrubr","92","2561"
"betualle","86","2561"
"betualle","115","2562"
"fagugran","116","2562"
"betualle","103","2563"
"fagugran","108","2563"
"picerube","94","2563"
"acerrubr","106","2564"
"betualle","91","2564"
"fagugran","82","2564"
"picerube","54","2564"
"acerrubr","102","2565"
"betualle","106","2565"
"picerube","101","2565"
"acerrubr","87","2566"
"betualle","113","2566"
"fagugran","87","2566"
"betualle","105","2567"
"fagugran","106","2567"
"acerrubr","69","2568"
"betualle","73","2568"
"acerrubr","94","2569"
"acersacc","95","2569"
"betualle","91","2569"
"fagugran","47","2569"
"acerrubr","97","2570"
"acersacc","89","2570"
"betualle","87","2570"
"fagugran","61","2570"
"acerrubr","86","2571"
"acersacc","109","2571"
"betualle","65","2571"
"acersacc","108","2572"
"acerrubr","120","2573"
"fagugran","128","2573"
"acerrubr","118","2574"
"betualle","119","2574"
"acerrubr","106","2575"
"betualle","75","2575"
"prunsero","81","2575"
"acersacc","114","2576"
"betualle","91","2576"
"fraxamer","86","2576"
"acerrubr","112","2577"
"acersacc","83","2577"
"betualle","59","2577"
"prunsero","118","2577"
"acersacc","99","2578"
"fagugran","71","2578"
"picerube","70","2578"
"acerrubr","68","2579"
"betualle","110","2579"
"picerube","65","2579"
"acerrubr","63","2580"
"acersacc","56","2580"
"acerrubr","118","2581"
"betualle","82","2581"
"fagugran","99","2581"
"acersacc","114","2582"
"betualle","102","2582"
"fagugran","92","2582"
"acerrubr","109","2583"
"acersacc","100","2583"
"betualle","109","2583"
"acerrubr","93","2584"
"betualle","100","2584"
"prunsero","84","2584"
"acersacc","118","2585"
"betualle","113","2585"
"acersacc","75","2586"
"betualle","74","2586"
"fraxamer","69","2586"
"acerrubr","82","2587"
"betualle","77","2587"
"betualle","97","2588"
"fagugran","99","2588"
"acersacc","109","2589"
"betualle","103","2589"
"fagugran","105","2589"
"acersacc","108","2590"
"betualle","106","2590"
"fagugran","107","2590"
"acersacc","78","2591"
"betualle","111","2591"
"fagugran","91","2591"
"acersacc","88","2592"
"betualle","95","2592"
"fagugran","100","2592"
"acersacc","118","2593"
"betualle","112","2593"
"fraxamer","101","2593"
"abiebals","104","2594"
"acerrubr","100","2594"
"betualle","105","2594"
"picerube","81","2594"
"acersacc","96","2595"
"fagugran","103","2595"
"acersacc","121","2596"
"betualle","121","2596"
"acerrubr","121","2597"
"betualle","115","2597"
"fagugran","85","2597"
"acersacc","119","2598"
"betualle","117","2598"
"fagugran","109","2598"
"acerrubr","99","2599"
"betualle","87","2599"
"acersacc","102","2600"
"betualle","95","2600"
"fagugran","86","2600"
"acersacc","110","2601"
"fagugran","110","2601"
"acersacc","104","2602"
"fagugran","102","2602"
"acersacc","73","2603"
"fagugran","88","2603"
"acersacc","121","2604"
"acersacc","108","2605"
"acersacc","117","2606"
"betualle","118","2606"
"fagugran","120","2606"
"acersacc","67","2607"
"betualle","64","2607"
"fagugran","55","2607"
"acersacc","88","2608"
"fagugran","83","2608"
"acersacc","119","2609"
"betualle","119","2609"
"acerrubr","68","2610"
"acersacc","87","2610"
"betualle","84","2610"
"fagugran","90","2610"
"acersacc","71","2611"
"fagugran","70","2611"
"acersacc","97","2612"
"betualle","94","2612"
"fagugran","76","2612"
"acerrubr","112","2613"
"fagugran","118","2613"
"acerrubr","60","2614"
"acersacc","102","2614"
"betualle","58","2614"
"fagugran","57","2614"
"fraxamer","57","2614"
"acerrubr","112","2615"
"acersacc","91","2615"
"fagugran","119","2615"
"acerrubr","90","2616"
"betualle","89","2616"
"acerrubr","111","2617"
"acersacc","108","2617"
"betualle","99","2617"
"poputrem","66","2617"
"prunsero","66","2617"
"acersacc","114","2618"
"betualle","88","2618"
"acersacc","100","2619"
"fagugran","91","2619"
"fraxamer","85","2619"
"acersacc","110","2620"
"acerrubr","94","2622"
"picerube","100","2622"
"acerrubr","56","2623"
"acersacc","70","2623"
"betualle","53","2623"
"fagugran","48","2623"
"acersacc","109","2624"
"betualle","109","2624"
"fagugran","109","2624"
"abiebals","96","2625"
"acersacc","107","2625"
"betualle","67","2625"
"abiebals","88","2626"
"acerrubr","123","2626"
"picerube","103","2626"
"acersacc","103","2627"
"betualle","102","2627"
"fagugran","101","2627"
"acerrubr","73","2628"
"acersacc","74","2628"
"fagugran","83","2628"
"acersacc","103","2629"
"betualle","103","2629"
"fagugran","107","2629"
"acerrubr","83","2630"
"acersacc","88","2630"
"fagugran","85","2630"
"acerrubr","107","2631"
"betualle","107","2631"
"prunsero","95","2631"
"abiebals","77","2632"
"acerrubr","91","2632"
"picerube","124","2632"
"acersacc","124","2633"
"fagugran","118","2633"
"acersacc","115","2634"
"betualle","112","2634"
"fagugran","111","2634"
"acersacc","69","2635"
"fagugran","90","2635"
"acerrubr","78","2636"
"acersacc","53","2636"
"betualle","95","2636"
"fagugran","85","2636"
"acerrubr","113","2637"
"acersacc","112","2637"
"fagugran","113","2637"
"acersacc","115","2638"
"fagugran","114","2638"
"prunsero","113","2638"
"acerrubr","97","2639"
"acersacc","106","2639"
"fagugran","89","2639"
"acersacc","118","2640"
"betualle","115","2640"
"fagugran","115","2640"
"acersacc","126","2641"
"fagugran","102","2641"
"acersacc","107","2642"
"fagugran","119","2642"
"acersacc","120","2643"
"betualle","117","2643"
"acersacc","101","2644"
"betualle","97","2644"
"fagugran","97","2644"
"abiebals","99","2645"
"acerrubr","120","2645"
"picerube","108","2645"
"acersacc","106","2646"
"acersacc","110","2647"
"fagugran","83","2647"
"acerrubr","71","2648"
"acersacc","123","2648"
"betualle","122","2648"
"fagugran","122","2648"
"acersacc","107","2649"
"fraxamer","94","2649"
"acersacc","108","2650"
"betualle","105","2650"
"fagugran","79","2650"
"acerrubr","99","2651"
"betualle","106","2651"
"acerrubr","101","2652"
"acersacc","109","2652"
"betualle","53","2652"
"fagugran","93","2652"
"acersacc","97","2653"
"betualle","75","2653"
"fagugran","57","2653"
"acersacc","103","2654"
"betualle","102","2654"
"fagugran","101","2654"
"acersacc","121","2655"
"betualle","101","2655"
"fagugran","92","2655"
"acersacc","116","2656"
"betualle","79","2656"
"fagugran","101","2656"
"acerrubr","89","2657"
"acersacc","93","2657"
"fagugran","93","2657"
"acerrubr","119","2658"
"betualle","117","2658"
"fagugran","117","2658"
"acersacc","117","2659"
"betualle","108","2659"
"acersacc","72","2660"
"betualle","108","2660"
"fagugran","69","2660"
"acerrubr","119","2661"
"acersacc","120","2661"
"betualle","119","2661"
"acerrubr","72","2662"
"fagugran","61","2662"
"picerube","62","2662"
"acersacc","102","2663"
"acersacc","101","2664"
"betualle","99","2664"
"acersacc","76","2665"
"fagugran","74","2665"
"acersacc","113","2666"
"betualle","76","2666"
"fagugran","106","2666"
"acersacc","115","2667"
"fraxamer","112","2667"
"acerrubr","100","2668"
"betualle","102","2668"
"fagugran","95","2668"
"acersacc","123","2669"
"betualle","91","2669"
"fagugran","104","2669"
"acersacc","78","2670"
"betualle","73","2670"
"acersacc","106","2671"
"fagugran","99","2671"
"betualle","95","2672"
"fagugran","81","2672"
"acerrubr","50","2673"
"acersacc","85","2673"
"betualle","71","2673"
"fagugran","79","2673"
"acersacc","123","2674"
"acersacc","98","2675"
"acersacc","96","2676"
"fagugran","84","2676"
"acersacc","76","2677"
"betualle","76","2677"
"acerrubr","111","2678"
"acersacc","122","2678"
"betualle","113","2678"
"acerrubr","119","2679"
"acersacc","92","2679"
"betualle","116","2679"
"acersacc","116","2680"
"betualle","112","2680"
"acersacc","125","2681"
"acersacc","105","2682"
"fraxamer","84","2682"
"acersacc","126","2683"
"betualle","120","2683"
"acersacc","98","2684"
"acersacc","73","2685"
"acersacc","105","2686"
"betualle","78","2686"
"acersacc","90","2687"
"fagugran","72","2687"
"acersacc","105","2688"
"betualle","104","2688"
"acersacc","120","2689"
"betualle","119","2689"
"tsugcana","97","2689"
"acersacc","80","2690"
"betualle","102","2690"
"fagugran","66","2690"
"acersacc","120","2691"
"betualle","112","2691"
"acersacc","106","2692"
"betualle","108","2692"
"acersacc","60","2693"
"betualle","60","2693"
"acersacc","114","2694"
"betualle","102","2694"
"acersacc","95","2695"
"betualle","89","2695"
"acersacc","104","2696"
"betualle","107","2696"
"fagugran","109","2696"
"acerrubr","59","2697"
"betualle","91","2697"
"acersacc","109","2698"
"betualle","109","2698"
"acerrubr","109","2699"
"acersacc","85","2699"
"betualle","78","2699"
"acerrubr","101","2700"
"acersacc","102","2700"
"acerrubr","109","2701"
"acersacc","105","2701"
"betualle","106","2701"
"picerube","95","2701"
"acerrubr","89","2702"
"acersacc","95","2702"
"acerrubr","87","2703"
"acersacc","106","2703"
"betualle","73","2703"
"acerrubr","119","2704"
"acersacc","130","2704"
"betualle","101","2704"
"acerrubr","99","2705"
"acersacc","98","2705"
"betualle","101","2705"
"acersacc","121","2706"
"betualle","112","2706"
"tsugcana","107","2706"
"acersacc","99","2710"
"fraxamer","85","2710"
"acersacc","105","2711"
"querrubr","100","2711"
"abiebals","81","2712"
"acerrubr","97","2712"
"betualle","75","2712"
"picerube","98","2713"
"acerrubr","126","2714"
"picerube","132","2714"
"acerrubr","79","2715"
"acersacc","76","2715"
"fagugran","62","2715"
"abiebals","93","2716"
"acersacc","120","2716"
"betualle","61","2716"
"prunsero","119","2716"
"acersacc","135","2717"
"fraxamer","135","2717"
"acersacc","112","2718"
"querrubr","89","2718"
"acersacc","108","2719"
"picerube","92","2719"
"prunsero","101","2719"
"acerrubr","102","2720"
"acersacc","110","2720"
"acersacc","104","2721"
"betualle","109","2721"
"acerrubr","72","2722"
"acersacc","87","2722"
"betualle","72","2722"
"fagugran","70","2722"
"acersacc","119","2723"
"fraxamer","76","2723"
"querrubr","117","2723"
"acersacc","77","2724"
"picerube","72","2724"
"prunsero","74","2724"
"fraxamer","85","2725"
"querrubr","86","2725"
"acersacc","122","2726"
"fraxamer","83","2726"
"prunsero","86","2726"
"acersacc","140","2727"
"acersacc","134","2728"
"betualle","133","2728"
"fraxamer","120","2728"
"querrubr","134","2728"
"acersacc","113","2729"
"fagugran","106","2729"
"fraxamer","104","2729"
"abiebals","89","2730"
"acersacc","121","2730"
"fraxamer","78","2730"
"acerrubr","89","2731"
"acersacc","110","2731"
"betualle","95","2731"
"fraxamer","66","2731"
"picerube","66","2731"
"acerrubr","96","2732"
"acersacc","95","2732"
"betualle","90","2732"
"acersacc","136","2733"
"fraxamer","133","2733"
"acersacc","136","2734"
"betualle","127","2734"
"acerrubr","116","2735"
"acersacc","115","2735"
"betualle","106","2735"
"fraxamer","91","2735"
"querrubr","91","2735"
"acersacc","82","2736"
"acersacc","99","2737"
"acersacc","102","2738"
"betualle","97","2738"
"fraxamer","64","2738"
"acerrubr","81","2739"
"acersacc","91","2739"
"betualle","92","2739"
"fagugran","67","2739"
"acersacc","114","2740"
"fraxamer","113","2740"
"acersacc","106","2742"
"betualle","86","2742"
"fraxamer","110","2742"
"acersacc","96","2743"
"betualle","92","2743"
"fraxamer","87","2743"
"acerrubr","88","2744"
"acersacc","88","2744"
"betualle","76","2744"
"fagugran","82","2744"
"acersacc","126","2745"
"betualle","103","2746"
"fagugran","102","2746"
"prunsero","101","2746"
"acersacc","118","2747"
"acersacc","67","2748"
"fagugran","60","2748"
"fraxamer","60","2748"
"acersacc","120","2749"
"fagugran","97","2749"
"betualle","85","2750"
"fagugran","99","2750"
"acersacc","139","2751"
"fraxamer","123","2751"
"acersacc","107","2752"
"fagugran","83","2752"
"betualle","115","2753"
"fagugran","116","2753"
"fraxamer","108","2753"
"acersacc","116","2754"
"fagugran","95","2754"
"acersacc","90","2755"
"betualle","95","2755"
"acerrubr","85","2756"
"prunsero","87","2756"
"acersacc","102","2757"
"fagugran","113","2757"
"acerrubr","124","2758"
"acersacc","120","2758"
"fagugran","118","2758"
"acerrubr","118","2759"
"fagugran","106","2759"
"prunsero","120","2759"
"acersacc","123","2760"
"fraxamer","122","2760"
"acerrubr","67","2761"
"acersacc","50","2761"
"betualle","50","2761"
"fagugran","72","2761"
"prunsero","71","2761"
"acersacc","106","2762"
"acersacc","114","2763"
"betualle","99","2763"
"acersacc","100","2764"
"fagugran","99","2764"
"fraxamer","99","2764"
"acersacc","110","2765"
"querrubr","112","2765"
"tsugcana","117","2765"
"acersacc","103","2766"
"fagugran","117","2766"
"querrubr","87","2766"
"acersacc","117","2767"
"acerrubr","113","2768"
"acersacc","100","2768"
"querrubr","76","2768"
"acersacc","98","2769"
"fagugran","90","2769"
"fraxamer","81","2769"
"acerrubr","61","2770"
"acersacc","110","2770"
"betualle","85","2770"
"fagugran","78","2770"
"fraxamer","61","2770"
"prunsero","61","2770"
"acersacc","118","2771"
"betualle","58","2771"
"fagugran","118","2771"
"acersacc","108","2772"
"betualle","107","2772"
"fraxamer","135","2772"
"acersacc","93","2773"
"betualle","83","2773"
"acersacc","121","2774"
"fagugran","96","2774"
"fraxamer","112","2774"
"acerrubr","85","2775"
"betualle","110","2775"
"fagugran","104","2775"
"acerrubr","113","2776"
"fagugran","90","2776"
"querrubr","117","2776"
"tsugcana","88","2776"
"acersacc","83","2777"
"betualle","75","2777"
"fagugran","95","2777"
"acersacc","119","2778"
"fagugran","115","2778"
"acerrubr","74","2779"
"acersacc","115","2779"
"betualle","72","2779"
"fagugran","114","2779"
"acersacc","94","2780"
"acersacc","104","2781"
"betualle","103","2781"
"fagugran","92","2781"
"acersacc","105","2782"
"betualle","105","2782"
"fagugran","105","2782"
"betualle","102","2783"
"fagugran","103","2783"
"acersacc","94","2784"
"acerrubr","100","2785"
"acersacc","85","2785"
"betualle","93","2785"
"fagugran","93","2785"
"acersacc","113","2786"
"betualle","113","2786"
"acersacc","94","2787"
"fagugran","94","2787"
"betualle","97","2788"
"fagugran","77","2788"
"acersacc","130","2789"
"acersacc","121","2790"
"fagugran","109","2790"
"fagugran","122","2791"
"picerube","127","2791"
"tsugcana","103","2791"
"acerrubr","88","2792"
"betualle","63","2792"
"fagugran","94","2792"
"acerrubr","91","2793"
"betualle","93","2793"
"fagugran","107","2793"
"acersacc","69","2794"
"betualle","125","2794"
"acersacc","110","2795"
"fraxamer","98","2795"
"acerpens","58","2796"
"acerrubr","100","2796"
"acersacc","80","2796"
"betualle","72","2796"
"acerrubr","95","2797"
"acersacc","108","2797"
"fraxamer","103","2797"
"acersacc","124","2798"
"betualle","121","2798"
"fagugran","90","2798"
"acersacc","132","2799"
"acersacc","108","2800"
"acerrubr","117","2801"
"acersacc","114","2801"
"fraxamer","114","2801"
"picerube","114","2801"
"querrubr","130","2801"
"tsugcana","121","2801"
"acersacc","97","2802"
"fagugran","109","2802"
"fraxamer","97","2802"
"acerrubr","60","2803"
"acersacc","60","2803"
"betualle","59","2803"
"querrubr","54","2803"
"acersacc","136","2804"
"betualle","101","2805"
"fagugran","86","2805"
"acersacc","90","2806"
"fagugran","119","2806"
"prunsero","118","2806"
"acerrubr","106","2807"
"acersacc","98","2807"
"fagugran","113","2807"
"prunsero","95","2807"
"acersacc","118","2808"
"betualle","102","2808"
"fagugran","115","2808"
"acersacc","105","2809"
"acersacc","111","2810"
"betualle","94","2810"
"acerrubr","90","2811"
"querrubr","106","2811"
"tsugcana","86","2811"
"acersacc","101","2812"
"betualle","88","2812"
"fagugran","64","2812"
"acersacc","97","2813"
"fagugran","69","2813"
"acersacc","67","2814"
"betulent","43","2814"
"fagugran","66","2814"
"acerrubr","85","2815"
"betualle","86","2815"
"fagugran","90","2815"
"acerrubr","97","2816"
"betualle","119","2816"
"fagugran","82","2816"
"acerrubr","110","2817"
"betualle","100","2817"
"fagugran","97","2817"
"picerube","71","2817"
"acersacc","114","2818"
"fagugran","93","2818"
"acersacc","102","2819"
"betulent","87","2819"
"fagugran","112","2819"
"acersacc","105","2820"
"betualle","98","2820"
"fagugran","104","2820"
"acerrubr","94","2821"
"betualle","126","2821"
"fagugran","96","2821"
"prunsero","71","2821"
"acersacc","100","2822"
"fagugran","100","2822"
"acerrubr","86","2823"
"acersacc","54","2823"
"betualle","117","2823"
"fagugran","98","2823"
"acerrubr","81","2824"
"betualle","82","2824"
"picerube","81","2824"
"acerrubr","115","2825"
"fagugran","115","2825"
"acersacc","95","2826"
"fagugran","48","2826"
"acerrubr","108","2827"
"betualle","105","2827"
"fagugran","96","2827"
"acerrubr","115","2828"
"betualle","111","2828"
"fagugran","81","2828"
"acersacc","93","2829"
"fagugran","122","2829"
"acerrubr","125","2830"
"betualle","122","2830"
"betulent","130","2830"
"tsugcana","111","2830"
"acerrubr","76","2831"
"betualle","106","2831"
"betualle","113","2832"
"fagugran","116","2832"
"acerpens","96","2833"
"acerrubr","101","2833"
"betualle","78","2833"
"acerrubr","105","2834"
"betualle","100","2834"
"acerrubr","103","2835"
"acersacc","116","2835"
"acerrubr","123","2836"
"betualle","102","2836"
"tsugcana","135","2836"
"acerrubr","96","2837"
"fagugran","98","2837"
"tsugcana","103","2837"
"acersacc","82","2838"
"fagugran","107","2838"
"acerrubr","112","2839"
"acersacc","91","2839"
"fagugran","103","2839"
"tsugcana","127","2839"
"fagugran","122","2840"
"fraxamer","122","2840"
"acerrubr","115","2841"
"betualle","105","2841"
"acersacc","134","2842"
"betualle","113","2842"
"fagugran","136","2842"
"acersacc","121","2843"
"fagugran","117","2843"
"fagugran","105","2844"
"acerrubr","82","2845"
"pinustro","63","2845"
"tsugcana","97","2845"
"acerrubr","102","2846"
"tsugcana","101","2846"
"betulent","108","2847"
"fagugran","111","2847"
"tsugcana","103","2847"
"acerrubr","94","2848"
"acerrubr","94","2849"
"betulent","92","2849"
"tsugcana","92","2849"
"acersacc","115","2850"
"betualle","112","2850"
"fagugran","88","2850"
"acersacc","114","2851"
"fagugran","113","2851"
"acersacc","111","2852"
"acerrubr","107","2853"
"fagugran","107","2853"
"acerrubr","89","2854"
"fagugran","118","2854"
"prunsero","65","2854"
"querrubr","79","2854"
"fagugran","78","2855"
"tsugcana","87","2855"
"acerrubr","80","2856"
"fagugran","78","2856"
"tsugcana","78","2856"
"acerrubr","106","2857"
"betulent","102","2857"
"tsugcana","99","2857"
"acersacc","132","2858"
"acersacc","89","2859"
"fagugran","115","2859"
"acerrubr","128","2860"
"betualle","82","2860"
"tsugcana","141","2860"
"acerrubr","102","2861"
"fagugran","102","2861"
"querrubr","102","2861"
"acerrubr","116","2862"
"betulent","76","2862"
"tsugcana","127","2862"
"acerrubr","101","2863"
"betulent","101","2863"
"fagugran","99","2863"
"tsugcana","88","2863"
"acerrubr","106","2864"
"acersacc","109","2864"
"tsugcana","130","2864"
"acersacc","82","2865"
"betualle","110","2865"
"fagugran","75","2865"
"acerrubr","116","2866"
"betulent","119","2866"
"tsugcana","125","2866"
"acersacc","102","2867"
"fagugran","100","2867"
"fagugran","109","2868"
"picerube","104","2868"
"acersacc","99","2869"
"betualle","94","2869"
"acerrubr","108","2870"
"betulent","110","2870"
"tsugcana","126","2870"
"fagugran","106","2871"
"acersacc","67","2872"
"tsugcana","77","2872"
"acerrubr","72","2873"
"betulent","76","2873"
"tsugcana","82","2873"
"acerrubr","101","2874"
"acersacc","97","2874"
"betualle","105","2874"
"fagugran","81","2874"
"acersacc","119","2875"
"betualle","103","2875"
"fagugran","111","2875"
"betualle","89","2876"
"fagugran","86","2876"
"picerube","86","2876"
"acersacc","109","2877"
"betualle","107","2877"
"fagugran","111","2877"
"acersacc","77","2878"
"betualle","109","2878"
"fagugran","119","2878"
"acersacc","117","2879"
"fagugran","104","2879"
"acersacc","114","2880"
"fagugran","98","2880"
"betualle","119","2881"
"fagugran","118","2881"
"picerube","111","2881"
"acersacc","99","2882"
"fagugran","120","2882"
"acerrubr","100","2883"
"betualle","100","2883"
"fagugran","46","2883"
"picerube","97","2883"
"acerrubr","85","2884"
"acersacc","85","2884"
"betualle","111","2884"
"fagugran","109","2884"
"picerube","94","2884"
"acersacc","118","2885"
"fagugran","118","2885"
"acersacc","85","2886"
"betualle","61","2886"
"fagugran","115","2886"
"acerrubr","98","2887"
"acersacc","96","2887"
"betualle","91","2887"
"fagugran","79","2887"
"acersacc","118","2888"
"betualle","118","2888"
"fagugran","103","2888"
"acersacc","136","2889"
"fagugran","127","2889"
"acersacc","117","2890"
"fagugran","102","2890"
"fraxamer","90","2890"
"acersacc","90","2891"
"acersacc","107","2892"
"fagugran","90","2892"
"fraxamer","88","2892"
"acersacc","87","2893"
"acersacc","125","2894"
"acersacc","104","2895"
"betupapy","61","2895"
"fagugran","106","2895"
"acersacc","115","2896"
"fagugran","104","2896"
"acersacc","128","2897"
"fraxamer","126","2897"
"acersacc","121","2898"
"betualle","108","2898"
"fagugran","103","2898"
"acersacc","106","2899"
"betualle","94","2899"
"acersacc","100","2900"
"fagugran","100","2900"
"betualle","93","2901"
"fagugran","95","2901"
"picerube","91","2901"
"acersacc","122","2902"
"fraxamer","113","2902"
"acersacc","93","2903"
"betualle","100","2903"
"betualle","93","2904"
"betupapy","93","2904"
"acersacc","105","2905"
"betualle","94","2905"
"acersacc","129","2906"
"betualle","106","2907"
"acerrubr","88","2908"
"betualle","91","2908"
"fagugran","99","2908"
"acersacc","115","2909"
"fagugran","88","2909"
"acersacc","78","2910"
"betualle","76","2910"
"acersacc","79","2911"
"fagugran","83","2911"
"acersacc","111","2912"
"betualle","99","2912"
"fagugran","100","2912"
"acersacc","110","2913"
"betualle","111","2913"
"acersacc","119","2914"
"fagugran","112","2914"
"acersacc","66","2915"
"betualle","75","2915"
"fagugran","66","2915"
"acersacc","122","2916"
"betualle","121","2916"
"fagugran","121","2916"
"acersacc","112","2917"
"acersacc","113","2918"
"acersacc","82","2919"
"acersacc","110","2920"
"fagugran","109","2920"
"acersacc","118","2921"
"acersacc","102","2922"
"fagugran","101","2922"
"acersacc","127","2923"
"acersacc","115","2924"
"acersacc","89","2925"
"acersacc","104","2926"
"fraxamer","104","2926"
"acersacc","94","2927"
"acersacc","103","2928"
"fraxamer","93","2928"
"acerrubr","108","2929"
"acersacc","125","2929"
"betualle","101","2929"
"acersacc","119","2930"
"fraxamer","124","2930"
"acersacc","117","2931"
"acersacc","123","2932"
"betualle","111","2933"
"fraxamer","113","2933"
"betualle","99","2934"
"fraxamer","119","2934"
"acersacc","106","2935"
"betualle","98","2935"
"fagugran","99","2935"
"acersacc","109","2936"
"acersacc","131","2937"
"fraxamer","117","2937"
"acersacc","92","2938"
"betualle","78","2938"
"fraxamer","109","2938"
"acersacc","103","2939"
"betupapy","84","2939"
"fagugran","72","2939"
"querrubr","64","2939"
"acersacc","112","2940"
"fagugran","99","2940"
"fraxamer","61","2940"
"querrubr","103","2940"
"acerrubr","127","2941"
"acersacc","140","2941"
"betualle","138","2941"
"acersacc","75","2942"
"betualle","83","2942"
"fagugran","79","2942"
"acersacc","96","2943"
"fraxamer","115","2943"
"acersacc","110","2944"
"fraxamer","133","2944"
"acersacc","130","2945"
"acersacc","107","2946"
"betualle","87","2946"
"acersacc","117","2947"
"betualle","116","2947"
"fagugran","116","2947"
"acersacc","127","2948"
"betualle","123","2948"
"fagugran","97","2948"
"acersacc","84","2949"
"acersacc","85","2950"
"betualle","77","2950"
"fagugran","74","2950"
"acerrubr","114","2951"
"betupapy","64","2951"
"fagugran","116","2951"
"querrubr","113","2951"
"acerrubr","113","2952"
"acersacc","109","2952"
"betualle","75","2952"
"fagugran","52","2952"
"betualle","105","2953"
"acersacc","91","2954"
"betualle","89","2954"
"acersacc","126","2955"
"acersacc","124","2956"
"querrubr","133","2956"
"acersacc","115","2957"
"betualle","119","2957"
"acersacc","114","2958"
"acersacc","100","2959"
"acerpens","82","2960"
"acersacc","84","2960"
"betualle","79","2960"
"fagugran","72","2960"
"acersacc","100","2961"
"betualle","101","2961"
"fagugran","97","2961"
"acerpens","77","2962"
"acersacc","78","2962"
"betualle","76","2962"
"acersacc","97","2963"
"betualle","70","2964"
"picerube","75","2964"
"acersacc","103","2965"
"betualle","104","2965"
"acersacc","125","2966"
"acersacc","119","2967"
"acersacc","126","2968"
"betualle","88","2968"
"fagugran","84","2968"
"acerpens","81","2969"
"acersacc","99","2969"
"fagugran","90","2969"
"acersacc","105","2970"
"betualle","103","2970"
"acersacc","80","2971"
"fraxamer","77","2971"
"acersacc","79","2972"
"betualle","104","2972"
"fagugran","103","2972"
"acersacc","101","2973"
"fagugran","114","2973"
"acerrubr","88","2974"
"acersacc","81","2974"
"betualle","108","2974"
"fagugran","60","2974"
"acersacc","124","2975"
"fraxamer","137","2975"
"acersacc","129","2976"
"betualle","122","2976"
"fagugran","96","2976"
"acersacc","126","2977"
"acersacc","115","2978"
"acersacc","101","2979"
"betualle","89","2979"
"fagugran","85","2979"
"acersacc","108","2980"
"betualle","84","2980"
"fagugran","83","2980"
"acersacc","111","2981"
"acersacc","75","2982"
"fagugran","72","2982"
"fraxamer","80","2982"
"betualle","105","2983"
"acersacc","114","2984"
"betualle","112","2984"
"acersacc","104","2985"
"fagugran","103","2985"
"fraxamer","101","2985"
"acerrubr","116","2986"
"acersacc","123","2986"
"fraxamer","116","2986"
"acerrubr","73","2987"
"betualle","102","2987"
"fagugran","95","2987"
"picerube","116","2987"
"acersacc","111","2988"
"betualle","89","2988"
"fagugran","121","2988"
"acersacc","81","2989"
"fagugran","74","2989"
"fraxamer","71","2989"
"acersacc","92","2990"
"betualle","119","2990"
"fraxamer","106","2990"
"picerube","105","2990"
"acersacc","133","2991"
"acersacc","105","2992"
"betualle","103","2992"
"betualle","77","2993"
"picerube","68","2993"
"acersacc","85","2994"
"acersacc","116","2995"
"acersacc","125","2996"
"fraxamer","124","2996"
"acersacc","105","2997"
"betualle","78","2997"
"acersacc","125","2998"
"betualle","113","2998"
"acersacc","127","2999"
"fagugran","104","2999"
"fraxamer","74","2999"
"betualle","101","3000"
"fagugran","97","3000"
"fraxamer","94","3000"
"prunsero","68","3000"
"abiebals","116","3001"
"acerrubr","94","3001"
"picerube","92","3001"
"acersacc","120","3002"
"betualle","119","3002"
"fagugran","117","3002"
"acersacc","100","3003"
"betualle","93","3003"
"fraxamer","117","3003"
"betualle","124","3004"
"fagugran","115","3004"
"acersacc","106","3005"
"betualle","100","3005"
"fagugran","69","3005"
"acersacc","114","3006"
"fagugran","105","3006"
"acersacc","120","3007"
"betualle","117","3007"
"fagugran","109","3007"
"acersacc","103","3008"
"betualle","99","3008"
"fraxamer","89","3008"
"picerube","84","3008"
"acersacc","103","3009"
"acersacc","110","3010"
"fagugran","112","3010"
"acerrubr","59","3011"
"betualle","54","3011"
"fagugran","50","3011"
"picerube","47","3011"
"acersacc","84","3012"
"betualle","70","3012"
"fraxamer","82","3012"
"acerrubr","94","3013"
"fagugran","79","3013"
"acersacc","96","3014"
"betualle","71","3014"
"fagugran","76","3014"
"acersacc","82","3015"
"betualle","49","3015"
"fagugran","98","3015"
"picerube","71","3015"
"abiebals","118","3016"
"acerrubr","119","3016"
"acersacc","117","3017"
"fagugran","95","3017"
"abiebals","104","3018"
"acerrubr","106","3018"
"picerube","95","3018"
"acerrubr","123","3019"
"betualle","121","3019"
"betupapy","95","3019"
"acersacc","95","3020"
"betualle","120","3020"
"acersacc","137","3021"
"fraxamer","129","3021"
"acersacc","99","3022"
"betualle","87","3022"
"fagugran","78","3022"
"acersacc","101","3023"
"betualle","85","3023"
"fagugran","128","3023"
"acersacc","94","3024"
"fraxamer","93","3024"
"acersacc","119","3025"
"fagugran","106","3025"
"betualle","86","3026"
