"species","age","mapcode"
"prunsero","72","115"
"acersacc","106","116"
"fraxamer","104","116"
"acersacc","63","117"
"acersacc","78","118"
"betualle","58","118"
"acersacc","81","119"
"betualle","107","119"
"fraxamer","81","119"
"acersacc","96","120"
"fraxamer","101","120"
"acersacc","93","121"
"fraxamer","54","121"
"prunsero","53","121"
"acersacc","91","122"
"fraxamer","66","122"
"acerrubr","85","123"
"acersacc","64","123"
"prunsero","94","123"
"acerrubr","83","124"
"acersacc","76","124"
"fraxamer","88","124"
"acersacc","89","125"
"querrubr","84","125"
"acersacc","76","126"
"fraxamer","78","126"
"pinustro","69","126"
"acerrubr","49","127"
"acersacc","101","127"
"pinustro","116","127"
"acersacc","112","128"
"fraxamer","111","128"
"acersacc","114","129"
"betualle","103","129"
"fraxamer","109","129"
"acersacc","114","130"
"fraxamer","77","130"
"acerrubr","30","131"
"acersacc","76","131"
"betualle","40","131"
"fraxamer","65","131"
"acersacc","72","132"
"acersacc","63","133"
"acersacc","55","134"
"betualle","50","134"
"fraxamer","44","134"
"acersacc","69","135"
"fraxamer","68","135"
"acersacc","108","136"
"fraxamer","105","136"
"acersacc","47","137"
"fraxamer","47","137"
"acersacc","107","138"
"fraxamer","105","138"
"acersacc","82","139"
"fraxamer","58","139"
"acersacc","102","140"
"betualle","102","140"
"fraxamer","101","140"
"acersacc","114","141"
"betualle","100","141"
"fraxamer","78","141"
"acerrubr","52","422"
"acersacc","63","422"
"betualle","63","422"
"betupapy","53","422"
"acerrubr","83","423"
"pinustro","74","423"
"querrubr","68","423"
"tsugcana","88","423"
"betulent","65","424"
"fraxamer","84","424"
"tsugcana","64","424"
"acerrubr","75","425"
"betualle","72","425"
"fagugran","86","425"
"prunsero","77","425"
"acerrubr","67","426"
"tsugcana","88","426"
"acerrubr","105","427"
"fraxamer","54","427"
"pinustro","54","427"
"querrubr","106","427"
"tsugcana","122","427"
"acersacc","84","428"
"betualle","73","428"
"fagugran","62","428"
"fraxamer","71","428"
"picerube","103","429"
"acerrubr","76","430"
"pinustro","65","430"
"prunsero","58","430"
"fraxamer","69","431"
"pinustro","60","431"
"tsugcana","116","431"
"acerrubr","72","432"
"acersacc","66","432"
"fagugran","84","432"
"querrubr","68","432"
"pinustro","86","433"
"acersacc","83","434"
"fraxamer","90","434"
