"TextClass","elevbin","soilindex2","fieldcap","wiltpoint","WHC","slopegradw","brockdepmi","ksat","sand","silt","clay","maxdepth","elev"
"Loam",1,"1",23.8169780676666,9.79985796757845,14.0171201000882,14.6213355372732,22.7241329067386,9.63554485033529,43.3512106683514,44.4131359951617,12.2356533364869,84.3887032628648,287.448854774411
"Loam",2,"2",20.2681721549469,9.32451528437554,10.9436568705714,21.9565215809245,36.2236710818537,12.4426370482271,41.4407730664358,45.0913090897491,13.4679178438152,73.5643137326998,488.134774111752
"Loam",3,"3",20.0104094107745,9.67507287711833,10.3353365336561,17.9525901431884,40.3373479002861,11.2609568464757,43.1153605165037,45.2751942392284,11.6094452442679,85.0135294390083,725.047119394677
"LoamySand",1,"5",9.96507837466267,5.1560828706054,4.80899550405727,10.0712429092783,NA,130.343553668525,80.4158596843022,16.0876540265527,3.49648628914506,100,271.883868943924
"LoamySand",2,"6",10.2929856053816,5.48976230550719,4.80322329987441,11.0248657130245,NA,142.975787452949,81.1456373809771,15.6451569192114,3.2092056998115,100,450.597732616269
"LoamySand",3,"7",10.924169075845,5.06911907383641,5.8550500020086,5.53692008605929,NA,197.870081628515,81.1459426942343,15.1729431660835,3.68111413968217,100,704.776392690333
"Sand",1,"10",9.5643288442504,4.92336776207086,4.64096108217953,15.3550831490493,NA,104.06517971584,88.0807130526244,9.26671993575859,2.652567011617,100,282.412204093991
"Sand",2,"11",9.2654181180796,4.58173717834833,4.68368093973127,16.7999466070711,NA,104.849813871278,87.9234759874004,9.7431373490162,2.33338666358337,100,453.665351891039
"Sand",3,"12",9.20330521130191,5.16242229850746,4.04088291279445,16.5654222095075,NA,106.025821340778,88.6627412414027,9.4242145692499,1.91304418934736,100,722.581259330323
"SandyClayLoam",1,"14",28.08399982,8.633333524,19.450666296,4.17772596843615,NA,15.52400045,45.5978269096024,24.7826083800803,29.6195647103172,100,265.505389125412
"SandyClayLoam",2,"14",28.08399982,8.633333524,19.450666296,4.17772596843615,NA,15.52400045,45.5978269096024,24.7826083800803,29.6195647103172,100,265.505389125412
"SandyLoam",1,"16",17.126274501733,8.75183386021031,8.37444064152271,17.7483751465626,53.8271519750129,20.5787151825996,60.4261600475886,33.9021518305454,5.67168812186597,87.5033920977032,286.88695051302
"SandyLoam",2,"17",17.6578730827742,8.96950767558966,8.6883654071845,18.6998349743858,49.8580688465551,13.3682662791517,58.7269707025732,36.7323697097982,4.54065958762859,84.2242807980867,483.640632844626
"SandyLoam",3,"18",19.0129154158374,10.7371186662178,8.27579674961965,23.8275993062673,53.110646813413,12.3619363340237,65.0532335761615,29.1715161476286,5.77525027620995,82.2045438470184,751.984052860751
"SiltLoam",1,"20",20.6978372920178,10.0257863457875,10.6720509462304,9.09253995342068,32.698268368163,7.56852474729525,36.6859294290699,53.3659241547974,9.9481464161327,96.9549200404064,288.419160322146
"SiltLoam",2,"21",19.6465131108613,10.2543780242494,9.39213508661189,12.8655001982089,32.7441480220265,7.21407778244386,38.4834510305073,52.2592807866125,9.25726818288021,93.5585510828486,453.723114130994
"SiltLoam",3,"22",19.1130966131453,10.8455817823849,8.26751483076042,17.7741523623394,32.7017725561766,8.28491400103175,36.745279431723,51.5528907095385,11.7018298587385,84.5955274951392,726.907490304667
"SiltyClayLoam",1,"23",33.4691755108947,12.7439618380911,20.7252136728035,5.65661019308636,NA,4.27845111960931,17.4235940242366,52.8246501245614,29.751755851202,100,275.140534853084
"SiltyClayLoam",2,"24",33.13298320569,13.342498921795,19.790484283895,5.72752847320632,NA,4.183649236754,16.5909863285784,52.9870810488019,30.4219326226197,100,430.022043998749
"SiltyClayLoam",3,"24",33.13298320569,13.342498921795,19.790484283895,5.72752847320632,NA,4.183649236754,16.5909863285784,52.9870810488019,30.4219326226197,100,430.022043998749
NA,NA,"0",NA,NA,NA,NA,0,0.109650002,NA,NA,NA,64.2856251457096,369.673303509624
