"","stand","num_plots","num_ash_plots","prop_ash"
"763",30058922,2737,1015,0.370843989769821
"766",10083046,95,19,0.2
"769",10035894,170,35,0.205882352941176
"772",10034254,49,14,0.285714285714286
"773",10033659,124,52,0.419354838709677
"782",10083064,89,14,0.157303370786517
"791",10082941,79,18,0.227848101265823
"794",10034345,138,22,0.159420289855072
"795",30057026,56,25,0.446428571428571
"797",10308451,56,13,0.232142857142857
"807",60056228,80,21,0.2625
"809",10308323,144,23,0.159722222222222
"821",10034123,97,33,0.34020618556701
"822",10034957,308,161,0.522727272727273
"828",10053913,134,31,0.23134328358209
"829",10053964,75,30,0.4
"831",10082961,1692,316,0.186761229314421
"834",10053978,107,26,0.242990654205607
"850",10083100,53,11,0.207547169811321
"853",10036891,769,166,0.215864759427828
"854",10036126,95,15,0.157894736842105
"862",10057251,47,8,0.170212765957447
"877",10082566,85,20,0.235294117647059
"886",10082986,115,29,0.252173913043478
"887",60083044,61,14,0.229508196721311
"892",60034880,45,15,0.333333333333333
"895",10056336,55,13,0.236363636363636
"906",10035935,61,12,0.19672131147541
"907",10034879,116,25,0.21551724137931
"909",10056211,73,46,0.63013698630137
"912",10053974,391,120,0.30690537084399
"915",30057476,550,179,0.325454545454545
"916",10057476,498,267,0.536144578313253
"917",10057427,303,155,0.511551155115512
"921",10057033,216,43,0.199074074074074
"928",10083127,57,13,0.228070175438596
"938",10034260,51,16,0.313725490196078
"941",10056006,135,37,0.274074074074074
"951",10036125,105,29,0.276190476190476
"952",10034258,244,69,0.282786885245902
"956",10034419,411,154,0.374695863746959
"958",10056214,122,40,0.327868852459016
"981",10307231,361,60,0.166204986149584
"1008",10053914,110,51,0.463636363636364
"1009",10056256,89,20,0.224719101123595
"1014",30057388,480,173,0.360416666666667
"1015",10056924,231,102,0.441558441558442
"1024",10137193,115,40,0.347826086956522
"1047",10033725,85,23,0.270588235294118
"1051",10056245,759,218,0.287220026350461
"1061",60056120,56,18,0.321428571428571
"1062",60053872,64,19,0.296875
"1065",10082976,88,15,0.170454545454545
"1073",10082970,627,104,0.165869218500797
"1074",10082683,531,92,0.173258003766478
"1078",10034206,102,41,0.401960784313726
"1079",10033525,216,88,0.407407407407407
"1081",10056163,95,36,0.378947368421053
"1083",10056281,529,225,0.425330812854442
"1088",10082651,73,14,0.191780821917808
"1093",10034257,88,23,0.261363636363636
"1096",10056881,146,53,0.363013698630137
"1106",10034939,301,67,0.222591362126246
"1108",10056080,58,18,0.310344827586207
"1109",50056280,56,13,0.232142857142857
"1115",10056179,278,89,0.320143884892086
"1116",10056135,157,85,0.54140127388535
"1119",30056852,652,245,0.375766871165644
"1123",10082944,60,13,0.216666666666667
"1127",10035892,292,83,0.284246575342466
"1128",10056097,118,50,0.423728813559322
"1129",10056331,290,96,0.331034482758621
"1140",10056272,66,18,0.272727272727273
"1143",10056271,243,75,0.308641975308642
"1145",50056984,471,92,0.195329087048832
"1146",10057321,133,30,0.225563909774436
"1147",10057589,266,55,0.206766917293233
"1148",10057543,300,50,0.166666666666667
"1151",10055197,47,13,0.276595744680851
"1153",10308389,159,38,0.238993710691824
"1154",10082977,126,23,0.182539682539683
"1155",10082091,108,19,0.175925925925926
"1162",10036699,67,12,0.17910447761194
"1163",10056169,47,13,0.276595744680851
"1164",10053887,391,118,0.301790281329923
"1165",10057442,74,31,0.418918918918919
"1166",60057440,52,12,0.230769230769231
"1167",10081937,303,60,0.198019801980198
"1173",10035873,118,36,0.305084745762712
"1175",10034197,50,26,0.52
"1178",10056212,1624,535,0.329433497536946
"1189",10056853,1063,360,0.338664158043274
"1190",10037336,51,9,0.176470588235294
"1195",10056001,96,37,0.385416666666667
"1196",10053993,104,47,0.451923076923077
"1198",10057435,63,17,0.26984126984127
"1204",10037172,91,22,0.241758241758242
"1206",10056349,87,53,0.609195402298851
"1214",10034537,252,75,0.297619047619048
"1217",30057122,748,132,0.176470588235294
"1218",60056928,48,13,0.270833333333333
"1224",10034829,47,24,0.51063829787234
"1225",10033874,102,60,0.588235294117647
"1227",10057339,61,19,0.311475409836066
"1228",10033526,49,9,0.183673469387755
"1230",30057314,138,26,0.188405797101449
"1233",10056928,178,36,0.202247191011236
"1237",10034601,637,180,0.282574568288854
"1239",10053923,132,46,0.348484848484849
"1242",10057342,60,26,0.433333333333333
"1249",10053864,209,43,0.205741626794258
"1265",10034256,103,39,0.378640776699029
"1266",10033541,49,12,0.244897959183673
"1271",10057340,140,79,0.564285714285714
"1282",10057276,77,15,0.194805194805195
"1288",10034232,170,48,0.282352941176471
"1291",6e+07,196,70,0.357142857142857
"1307",10057270,83,41,0.493975903614458
"1309",10057545,201,38,0.189054726368159
"1310",10057389,147,28,0.19047619047619
"1316",60033776,58,28,0.482758620689655
"1319",10034201,104,29,0.278846153846154
"1322",10058920,64,31,0.484375
"1325",10057493,115,53,0.460869565217391
"1326",10057307,118,55,0.466101694915254
"1328",10307061,73,14,0.191780821917808
"1330",10036134,164,73,0.445121951219512
"1333",10307079,108,19,0.175925925925926
"1334",10307083,1279,195,0.152462861610633
"1342",10033777,565,213,0.376991150442478
"1344",30057016,5403,1154,0.213585045345179
"1346",10308392,394,67,0.17005076142132
"1347",10081933,127,21,0.165354330708661
"1353",30057062,75,13,0.173333333333333
"1356",60057016,89,24,0.269662921348315
"1359",10081931,398,77,0.193467336683417
"1367",10056305,226,75,0.331858407079646
"1372",10056177,50,16,0.32
"1375",10058075,158,72,0.455696202531646
"1380",30057002,290,45,0.155172413793103
"1384",60081932,49,9,0.183673469387755
"1389",10034679,186,70,0.376344086021505
"1390",10053944,62,22,0.354838709677419
"1395",10307331,124,36,0.290322580645161
"1401",10082769,333,52,0.156156156156156
"1407",10056209,528,149,0.28219696969697
"1408",50056208,80,32,0.4
"1416",10053922,63,25,0.396825396825397
"1420",10307337,389,94,0.241645244215938
"1423",10035983,232,43,0.185344827586207
"1427",10056267,121,42,0.347107438016529
"1429",10056114,53,14,0.264150943396226
"1430",10058919,141,41,0.290780141843972
"1440",10053871,204,78,0.382352941176471
"1448",10037257,88,28,0.318181818181818
"1453",10056107,113,33,0.292035398230089
"1455",10053940,51,18,0.352941176470588
"1458",10055999,806,306,0.379652605459057
"1459",60058920,67,16,0.238805970149254
"1460",30057432,58,15,0.258620689655172
"1461",10057009,124,40,0.32258064516129
"1468",10056338,192,59,0.307291666666667
"1469",30057324,238,123,0.516806722689076
"1471",30058008,75,28,0.373333333333333
"1472",10057343,113,31,0.274336283185841
"1473",10057345,47,13,0.276595744680851
"1486",10034347,63,11,0.174603174603175
"1491",50057008,1134,421,0.371252204585538
"1495",10057567,57,13,0.228070175438596
"1497",60307084,60,13,0.216666666666667
"1504",10034421,328,121,0.36890243902439
"1509",30057010,195,108,0.553846153846154
"1528",10034410,68,20,0.294117647058824
"1531",10056977,248,57,0.229838709677419
"1535",10082699,217,33,0.152073732718894
"1553",10034530,56,25,0.446428571428571
"1557",10056093,467,169,0.361884368308351
"1558",10056264,284,94,0.330985915492958
"1560",10307323,208,51,0.245192307692308
"1563",10308358,199,34,0.170854271356784
"1564",10307326,218,52,0.238532110091743
"1571",60035016,100,33,0.33
"1579",10057222,75,17,0.226666666666667
"1582",10081932,301,57,0.18936877076412
"1589",10036056,49,17,0.346938775510204
"1593",10308535,740,168,0.227027027027027
"1595",10081869,1098,181,0.164845173041894
"1599",10056333,102,30,0.294117647058824
"1602",10307341,132,29,0.21969696969697
"1604",10034810,73,14,0.191780821917808
"1607",10056182,73,17,0.232876712328767
"1616",10053942,185,67,0.362162162162162
"1617",10057462,115,20,0.173913043478261
"1618",10082749,99,19,0.191919191919192
"1628",10138662,69,29,0.420289855072464
"1629",10033782,55,9,0.163636363636364
"1630",10036710,190,30,0.157894736842105
"1638",60034968,55,16,0.290909090909091
"1653",10036084,50,23,0.46
"1654",10036087,321,111,0.345794392523364
"1657",10056791,114,29,0.254385964912281
"1660",10307336,96,32,0.333333333333333
"1664",10053968,47,10,0.212765957446809
"1671",60036904,75,19,0.253333333333333
"1676",60056092,48,17,0.354166666666667
"1677",10056359,640,205,0.3203125
"1680",10056794,275,54,0.196363636363636
"1681",10057354,472,90,0.190677966101695
"1683",10057400,181,35,0.193370165745856
"1688",10034857,48,12,0.25
"1691",10053999,665,208,0.312781954887218
"1692",50054000,61,22,0.360655737704918
"1705",10056226,328,127,0.38719512195122
"1706",10056368,120,26,0.216666666666667
"1714",10056122,58,16,0.275862068965517
"1715",60056224,110,34,0.309090909090909
"1721",10035996,56,10,0.178571428571429
"1724",10034921,169,49,0.289940828402367
"1731",10307078,318,60,0.188679245283019
"1735",10307020,227,47,0.20704845814978
"1737",10081926,601,103,0.171381031613977
"1744",10056309,632,182,0.287974683544304
"1746",10307342,112,43,0.383928571428571
"1756",10056246,193,51,0.264248704663212
"1759",10082682,159,34,0.213836477987421
"1769",10056132,96,47,0.489583333333333
"1779",10056293,304,69,0.226973684210526
"1780",10056321,89,33,0.370786516853933
"1782",10057010,73,42,0.575342465753425
"1793",10056129,63,22,0.349206349206349
"1795",10057344,50,13,0.26
"1804",10036079,179,69,0.385474860335196
"1833",10034855,96,25,0.260416666666667
"1834",10056218,203,66,0.32512315270936
"1845",10057515,63,16,0.253968253968254
"1847",10307087,100,32,0.32
"1859",10036981,622,189,0.303858520900322
"1860",10036910,110,36,0.327272727272727
"1866",10056819,77,23,0.298701298701299
"1868",10056862,123,27,0.219512195121951
"1869",10057315,127,29,0.228346456692913
"1876",10053959,291,102,0.350515463917526
"1877",10053879,82,15,0.182926829268293
"1881",10036061,95,20,0.210526315789474
"1886",30056820,48,32,0.666666666666667
"1896",30058508,254,125,0.492125984251969
"1908",10053924,74,18,0.243243243243243
"1909",10056051,96,22,0.229166666666667
"1912",10056250,160,35,0.21875
"1913",10056091,346,130,0.375722543352601
"1914",30058908,164,82,0.5
"1915",10057464,138,43,0.311594202898551
"1916",10057428,53,19,0.358490566037736
"1925",10035037,56,11,0.196428571428571
"1926",10056062,45,23,0.511111111111111
"1927",10053862,150,51,0.34
"1928",10056213,61,23,0.377049180327869
"1931",10033826,57,21,0.368421052631579
"1932",10034700,267,83,0.310861423220974
"1944",10308505,49,8,0.163265306122449
"1949",10138398,146,35,0.23972602739726
"1953",10033516,64,18,0.28125
"1955",10036819,126,33,0.261904761904762
"1961",10083264,57,9,0.157894736842105
"1964",10036031,450,184,0.408888888888889
"1967",10056112,87,27,0.310344827586207
"1968",10057391,87,22,0.252873563218391
"1970",10057452,47,18,0.382978723404255
"1971",60308080,144,36,0.25
"1972",10308079,203,31,0.152709359605911
"1975",10033688,409,140,0.342298288508557
"1980",10307092,110,17,0.154545454545455
"1986",10033894,165,33,0.2
"1989",10034107,145,26,0.179310344827586
"1992",30057392,45,27,0.6
"1998",10033611,114,21,0.184210526315789
"2002",10053979,116,43,0.370689655172414
"2003",10056826,100,26,0.26
"2011",10033689,325,78,0.24
"2030",10056290,112,36,0.321428571428571
"2036",10083186,77,13,0.168831168831169
"2038",10081901,58,12,0.206896551724138
"2047",10056167,251,98,0.390438247011952
"2048",10056075,179,54,0.301675977653631
"2051",10081992,68,20,0.294117647058824
"2063",10056210,249,82,0.329317269076305
"2065",30057456,229,141,0.615720524017467
"2077",10056090,238,71,0.298319327731092
"2078",10056232,2393,853,0.356456330965315
"2079",10057111,290,77,0.26551724137931
"2080",10058085,119,24,0.201680672268908
"2081",10058086,114,30,0.263157894736842
"2082",10137413,424,90,0.212264150943396
"2083",10137412,95,25,0.263157894736842
"2085",10057544,56,17,0.303571428571429
