Year   Month   Tmax   Tmin   Prec   PAR   CO2
1800-1958   1   -1.5782   -12.2891   79.4246   152.1705   355.7315
1800-1958   2   -0.2258   -11.732   82.4212   232.031   356.4926
1800-1958   3   4.5172   -6.442   89.3864   327.5085   356.696
1800-1958   4   12.0037   -0.4139   98.8597   428.9781   357.9722
1800-1958   5   19.0047   5.5077   104.1752   494.781   358.5598
1800-1958   6   23.2236   10.3046   114.9803   540.8683   357.9803
1800-1958   7   25.8869   13.1124   108.7166   540.9142   356.4695
1800-1958   8   25.0036   12.4077   106.9836   471.8125   354.4635
1800-1958   9   20.9307   8.4122   97.2589   372.5104   352.9024
1800-1958   10   14.6082   2.4175   99.691   243.6094   352.9462
1800-1958   11   7.4813   -2.2869   104.6732   155.7623   354.2837
1800-1958   12   0.9548   -8.386   106.6655   122.7419   355.5944
1959   1   -1.8379   -12.8145   92.063   147.864   315.58
1959   2   -1.5815   -14.9595   74.8328   243.6411   316.48
1959   3   3.7087   -7.8455   85.1736   346.3596   316.65
1959   4   12.6674   -0.3724   84.8267   407.7869   317.72
1959   5   21.064   6.1403   42.164   536.1593   318.29
1959   6   22.4305   10.6377   98.0369   479.9871   318.15
1959   7   26.7185   13.1817   74.071   530.6224   316.54
1959   8   26.4873   13.4441   111.2754   436.9854   314.8
1959   9   23.014   9.3559   53.8868   381.8894   313.84
1959   10   14.4087   3.825   171.4009   215.4739   313.33
1959   11   6.9409   -3.0802   159.5207   153.4039   314.81
1959   12   1.3639   -6.8001   113.5044   121.8076   315.58
1960   1   -1.1297   -11.4905   70.1072   150.0248   316.43
1960   2   1.1697   -8.6364   110.8142   217.312   316.98
1960   3   0.0538   -10.3369   68.4184   359.3274   317.58
1960   4   13.0823   0.9382   126.3624   396.5167   319.03
1960   5   19.7744   6.7618   97.6202   430.7956   320.04
1960   6   23.2191   9.6957   118.7736   567.6239   319.59
1960   7   24.3877   10.9655   162.0712   539.6822   318.18
1960   8   24.3656   11.6647   85.5266   456.4927   315.9
1960   9   20.5726   8.4844   190.4963   353.824   314.17
1960   10   14.3918   1.2701   62.4757   244.8688   313.83
1960   11   9.007   -2.0977   66.2843   181.1532   315
1960   12   -1.228   -13.526   53.5288   142.3137   316.19
1961   1   -4.3563   -17.8151   52.1354   170.7152   316.89
1961   2   0.6109   -12.2288   87.2386   218.6263   317.7
1961   3   3.9381   -6.9009   80.8519   321.8639   318.54
1961   4   8.8898   -0.8265   114.2023   393.7663   319.48
1961   5   16.7439   3.923   108.6996   471.5959   320.58
1961   6   23.2303   9.5398   107.9539   552.7028   319.77
1961   7   24.8913   12.3444   98.0886   521.5965   318.57
1961   8   24.2406   11.8283   100.3681   452.6611   316.79
1961   9   23.9755   10.8871   60.7081   383.1188   314.99
1961   10   16.6322   3.2499   48.6182   232.7095   315.31
1961   11   6.9432   -1.8381   97.5642   161.625   316.1
1961   12   -0.038   -8.3453   80.5729   121.5473   317.01
1962   1   -1.3705   -12.97   70.658   162.2162   317.94
1962   2   -2.5926   -13.9041   110.7716   205.506   318.55
1962   3   4.7001   -6.543   40.6212   345.0195   319.68
1962   4   12.3423   -1.0738   101.914   417.5056   320.57
1962   5   19.2581   5.1434   57.4911   506.3405   321.02
1962   6   23.8687   9.9261   58.3243   555.6209   320.62
1962   7   24.3791   9.9029   86.0566   551.804   319.61
1962   8   23.8693   11.0665   94.645   444.4273   317.4
1962   9   18.8847   6.1127   83.5385   375.9574   316.25
1962   10   13.6014   2.2664   112.4282   220.8311   315.42
1962   11   5.3165   -5.0649   75.6157   170.4469   316.69
1962   12   -0.9491   -12.6809   85.9074   134.7786   317.7
1963   1   -2.9548   -13.7696   71.8727   157.439   318.74
1963   2   -3.1163   -16.8331   68.0676   254.5476   319.07
1963   3   4.1515   -6.5898   91.0724   302.744   319.86
1963   4   11.8107   -1.9287   45.3098   458.0252   321.38
1963   5   18.7318   3.8465   65.993   517.3226   322.25
1963   6   23.5907   9.3434   88.6415   542.2888   321.48
1963   7   26.0947   12.2229   64.634   556.2336   319.74
1963   8   22.9183   9.8106   80.116   451.8739   317.77
1963   9   19.1883   4.3244   77.6462   372.2075   316.21
1963   10   18.8265   2.8452   10.2778   266.7519   315.99
1963   11   9.2749   0.793   155.8359   135.0696   317.07
1963   12   -3.709   -13.5392   63.7181   146.8852   318.35
1964   1   -0.0654   -11.8   109.9972   146.7614   319.57
1964   2   -1.0458   -13.2922   55.1012   249.3838   320.01
1964   3   4.8527   -5.8638   93.6921   320.4277   320.74
1964   4   11.1861   -1.1892   79.7292   398.5224   321.84
1964   5   21.6397   5.8391   41.6995   553.8272   322.26
1964   6   23.408   8.732   42.3793   585.7418   321.89
1964   7   26.2465   13.3607   65.0216   517.7064   320.44
1964   8   22.881   8.8921   85.4431   460.7361   318.69
1964   9   20.7632   6.324   19.9018   385.6915   316.7
1964   10   14.5654   0.1317   28.1763   260.3064   316.87
1964   11   8.4891   -2.8071   57.5784   167.1742   317.68
1964   12   0.1061   -8.7624   112.0656   110.6215   318.71
1965   1   -3.4045   -14.5056   51.5606   152.9828   319.44
1965   2   -1.3322   -12.6191   77.6411   235.0451   320.44
1965   3   2.4219   -6.9266   35.5884   344.0886   320.89
1965   4   9.9278   -2.4166   69.9005   445.2696   322.14
1965   5   21.6102   5.413   42.1826   543.2864   322.17
1965   6   23.4273   8.0769   60.3263   597.0738   321.87
1965   7   24.9891   9.8914   79.2152   563.4659   321.21
1965   8   24.3918   11.5566   105.1319   451.75   318.87
1965   9   20.2017   8.8171   115.5922   356.3468   317.81
1965   10   13.9642   1.3338   72.5124   247.8869   317.3
1965   11   5.7665   -3.8661   77.6069   180.5955   318.87
1965   12   1.5957   -6.9805   53.466   126.7525   319.42
1966   1   -2.3693   -12.1529   56.8022   149.9989   320.62
