LandisData     EcoregionParameters
EcoregionParameters   SoilType   Latitude   RootingDepth   PrecLossFrac   LeakageFrac   RunoffCapture   PrecIntConst   SnowSublimFrac   WinterSTD   ClimateFileName
207   LOSA   43   50   0.139424539   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_7_HBPAR.txt
210   SAND   43   50   0.386654558   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_10_HBPAR.txt
211   SAND   43   50   0.423037497   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_11_HBPAR.txt
212   SAND   43   50   0.417131965   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_12_HBPAR.txt
214   SNCL   43   50   0.105198831   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_14_HBPAR.txt
216   SALO   43   43.75169605   0.446919765   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_16_HBPAR.txt
217   SALO   43   42.1121404   0.470878364   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_17_HBPAR.txt
218   SALO   43   41.10227192   0.6   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_18_HBPAR.txt
220   SILO   43   48.47746002   0.228958188   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_20_HBPAR.txt
221   SILO   43   46.77927554   0.32396466   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_21_HBPAR.txt
222   SILO   43   42.29776375   0.447568858   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_22_HBPAR.txt
301   LOAM   45   42.19435163   0.368178145   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_101_HBPAR.txt
302   LOAM   45   36.78215687   0.55288461   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_102_HBPAR.txt
303   LOAM   45   42.50676472   0.452062079   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_103_HBPAR.txt
305   LOSA   45   50   0.253602793   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_105_HBPAR.txt
306   LOSA   45   50   0.277615858   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_106_HBPAR.txt
307   LOSA   45   50   0.139424539   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_107_HBPAR.txt
310   SAND   45   50   0.386654558   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_110_HBPAR.txt
311   SAND   45   50   0.423037497   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_111_HBPAR.txt
312   SAND   45   50   0.417131965   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_112_HBPAR.txt
316   SALO   45   43.75169605   0.446919765   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_116_HBPAR.txt
317   SALO   45   42.1121404   0.470878364   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_117_HBPAR.txt
318   SALO   45   41.10227192   0.6   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_118_HBPAR.txt
320   SILO   45   48.47746002   0.228958188   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_120_HBPAR.txt
321   SILO   45   46.77927554   0.32396466   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_121_HBPAR.txt
322   SILO   45   42.29776375   0.447568858   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_122_HBPAR.txt
323   SLCL   45   50   0.142438442   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_123_HBPAR.txt
324   SLCL   45   50   0.144224227   1   0   0.1   0.15   6.67   ../../histclim_eco/HubbardBrook_PAR/TerraClimate_historical_eco_124_HBPAR.txt
