Year   Month   Tmax   Tmin   Prec   PAR   CO2
1800-1958   1   -4.1819   -15.4836   66.9062   142.0457   355.7315
1800-1958   2   -2.6571   -14.9787   65.7784   221.6353   356.4926
1800-1958   3   2.5384   -8.8203   70.0416   325.2133   356.696
1800-1958   4   10.5761   -1.4685   81.5786   426.5434   357.9722
1800-1958   5   18.5626   4.8832   94.2151   489.7426   358.5598
1800-1958   6   23.0704   9.9476   115.688   540.4001   357.9803
1800-1958   7   25.7178   12.7873   114.2146   532.8755   356.4695
1800-1958   8   24.6384   11.8086   117.9493   470.3663   354.4635
1800-1958   9   20.2049   7.7821   88.9953   361.0489   352.9024
1800-1958   10   13.1732   2.126   103.8416   220.7808   352.9462
1800-1958   11   5.4357   -3.1345   96.0638   135.6851   354.2837
1800-1958   12   -1.3457   -10.6621   93.9934   107.3515   355.5944
1959   1   -5.1081   -16.5295   97.7824   138.6154   315.58
1959   2   -5.0571   -20.258   71.3413   233.8785   316.48
1959   3   1.5505   -11.2969   54.3832   350.2825   316.65
1959   4   11.5556   -1.6033   41.7216   437.8061   317.72
1959   5   20.5029   5.4818   48.6895   523.4288   318.29
1959   6   22.0113   10.5285   118.4681   475.4293   318.15
1959   7   27.8319   12.82   51.9011   557.1038   316.54
1959   8   26.3017   13.269   127.9175   438.521   314.8
1959   9   22.1566   8.6871   50.9416   351.3676   313.84
1959   10   12.4779   2.1947   173.8716   195.0667   313.33
1959   11   4.9664   -3.9865   158.8194   127.3501   314.81
1959   12   -1.3492   -9.0756   87.7273   105.8883   315.58
1960   1   -4.163   -15.9972   56.8268   138.2134   316.43
1960   2   -0.35   -10.65   89.0373   191.1609   316.98
1960   3   -1.4271   -11.5507   46.4835   346.1568   317.58
1960   4   10.7556   -0.9122   91.1243   406.4573   319.03
1960   5   21.2996   7.44   86.3069   449.3887   320.04
1960   6   23.3162   9.059   121.6245   551.6627   319.59
1960   7   24.2144   10.9144   94.235   530.5809   318.18
1960   8   24.9338   10.2256   54.1547   491.2803   315.9
1960   9   20.5835   7.6185   101.3815   341.5285   314.17
1960   10   12.4736   0.2929   104.8217   219.0784   313.83
1960   11   7.0488   -1.2572   60.8048   140.3287   315
1960   12   -2.9838   -14.0398   42.6602   121.9336   316.19
1961   1   -7.4428   -20.7353   30.8736   158.4249   316.89
1961   2   -1.3153   -15.4249   73.2095   203.7548   317.7
1961   3   2.269   -9.5713   59.0723   323.438   318.54
1961   4   8.2143   -1.2326   112.5428   379.3274   319.48
1961   5   16.4385   3.5677   88.76   462.8349   320.58
1961   6   22.72   9.3811   123.44   554.976   319.77
1961   7   24.9517   12.6317   126.3221   499.0285   318.57
1961   8   24.3569   11.9054   92.4553   453.3491   316.79
1961   9   23.9512   10.5711   53.8204   353.0169   314.99
1961   10   15.4166   2.8854   57.8364   202.5776   315.31
1961   11   5.6191   -2.1974   81.8088   128.9906   316.1
1961   12   -1.6473   -9.1529   69.8638   107.9   317.01
1962   1   -4.0001   -17.0849   46.0707   151.4465   317.94
1962   2   -4.8747   -18.2578   65.9659   211.1477   318.55
1962   3   3.584   -8.6051   44.2613   342.6507   319.68
1962   4   10.306   -1.8598   100.4957   403.4895   320.57
1962   5   18.0044   4.4945   66.9241   470.9058   321.02
1962   6   24.0605   9.1006   75.9279   557.6139   320.62
1962   7   23.1877   9.6245   167.4823   520.6934   319.61
1962   8   24.1146   11.3602   104.6317   453.4342   317.4
1962   9   18.4133   6.5416   81.6721   332.7405   316.25
1962   10   11.9012   2.1958   159.5663   190.9429   315.42
1962   11   3.8518   -5.3567   71.2946   150.5576   316.69
1962   12   -2.1817   -13.4048   65.7452   117.4952   317.7
1963   1   -4.7859   -14.4789   45.4167   145.4746   318.74
1963   2   -6.4302   -19.2336   64.592   235.4662   319.07
1963   3   2.3774   -10.1289   61.6679   304.8373   319.86
1963   4   9.484   -2.2473   92.7915   427.5193   321.38
1963   5   17.7889   3.2886   77.7438   519.1833   322.25
1963   6   24.2689   9.6985   61.1761   557.8782   321.48
1963   7   26.0497   13.4914   96.3419   522.6392   319.74
1963   8   21.7399   10.0742   174.3387   417.3318   317.77
1963   9   18.8816   3.871   55.207   364.1599   316.21
1963   10   17.3608   3.3087   20.2346   247.1982   315.99
1963   11   7.6058   -0.2277   148.0228   108.0931   317.07
1963   12   -6.9238   -16.6165   49.7162   129.3173   318.35
1964   1   -1.961   -12.772   68.0153   134.9925   319.57
1964   2   -2.9253   -15.8381   32.288   227.3725   320.01
1964   3   2.926   -7.5627   95.9555   317.1969   320.74
1964   4   10.2505   -2.3402   69.3925   414.9144   321.84
1964   5   20.6517   5.7503   93.0556   499.1312   322.26
1964   6   23.1768   8.4043   62.7778   588.8803   321.89
1964   7   26.0719   13.3025   83.0031   512.0578   320.44
1964   8   21.8496   8.7498   105.6906   454.7754   318.69
1964   9   18.9608   5.2256   32.2385   357.4035   316.7
1964   10   12.7731   0.297   63.6468   230.8756   316.87
1964   11   5.6893   -4.2967   82.6341   142.7145   317.68
1964   12   -1.2647   -10.638   83.0703   104.2885   318.71
