Year   Month   Tmax   Tmin   Prec   PAR   CO2
1800-1958   1   -4.5   -15.7672   68.8541   142.8079   355.7315
1800-1958   2   -2.9571   -15.2805   67.1774   220.2502   356.4926
1800-1958   3   2.0582   -9.3053   73.2275   322.0489   356.696
1800-1958   4   9.5504   -2.2907   83.4575   424.8578   357.9722
1800-1958   5   17.6272   4.1605   96.6145   487.2183   358.5598
1800-1958   6   22.0738   9.144   120.3206   536.1232   357.9803
1800-1958   7   24.6887   11.9955   116.2077   528.6156   356.4695
1800-1958   8   23.7185   11.2241   123.0312   468.3755   354.4635
1800-1958   9   19.4152   7.2496   91.4215   360.0298   352.9024
1800-1958   10   12.5175   1.5202   104.7244   221.3436   352.9462
1800-1958   11   5.0014   -3.6293   100.1023   136.8038   354.2837
1800-1958   12   -1.6768   -11.0211   97.2403   108.1939   355.5944
1959   1   -5.3207   -16.8331   99.1566   138.9033   315.58
1959   2   -5.3375   -20.4913   71.1678   232.4382   316.48
1959   3   1.0288   -11.7951   58.9936   347.1319   316.65
1959   4   10.4501   -2.3432   41.8106   431.1543   317.72
1959   5   19.5764   4.7576   49.3625   521.206   318.29
1959   6   20.9787   9.7963   120.9715   464.4186   318.15
1959   7   26.7766   12.192   52.1092   550.3279   316.54
1959   8   25.3344   12.7125   135.0616   434.3463   314.8
1959   9   21.2318   8.2144   55.9053   350.8477   313.84
1959   10   11.9077   1.6672   179.0318   195.8216   313.33
1959   11   4.6776   -4.3584   167.0585   129.577   314.81
1959   12   -1.692   -9.2843   92.2308   107.1268   315.58
1960   1   -4.4598   -16.0075   59.1164   138.8479   316.43
1960   2   -0.6217   -11.0215   91.4349   190.8962   316.98
1960   3   -1.9856   -12.2062   47.6708   344.111   317.58
1960   4   9.7545   -1.5939   97.1399   401.4217   319.03
1960   5   20.26   6.7189   91.0023   440.8955   320.04
1960   6   22.3039   8.3447   128.0982   550.3667   319.59
1960   7   23.2365   10.0346   100.5665   526.8566   318.18
1960   8   23.9251   9.6983   55.7241   487.0975   315.9
1960   9   19.8325   7.1332   109.2765   341.6922   314.17
1960   10   11.8614   -0.3275   103.3119   220.4121   313.83
1960   11   6.6012   -1.9311   63.3122   143.7879   315
1960   12   -3.4296   -14.6385   44.552   123.5063   316.19
