Year   Month   Tmax   Tmin   Prec   PAR   CO2
1800-1958   1   -1.7409   -12.0679   82.1129   347.1152   355.7315
1800-1958   2   -0.4542   -11.6063   87.4158   467.4379   356.4926
1800-1958   3   4.1405   -6.4567   91.9899   573.0314   356.696
1800-1958   4   11.3349   -0.5565   101.9062   669.8101   357.9722
1800-1958   5   18.2702   5.3459   105.0326   721.2414   358.5598
1800-1958   6   22.5487   10.2838   115.5661   726.2708   357.9803
1800-1958   7   25.306   13.1715   110.2078   723.1254   356.4695
1800-1958   8   24.4735   12.4998   105.8661   684.2138   354.4635
1800-1958   9   20.5338   8.484   97.8113   601.0486   352.9024
1800-1958   10   14.3173   2.5004   99.1556   468.9326   352.9462
1800-1958   11   7.242   -2.3044   106.9813   324.198   354.2837
1800-1958   12   0.7811   -8.2736   109.6451   292.5239   355.5944
1959   1   -1.994   -12.5486   90.9497   369.4   315.58
1959   2   -1.7674   -14.634   78.4152   464.1   316.48
1959   3   3.3139   -7.7474   89.3595   526.7   316.65
1959   4   11.9594   -0.4807   91.0709   746.1   317.72
1959   5   20.2868   6.0592   40.3239   754.2   318.29
1959   6   21.7226   10.5275   105.4169   734.3   318.15
1959   7   25.9353   13.2745   84.0064   652.4   316.54
1959   8   25.8967   13.55   113.8749   712.2   314.8
1959   9   22.5851   9.4631   52.0644   558   313.84
1959   10   14.1743   3.9228   171.9512   479.8   313.33
1959   11   6.6638   -3.1247   158.9482   338.4   314.81
1959   12   1.1574   -6.8336   116.5643   362.8   315.58
1960   1   -1.3307   -11.2287   69.2666   458.9   316.43
1960   2   0.9073   -8.5394   118.4638   462.8   316.98
1960   3   -0.464   -10.419   71.4813   639   317.58
1960   4   12.4299   0.749   125.7079   685.6   319.03
1960   5   18.8708   6.4868   94.3882   681.8   320.04
1960   6   22.3952   9.678   118.8681   750.6   319.59
1960   7   23.7096   11.0108   167.6337   748.7   318.18
1960   8   23.7096   11.8333   87.6912   763.6   315.9
