Stand_code,FRAM,FAGR,CAOV,QURU,ACSA,ACRU,OSVI,PRSE,FRNI,TIAM,TSCA,ACPE,BENI,BEPA,BEAL,PRPE,ROPS,PODE,POTR,ABBA,PIRU,UNK,PIST,BEPO,ULAM,CACO,HAVI,ACER,THOC,BESP,CACA,PISP,BELE,ULSP,ULRU,POGR
MP1314,8.126305357,0.33051191,0,0,8.136594073,0,0,0.124017642,0,0,0,0.036079228,0,0,1.532135102,0,0,0,0,0,0,3.568993244,0,0,0,0,0,0.212057504,0,0,0,0,0,0,0,0
MP19,1.992330741,0.610144978,0,0,6.052109948,0.483089995,0.21376855,0.296790746,0.073614248,0.063112352,0,0.179707515,0,0,5.517963462,0,0,0,0,0.145915759,0.136159992,0,0,0,0,0,0,0,0.188161765,0,0,0,0,0,0,0
MSF3111,6.924099661,0,0,0,10.09222405,0.868095681,0,0.918626236,0,0,0,0.179910176,0,0.542523599,0.858494189,0.066051986,0,0,0.998250883,0.146010427,0.212371663,0,2.503702083,0,0,0,0,0,0,0.092132113,0,0,0,0,0,0
OMSFCR,0.8265563,0.04712389,0,2.536574268,7.680994416,2.129855829,0,3.127062788,0,0,0,0,0,0.036769724,1.337084741,0,0,0,0,1.502587769,0,0,0.382763795,0,0,0,0,0,0,0,0.037466765,0,0,0,0,0
OMSFHR,0.683456754,2.420878574,0,2.717893252,1.048643993,3.652130912,0,0,0,0,0,0.100910574,0,0,0.677487728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMSFSCH,0.302430653,1.681344391,0,0,11.33625056,0,0,1.336227348,0,0,0,0,0,0,0.360687562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMSFSH14,1.859678861,2.506987665,0,0,10.01285793,0,0,0,0,0,0,0,0,0,0.204075895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMSFSH17,0.392558365,2.275026862,0,0,2.645823153,2.796367618,0,0.188495559,0,0,0,0.035395277,0,0.161281513,6.127722286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038170351,0,0,0,0
OSFCD1,5.898091498,0.071680672,0,0,9.054479089,1.504606897,0,0,0,0,1.894815612,0,0,0,0.090176799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07240556,0,0,0
OSFCD3,16.61678184,2.325357795,0,0,11.1916244,2.898850625,0.093482016,4.027727949,0,0.222704558,1.187409122,0,0.45963464,0,0.682947882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057255526,0,0
PSFPMH,6.538344808,0.290397698,0,0,10.35676087,0,0.54427111,0.748589169,0,0.462651878,0,0.040320378,0,0,2.685453035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSF1,1.617552762,0.777782606,0,8.65960941,1.260277943,3.298074823,0.075580548,0,0,1.403663598,1.977980395,0,0,0,0,0,0,0,0,0,0,0,0.531406007,0,0,0,0,0,0,0,0,0,0.347549907,0,0.047404389,0.373695251
SSFYL2,6.81555109,0.177774874,0,1.573473226,9.290173806,3.506894429,0,2.239867205,0,0,0,0,0,0,0.039597157,0,0,0,0,0,0,0,3.310989947,0,0,0,0,0,0,0,0,0,0,0,0,0
SW,8.474951783,0,0,0,17.27648194,0.69653527,0,0,0,0,0,0,0,0,2.500157974,0,0,0,0.447696588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNCLP,3.792324484,0,0,0,16.54500136,0,0.227143694,0.580019816,0,0.365066156,0,0.052782029,0,0,1.244738279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNCLPunh,11.53155945,0.486578706,0,0,20.53271818,0,0.299403597,0,0,0,0,0,0,0,6.144670524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSF49,17.74722506,0.166209886,0,5.549991578,8.325971569,4.84364374,0.108978904,0,0,0,0,0.052076807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
