Stand_code,RUBUS,ACSA,OSVI,FAGR,CAOV,ACPE,BENI,FRAM,CACO,PRPE,PRSE,HAVI,ACRU,VIDE,RUPA,VIAL,TIAM,SAMB,BEAL,PIRU,ACPA,ABBA,AMAR,QURU,COCO,ACSP2,PRVI,JUCI,CEOR,LONI,SWAL,LOMA,CRMA,BEPA,ULSP,ULRU,FRNI,ACSP,POTR,ULAM,BELE,PODE,PISP,LITU,CACA,COAM,VITUS,TSCA,VIAC
JMP7,0,12.25,0.75,17.5,0,5.75,0,0.5,0,0,0,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JNP,0,3.25,1.25,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0.5,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
KMSF,0,1.5,0,6.25,0,5.25,0,0,0,0,0,0,0,0,0,0,0,2,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP,0,14.75,0,0.5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP1314,3.833333333,11.83333333,0,2,0,17.16666667,0,3.5,0,0,5,0,0,0,0,0,0.333333333,0.333333333,3.333333333,0,0,0,0,0,0,0.166666667,0,0,0,0,1.166666667,0,0,0,0,0,0,1.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0
MP19,0.857142857,7,0.142857143,0.571428571,0,5.714285714,0,3.285714286,0,0,0.857142857,0,1.142857143,0,0,0.142857143,0.285714286,0,0.571428571,1.142857143,0,1.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0
MSF3111,0.75,6.5,0,2.25,0,10.75,0,2.25,0,0.25,0.25,0,1.25,0,0,0,0,0,2.75,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.25,0.25,0.5,0,0,0,0,0,0,0
OMSFCR,11.33333333,5.166666667,0.166666667,0.833333333,0,0.666666667,0,7.666666667,0,0.5,1,0,0.166666667,0,0,0,0,0,0.666666667,0,0,1.166666667,0,0.333333333,0,0.333333333,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0.5,0.166666667,0.5,0,0,0,0
OMSFHR,3.5,0.333333333,1,11.5,0,1,0,2.333333333,0,0,0.166666667,0,2.166666667,0,0,0,0,0.166666667,3.5,0,0,0,0,1,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0
OMSFSCH,21.5,0.166666667,0,7.166666667,0,3.833333333,0,0.833333333,0,0,0.166666667,0,0.166666667,0,0,1.5,0,0.333333333,0.5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMSFSH14,32.33333333,0.5,0.166666667,11,0,0.5,0,0,0,0,0.333333333,0,2,0,0,2.666666667,0,0,2.5,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMSFSH17,0,2,0,14,0,1.5,0,0.333333333,0,0,0,0,0.166666667,0,0,7.333333333,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSFCD1,7.666666667,0.833333333,0,1.333333333,0,0,0,0.5,0,0,0,0,0.166666667,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.833333333,0
OSFCD3,0,2.75,0.25,9.25,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSFPMH,18.5,0.833333333,0,3,0,4.166666667,0,1.166666667,0,0,0,0,0,0,0,0,0,0.166666667,1.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSF1,21.42857143,1.285714286,0.285714286,4,0,1.142857143,0,0.428571429,0,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0
SSFYL2,13.5,3.833333333,0,0.666666667,0,1.666666667,0,0.166666667,0,0,1,0,1,0,0,0,0,0,0.833333333,0,0,0,0,1.5,0,0,9.166666667,0,0,0,0,0,0,1.833333333,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0.166666667
SW,0,3.75,0,0.25,0,2,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNCLP,0,13.83333333,0.666666667,0.166666667,0,2.666666667,0,1.166666667,0,0,1,0,0,0,0,0,1.5,0.166666667,0,0.333333333,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TNCLPunh,0,5.5,1.5,0.5,0,0.5,0,0.5,0,0,0.75,0,0,0,0,0,0,0,0.25,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSF49,0,2.5,1,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
