Time, 1, 2, 3, 5, 6, 7, 10, 11, 12, 14, 16, 17, 18, 20, 21, 22, 101, 102, 103, 105, 106, 107, 110, 111, 112, 116, 117, 118, 120, 121, 122, 123, 124, 201, 202, 203, 205, 206, 207, 210, 211, 212, 214, 216, 217, 218, 220, 221, 222, 301, 302, 303, 305, 306, 307, 310, 311, 312, 316, 317, 318, 320, 321, 322, 323, 324, 0
0, 12198.7215428034, 11266.5719473445, 0, 9826.77900552486, 10467.8359923421, 0, 0, 9472.76050420168, 0, 12286.4338624339, 11026.9244114002, 11740.0380351565, 0, 13841.3373419673, 14216.7363395225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11999.8, 11313.3445229682, 0, 9142.83505154639, 10109.8636911942, 0, 0, 9164.8085106383, 0, 12650.6447368421, 10666.4664005323, 11502.2179766223, 0, 14038.3894230769, 13263.8844444444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 13550.1796801505, 12561.7852927826, 0, 11016.2633517495, 11734.6738991704, 0, 0, 10698.2605042017, 0, 13125.8571428571, 12444.4874535316, 13279.6853187971, 0, 15157.6460067838, 15667.2021220159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13671.7636363636, 12739.203180212, 0, 10369.206185567, 11536.8226779252, 0, 0, 10470.6276595745, 0, 13533.0921052632, 12176.623419827, 13012.6788391778, 0, 15279.9783653846, 14700.8644444444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 14403.7855126999, 13406.4802541988, 0, 11918.8839779006, 12699.1876196554, 0, 0, 11664.5084033613, 0, 14001.8624338624, 13371.6270136307, 14295.9145219575, 0, 16219.2762873882, 16759.9151193634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14624.9272727273, 13608.0247349823, 0, 11468, 12677.933655006, 0, 0, 11332.5106382979, 0, 14156.3421052632, 13188.3945442448, 14033.1649738009, 0, 16155.4855769231, 15854.2822222222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, 14910.4694261524, 13797.2714480254, 0, 12325.1325966851, 13195.5073388641, 0, 0, 12276.4579831933, 0, 14537.9894179894, 13694.7876394052, 14717.2824401298, 0, 16763.4788775825, 17171.198938992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15223.7272727273, 14049.1077738516, 0, 12144.5979381443, 13428.6381182147, 0, 0, 12097.9680851064, 0, 14563.6842105263, 13663.3819028609, 14620.312656187, 0, 16699.9038461538, 16264.1644444444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40, 14842.0094073377, 14080.7807535179, 0, 12727.9355432781, 13643.4237396299, 0, 0, 12779.7394957983, 0, 14771.7724867725, 14111.3062267658, 14995.6408648251, 0, 16943.1097748998, 17461.850397878, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15589.1090909091, 14233.5989399293, 0, 12772.8556701031, 13934.0542822678, 0, 0, 12600.2872340426, 0, 14585.1710526316, 14046.3107119095, 14928.9503426038, 0, 16834.2019230769, 16579.08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50, 14637.1994355597, 13972.7807535179, 0, 12818.3904235727, 13721.774090619, 0, 0, 12834.9201680672, 0, 14492.7619047619, 14126.5157992565, 15014.5070435475, 0, 16795.5778600062, 17238.9596816976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15612.3454545455, 14084.6625441696, 0, 12900.8969072165, 14009.082026538, 0, 0, 12582.5319148936, 0, 14328.2105263158, 14064.9421157685, 14942.4498589279, 0, 16678.1802884615, 16518.3133333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
