Time, abiebalsg/m2, acerpensg/m2, acerrubrg/m2, acersaccg/m2, betualleg/m2, betulentg/m2, betupapyg/m2, fagugrang/m2, fraxamerg/m2, fraxnigrg/m2, picerubeg/m2, pinustrog/m2, poputremg/m2, prunpensg/m2, prunserog/m2, querrubrg/m2, thujoccig/m2, tiliamerg/m2, tsugcanag/m2
0, 101.6815, 0.09265914, 3290.042, 1071.533, 550.4799, 206.429, 60.98764, 1158.737, 410.3273, 75.47466, 103.036, 927.1931, 14.83332, 0, 1009.348, 370.4457, 0.37025, 0.303799, 2364.766
10, 116.1244, 0.06451351, 3682.085, 1265.989, 608.0712, 262.911, 70.70918, 1351.831, 463.5613, 78.7806, 114.0731, 1007.475, 17.97389, 0, 1155.317, 423.1399, 1.106322, 0.3869713, 2614.963
20, 128.9314, 0.0004151694, 3822.413, 1418.854, 659.3356, 311.8167, 73.36693, 1516.131, 499.5901, 79.92567, 124.5659, 1058.966, 19.11592, 0, 1264.334, 466.2666, 2.774625, 0.46666, 2799.482
30, 141.5667, 0.0004390297, 3577.951, 1542.463, 705.787, 350.1612, 60.7984, 1660.9, 524.0988, 79.61268, 137.9958, 1091.278, 17.22792, 0, 1349.124, 496.58, 4.987803, 0.523815, 2948.287
40, 153.1155, 0.0005535592, 3289.423, 1648.249, 760.7228, 380.7587, 21.79066, 1793.989, 543.0915, 78.08128, 152.7685, 1113.171, 15.65946, 0, 1414.957, 524.6437, 6.937419, 0.5644873, 3077.684
50, 162.2797, 0.0006155961, 2786.692, 1747.354, 816.955, 402.8986, 15.76825, 1917.465, 558.7446, 74.44402, 168.4019, 1124.169, 4.178823, 0, 1463.199, 550.7453, 8.466602, 0.6002157, 3183.73
