Year   Month   Tmax   Tmin   Prec   PAR   CO2
1800-1958   1   -1.0302   -11.9112   73.4634   376.6   355.7315
1800-1958   2   0.319   -11.3362   74.2908   499.01   356.4926
1800-1958   3   5.245   -5.932   82.3039   608.145   356.696
1800-1958   4   12.981   0.0954   91.3947   707.6   357.9722
1800-1958   5   19.9185   6.0006   96.8372   726.05   358.5598
1800-1958   6   24.2606   10.8319   110.4523   726.67   357.9803
1800-1958   7   26.9281   13.6761   103.7776   747.66   356.4695
1800-1958   8   25.9708   12.9424   101.0386   708.465   354.4635
1800-1958   9   21.7732   8.8661   92.859   619.315   352.9024
1800-1958   10   15.3994   2.7796   90.7825   509.925   352.9462
1800-1958   11   8.2205   -1.8506   95.3979   332.595   354.2837
1800-1958   12   1.4967   -7.9933   96.3186   297.185   355.5944
1959   1   -1.2664   -12.4082   82.3466   369.4   315.58
1959   2   -0.9814   -14.3893   66.6496   464.1   316.48
1959   3   4.4452   -7.2528   78.4101   526.7   316.65
1959   4   13.6452   0.1681   79.4211   746.1   317.72
1959   5   21.9614   6.7063   39.1495   754.2   318.29
1959   6   23.5265   11.1559   95.1796   734.3   318.15
1959   7   27.7117   13.7699   74.5005   652.4   316.54
1959   8   27.4785   14.0098   102.1534   712.2   314.8
1959   9   23.8742   9.8257   50.8977   558   313.84
1959   10   15.2582   4.2069   155.3161   479.8   313.33
1959   11   7.6496   -2.6634   143.2911   338.4   314.81
1959   12   1.8818   -6.4721   102.3022   362.8   315.58
1960   1   -0.5825   -11.0622   64.3098   458.9   316.43
1960   2   1.6653   -8.2608   99.4716   462.8   316.98
1960   3   0.7105   -9.8375   61.3972   639   317.58
1960   4   14.1404   1.4918   113.9699   685.6   319.03
1960   5   20.6015   7.1911   87.316   681.8   320.04
1960   6   24.2031   10.2453   113.0267   750.6   319.59
1960   7   25.3787   11.547   156.647   748.7   318.18
1960   8   25.3172   12.2592   83.5113   763.6   315.9
1960   9   21.3564   8.9555   183.6468   647.9   314.17
1960   10   15.1906   1.6757   55.6328   564.5   313.83
1960   11   9.6859   -1.6748   60.2063   371.7   315
1960   12   -0.74   -13.121   49.3375   358.2   316.19
1961   1   -3.8405   -17.4245   50.5071   427   316.89
1961   2   1.1017   -11.8239   79.0396   485.1   317.7
1961   3   4.6228   -6.4054   76.0637   648.7   318.54
1961   4   9.814   -0.3696   105.1155   583.4   319.48
1961   5   17.6257   4.3977   102.6681   677.9   320.58
1961   6   24.2624   10.1152   104.6932   728.4   319.77
1961   7   25.9426   12.9534   92.3123   710.8   318.57
1961   8   25.197   12.4215   94.5045   673.3   316.79
1961   9   24.8014   11.3583   60.0648   693.9   314.99
1961   10   17.4034   3.646   43.5682   522.3   315.31
1961   11   7.6405   -1.4236   90.0324   316.9   316.1
1961   12   0.4521   -8.0063   71.8726   272   317.01
1962   1   -0.817   -12.5333   65.9254   395.2   317.94
1962   2   -2.0628   -13.4411   100.8203   423.7   318.55
1962   3   5.3629   -6.0055   35.6968   706.8   319.68
1962   4   13.2843   -0.5666   93.6595   689.9   320.57
1962   5   20.2825   5.6994   49.925   732.1   321.02
1962   6   24.8857   10.4934   56.1773   787.6   320.62
1962   7   25.4581   10.4685   74.9972   756.2   319.61
1962   8   24.8569   11.584   90.8371   706.1   317.4
1962   9   19.7131   6.535   78.0127   643.3   316.25
1962   10   14.4271   2.6196   97.4279   432.6   315.42
1962   11   6.0082   -4.6659   69.5408   396.1   316.69
1962   12   -0.4691   -12.2754   77.5795   364.8   317.7
1963   1   -2.4765   -13.4304   66.2563   318.7   318.74
1963   2   -2.5846   -16.4551   62.0753   546.4   319.07
1963   3   4.86   -6.0093   83.4018   605.2   319.86
1963   4   12.8083   -1.4074   39.5536   706.9   321.38
1963   5   19.6449   4.3781   59.6805   701.1   322.25
1963   6   24.6143   9.8943   89.4633   780.2   321.48
1963   7   27.0658   12.7798   65.3755   748.7   319.74
1963   8   23.8818   10.3436   73.0615   624   317.77
1963   9   19.9473   4.8364   76.4392   712.3   316.21
1963   10   19.6262   3.1809   8.8258   675.3   315.99
1963   11   10.0338   1.2038   141.4942   249.9   317.07
1963   12   -3.1425   -13.0451   58.3221   378.1   318.35
1964   1   0.4825   -11.447   99.7093   318.7   319.57
1964   2   -0.5498   -12.8846   51.8802   535.2   320.01
1964   3   5.5915   -5.3893   81.842   576.1   320.74
1964   4   12.1584   -0.6562   75.3616   664.4   321.84
1964   5   22.556   6.3383   36.4395   805.7   322.26
1964   6   24.4137   9.2707   42.627   839.4   321.89
1964   7   27.3125   13.9608   60.6371   729.7   320.44
1964   8   23.9503   9.5178   76.7345   697.9   318.69
1964   9   21.6992   6.908   20.1137   661.7   316.7
1964   10   15.3467   0.5483   25.6562   559.3   316.87
1964   11   9.3158   -2.2924   50.527   383.9   317.68
1964   12   0.6601   -8.3654   101.8275   238.8   318.71
1965   1   -2.8793   -14.1434   49.5556   350.6   319.44
1965   2   -0.7475   -12.2134   69.3656   473.9   320.44
1965   3   3.1277   -6.4485   33.4079   639   320.89
1965   4   10.8646   -1.905   64.7825   732.5   322.14
