Year        Month        Tmax        Tmin        PAR        Prec        CO2
1800-1970        1        -9.6779        -22.5229        163.6375        20.1928        325.06
1800-1970        2        -2.6133        -15.8304        223.4768        79.9392        325.98
1800-1970        3        0.7418        -9.8232        323.5934        58.2788        326.93
1800-1970        4        10.2708        -2.0497        443.418        80.5133        328.13
1800-1970        5        18.3128        5.2857        474.5494        88.2958        328.08
1800-1970        6        22.8911        9.7315        560.6254        90.5273        327.67
1800-1970        7        26.5617        13.2755        549.6381        61.3947        326.34
1800-1970        8        24.9689        11.7948        500.2782        115.4354        324.69
1800-1970        9        19.38        8.3155        328.0754        114.8611        323.1
1800-1970        10        14.778        4.0008        210.5072        69.8397        323.06
1800-1970        11        6.5392        -1.8042        124.2078        67.8342        324.01
1800-1970        12        -5.5264        -15.2224        111.5421        122.0552        325.13
1971        1        -7.9572        -19.9283        148.4262        51.7727        326.17
1971        2        -2.537        -13.8138        195.4166        107.277        326.68
1971        3        -0.2141        -10.5236        334.4689        84.1888        327.17
1971        4        7.1992        -3.1428        403.893        54.921        327.79
1971        5        17.7793        4.364        465.1567        74.8332        328.93
1971        6        23.6505        8.9638        599.3336        68.1461        328.57
1971        7        24.9937        11.8695        545.9456        126.4419        327.36
1971        8        23.7978        11.6178        466.3182        165.8503        325.43
1971        9        21.3228        10.0274        350.8538        57.7181        323.36
1971        10        16.6749        4.7199        201.0928        59.3204        323.56
1971        11        3.0262        -5.2655        150.3554        85.8689        324.8
1971        12        -1.5015        -11.8156        111.3246        92.4599        326.01
1972        1        -2.4402        -15.2567        146.4777        49.7062        326.77
1972        2        -4.5161        -16.8218        227.8379        67.0972        327.63
1972        3        0.0208        -10.6044        287.5334        116.9772        327.75
1972        4        6.1429        -4.3632        449.6781        65.221        329.72
1972        5        19.1303        4.5232        468.7564        86.0719        330.07
1972        6        21.4952        10.7786        482.6759        131.4705        329.09
1972        7        24.9682        12.8183        518.5298        153.4439        328.04
1972        8        22.9021        10.7438        449.5286        94.057        326.32
1972        9        20.0635        7.3306        330.31        40.6079        324.84
1972        10        10.1246        -0.3912        216.4193        88.4106        325.2
1972        11        2.7618        -4.4527        128.7154        120.3174        326.5
1972        12        -1.8832        -11.5482        91.8232        168.2234        327.55
1973        1        -2.9279        -13.2827        136.9232        78.7409        328.55
1973        2        -4.3433        -16.9964        224.3209        61.3207        329.56
1973        3        6.0516        -3.9709        279.3751        77.7689        330.3
1973        4        10.6241        -0.3834        424.2938        98.2175        331.5
1973        5        16.3874        4.8195        421.4753        148.0663        332.48
1973        6        23.2454        11.0736        534.814        203.2467        332.07
1973        7        25.9853        13.329        547.3009        106.0468        330.87
1973        8        26.1049        14.0702        471.9692        100.1127        329.31
1973        9        18.3407        7.3471        339.9663        107.6391        327.51
1973        10        13.8966        2.4472        229.4761        72.4978        327.18
1973        11        3.7302        -2.9518        125.3478        97.4916        328.16
1973        12        0.0221        -8.805        96.6243        204.2087        328.64
1974        1        -3.7333        -13.9928        136.9232        69.8675        329.35
1974        2        -4.499        -16.5265        224.3209        65.457        330.71
1974        3        1.2238        -9.94        279.3751        100.6757        331.48
1974        4        10.6594        -1.6677        424.2938        130.3142        332.65
1974        5        14.6127        3.4032        421.4753        152.8081        333.19
1974        6        22.998        10.5794        534.814        104.5503        332.2
1974        7        24.9659        12.8761        547.3009        163.2191        331.07
1974        8        24.743        11.6464        471.9692        85.7964        329.15
1974        9        18.58        7.5244        339.9663        105.567        327.33
1974        10        10.1218        -1.3699        229.4761        41.2805        327.28
1974        11        4.7092        -3.4145        131.8368        112.7462        328.31
1974        12        -0.1737        -7.8585        93.3754        67.4627        329.58
1975        1        -1.7837        -13.1396        136.9057        70.0242        330.73
1975        2        -3.1461        -13.9294        237.074        69.854        331.46
1975        3        0.5263        -10.3445        310.9374        86.1421        331.94
