Year        Month        Tmax        Tmin        PAR        Prec        CO2
1800-1970        1        -9.8561        -22.5687        163.7194        20.5603        325.06
1800-1970        2        -2.77        -15.973        222.2696        80.8621        325.98
1800-1970        3        0.4505        -10.0762        321.8515        60.3041        326.93
1800-1970        4        9.6773        -2.5218        442.7171        82.9522        328.13
1800-1970        5        17.8493        4.9302        473.6804        90.6298        328.08
1800-1970        6        22.3389        9.2484        559.2645        93.6222        327.67
1800-1970        7        25.9246        12.849        548.151        62.7922        326.34
1800-1970        8        24.5002        11.4591        499.2318        117.6276        324.69
1800-1970        9        18.9927        8.105        328.1777        114.7688        323.1
1800-1970        10        14.3997        3.735        210.5258        71.5369        323.06
1800-1970        11        6.3086        -1.997        124.167        69.0292        324.01
1800-1970        12        -5.6469        -15.2747        111.6828        125.4384        325.13
1971        1        -8.0729        -20.0457        148.6322        52.3268        326.17
1971        2        -2.7303        -13.9392        194.3383        107.9591        326.68
1971        3        -0.4822        -10.8097        332.9839        88.2396        327.17
1971        4        6.6475        -3.6697        403.7847        55.6224        327.79
1971        5        17.2487        3.9672        464.2723        77.135        328.93
1971        6        23.1333        8.4682        598.252        69.1987        328.57
1971        7        24.4372        11.4041        545.2143        130.1083        327.36
1971        8        23.3345        11.2812        465.5536        170.507        325.43
1971        9        20.8934        9.7924        350.6804        57.3144        323.36
1971        10        16.344        4.5099        201.3728        60.7515        323.56
1971        11        2.8038        -5.4878        150.8154        88.9385        324.8
1971        12        -1.6313        -11.9605        111.6626        94.7519        326.01
1972        1        -2.632        -15.3737        146.5384        50.9349        326.77
1972        2        -4.6712        -16.9807        226.91        68.5746        327.63
1972        3        -0.261        -10.8361        285.4429        120.4119        327.75
1972        4        5.5477        -4.8922        448.7364        66.223        329.72
1972        5        18.6318        4.2028        466.7299        88.2335        330.07
1972        6        20.8799        10.273        479.7981        135.6252        329.09
1972        7        24.4113        12.424        516.2139        155.0479        328.04
1972        8        22.434        10.4546        449.1365        93.9902        326.32
1972        9        19.6869        7.0486        330.2036        40.4593        324.84
1972        10        9.8233        -0.7204        216.6763        89.7206        325.2
1972        11        2.5043        -4.67        128.9936        126.3089        326.5
1972        12        -2.0367        -11.6635        91.768        172.1366        327.55
1973        1        -3.065        -13.4426        137.3126        80.4765        328.55
1973        2        -4.4597        -17.0943        223.6212        61.2829        329.56
1973        3        5.7531        -4.2742        277.3515        79.3673        330.3
1973        4        10.063        -0.8896        422.7955        101.2774        331.5
1973        5        15.8726        4.4271        420.8008        151.7181        332.48
1973        6        22.6354        10.6316        532.2854        210.8093        332.07
1973        7        25.4096        12.893        545.0212        109.7436        330.87
1973        8        25.6459        13.7774        471.2354        102.1545        329.31
1973        9        17.9312        7.1003        340.5598        108.8624        327.51
1973        10        13.5762        2.1523        229.5993        74.0007        327.18
1973        11        3.5475        -3.1759        125.3111        99.8086        328.16
1973        12        -0.1058        -8.9573        96.5521        210.3472        328.64
1974        1        -3.8559        -14.0846        137.3126        71.5626        329.35
1974        2        -4.6442        -16.7019        223.6212        66.692        330.71
1974        3        0.8979        -10.212        277.3515        104.8908        331.48
1974        4        10.0939        -2.1262        422.7955        129.6368        332.65
1974        5        14.1393        3.0365        420.8008        154.5539        333.19
1974        6        22.451        10.0487        532.2854        105.7852        332.2
1974        7        24.3563        12.4103        545.0212        162.7563        331.07
1974        8        24.2395        11.3519        471.2354        90.1273        329.15
1974        9        18.1759        7.2536        340.5598        109.2922        327.33
1974        10        9.7883        -1.6902        229.5993        41.1003        327.28
1974        11        4.5253        -3.6506        132.6042        116.1326        328.31
1974        12        -0.3612        -8.0535        93.3209        69.4786        329.58
1975        1        -1.9625        -13.1849        136.9896        71.6816        330.73
1975        2        -3.3782        -14.1158        235.9188        70.1673        331.46
1975        3        0.2605        -10.6671        309.0847        88.1252        331.94
1975        4        5.5794        -4.5981        408.9109        58.0936        333.11
1975        5        21.4802        6.4481        460.4914        53.0002        333.95
1975        6        22.1365        10.0337        563.7686        76.4873        333.42
1975        7        26.8003        13.6826        518.4426        122.7534        331.97
1975        8        24.0472        11.6303        498.182        117.9884        329.95
1975        9        17.4777        7.3008        360.2695        155.0618        328.5
1975        10        13.2303        2.6753        235.3751        117.209        328.36
1975        11        7.6055        -1.3376        120.0785        115.0841        329.38
1975        12        -2.7422        -13.5754        96.5771        92.3676        330.62
1976        1        -6.9697        -19.9047        139.6727        111.848        331.56
1976        2        -0.197        -13.4161        209.2105        116.6095        332.74
1976        3        2.98        -8.9617        333.6981        97.4611        333.36
1976        4        11.2975        -0.5383        457.4156        71.044        334.74
1976        5        16.3685        3.7313        543.1326        142.8175        334.72
1976        6        24.5352        11.6409        544.4661        128.4818        333.98
1976        7        23.1398        11.5529        555.4065        141.2725        333.08
1976        8        23.1477        11.0345        476.4721        147.3435        330.68
1976        9        17.7593        6.8167        321.2661        96.4174        328.96
1976        10        9.9151        0.0174        227.237        137.917        328.72
1976        11        1.4862        -4.6773        135.2475        71.1481        330.16
1976        12        -5.167        -16.4473        104.6304        77.8249        331.62
1977        1        -8.3139        -18.4553        141.2476        63.8534        332.68
1977        2        -3.6123        -12.9638        200.6319        61.8666        333.17
1977        3        5.5556        -4.5828        314.9502        85.5956        334.96
1977        4        10.2819        -2.0956        434.6344        90.8092        336.14
1977        5        20.3567        4.5588        447.3914        28.5153        336.93
1977        6        20.533        9.6797        560.7816        118.7495        336.17
1977        7        24.5328        11.3977        504.1976        63.1542        334.88
1977        8        23.1597        11.3862        446.7993        143.878        332.56
1977        9        17.3528        7.9384        363.0121        168.0778        331.29
1977        10        11.8293        1.5089        212.0914        147.5332        331.28
1977        11        6.5583        -2.068        152.6902        126.824        332.46
1977        12        -3.3127        -11.8493        123.9147        115.7165        333.6
1978        1        -6.0311        -16.0175        157.7364        151.5939        334.94
1978        2        -6.6581        -20.1204        221.5931        21.2891        335.26
