Year        Month        Tmax        Tmin        PAR        Prec        CO2
1800-1970        1        -9.645        -22.4669        164.5742        19.5996        325.06
1800-1970        2        -2.4647        -15.9097        222.9396        78.196        325.98
1800-1970        3        0.8247        -9.8812        322.7554        57.527        326.93
1800-1970        4        10.0836        -2.3231        443.3599        81.8997        328.13
1800-1970        5        18.2803        5.0857        473.1285        87.7545        328.08
1800-1970        6        22.7857        9.3854        559.5636        91.8521        327.67
1800-1970        7        26.293        13.0347        548.8035        60.1342        326.34
1800-1970        8        24.7711        11.5212        499.5638        114.8519        324.69
1800-1970        9        19.1592        8.0962        329.5288        110.0873        323.1
1800-1970        10        14.5195        3.7198        211.6509        67.7398        323.06
1800-1970        11        6.4137        -1.9455        124.8651        65.6361        324.01
1800-1970        12        -5.4969        -15.0407        112.2045        120.6179        325.13
1971        1        -7.8851        -20.0484        149.6894        50.191        326.17
1971        2        -2.4677        -13.8309        195.178        101.7717        326.68
1971        3        -0.1027        -10.6409        334.4765        83.5117        327.17
1971        4        7.1203        -3.463        405.3911        53.0096        327.79
1971        5        17.5651        4.0668        464.0857        75.5429        328.93
1971        6        23.5798        8.5884        599.8363        67.3147        328.57
1971        7        24.8647        11.5247        546.799        127.7674        327.36
1971        8        23.6317        11.3354        466.7513        166.2558        325.43
1971        9        21.0457        9.7794        351.4769        54.5027        323.36
1971        10        16.5161        4.529        203.0703        59.1527        323.56
1971        11        2.9065        -5.4926        152.4519        87.0217        324.8
1971        12        -1.5207        -11.8883        112.7812        91.661        326.01
1972        1        -2.5027        -15.3963        147.303        48.5656        326.77
1972        2        -4.3777        -16.8829        228.1683        65.432        327.63
1972        3        0.1379        -10.5647        285.7708        114.4927        327.75
1972        4        5.9952        -4.6923        448.8449        64.1455        329.72
1972        5        18.9625        4.3853        465.3421        85.7535        330.07
1972        6        21.2526        10.4301        477.5244        131.1194        329.09
1972        7        24.8071        12.6271        515.5187        148.0168        328.04
1972        8        22.7314        10.5172        450.9296        88.5569        326.32
1972        9        19.886        6.9768        331.4118        38.2273        324.84
1972        10        10.0157        -0.7878        218.4911        85.7058        325.2
1972        11        2.6028        -4.599        130.2328        123.7915        326.5
