Year        Month        Tmax        Tmin        PAR        Prec        CO2
1800-1970        1        -7.35        -20.3622        172.3253        19.9735        325.06
1800-1970        2        -1.2194        -13.4896        230.8003        93.002        325.98
1800-1970        3        1.1703        -8.4113        326.1889        84.4519        326.93
1800-1970        4        10.099        -1.9532        449.4986        118.4108        328.13
1800-1970        5        17.5105        5.6242        479.5528        105.3192        328.08
1800-1970        6        20.7226        8.8067        561.1433        117.8446        327.67
1800-1970        7        23.5061        12.0078        545.0555        61.9843        326.34
1800-1970        8        23.9538        10.714        494.8129        107.7437        324.69
1800-1970        9        18.7606        8.2098        348.4984        114.179        323.1
1800-1970        10        13.8112        3.5959        226.164        82.4496        323.06
1800-1970        11        6.3768        -1.9233        136.1894        86.0869        324.01
1800-1970        12        -3.4006        -12.1825        121.6146        120.1503        325.13
1971        1        -5.5703        -17.711        161.304        56.2408        326.17
1971        2        -1.8469        -11.965        204.226        143.5837        326.68
1971        3        0.3499        -9.0758        338.9087        100.9978        327.17
1971        4        7.2987        -3.8374        424.4576        62.9613        327.79
1971        5        15.978        3.5635        460.2038        112.9626        328.93
1971        6        22.5741        8.1854        600.3404        73.7043        328.57
1971        7        23.4398        10.2624        566.7758        108.6812        327.36
1971        8        22.6231        10.3437        466.8046        181.6354        325.43
1971        9        19.8377        9.8955        358.9853        74.6953        323.36
1971        10        16.0297        4.6668        220.4934        77.596        323.56
1971        11        3.8415        -4.6109        165.7711        137.1437        324.8
1971        12        0.5192        -8.5231        122.1936        117.0523        326.01
1972        1        -1.127        -12.8731        156.4521        55.8933        326.77
1972        2        -2.9844        -14.555        233.5255        118.865        327.63
1972        3        0.541        -8.5871        289.8146        137.5776        327.75
1972        4        6.5986        -4.5091        438.093        113.3317        329.72
1972        5        17.1486        5.0758        445.2596        154.5163        330.07
1972        6        18.6579        9.6674        465.3942        215.906        329.09
1972        7        23        12.3726        502.4646        127.2581        328.04
1972        8        21.6022        10.1851        462.0982        73.027        326.32
1972        9        18.8522        6.5593        350.4378        48.2919        324.84
1972        10        10.0474        -0.6773        235.4232        100.024        325.2
1972        11        2.3681        -4.4633        146.6342        239.4499        326.5
1972        12        -0.559        -8.1256        94.0545        202.8184        327.55
1973        1        -0.5386        -10.8243        153.5645        94.8144        328.55
1973        2        -2.4289        -13.5929        242.0324        74.9573        329.56
1973        3        6.178        -3.2339        281.218        87.4153        330.3
1973        4        10.4491        0.2091        402.3315        154.519        331.5
1973        5        14.5868        4.4875        437.562        180.9526        332.48
1973        6        21.8473        11.0543        517.6123        185.9737        332.07
1973        7        24.104        12.5949        540.8942        84.1846        330.87
1973        8        24.7542        13.4633        476.4127        87.799        329.31
1973        9        18.6502        6.4725        378.8754        59.7776        327.51
1973        10        13.9259        1.2676        252.5459        72.7475        327.18
1973        11        5.4705        -2.9654        137.3914        75.505        328.16
1973        12        0.8693        -8.0543        97.4572        268.606        328.64
1974        1        -1.439        -11.32        153.5645        84.7931        329.35
1974        2        -2.4967        -14.0892        242.0324        88.2189        330.71
1974        3        2.0943        -7.5066        281.218        115.7734        331.48
1974        4        11.7492        -0.7847        402.3315        84.487        332.65
1974        5        14.5945        3.6245        437.562        139.1456        333.19
1974        6        20.9293        9.0676        517.6123        87.8831        332.2
1974        7        23.1812        11.4879        540.8942        114.6535        331.07
1974        8        23.0001        10.8887        476.4127        110.0777        329.15
1974        9        17.4362        6.8223        378.8754        174.3446        327.33
1974        10        10.3713        -1.7585        252.5459        43.913        327.28
1974        11        5.9925        -3.2975        156.3623        135.7905        328.31
1974        12        0.6828        -7.1058        102.5249        93.6203        329.58
1975        1        -0.4966        -10.7116        144.2232        111.434        330.73
1975        2        -1.3664        -11.6371        239.5365        117.082        331.46
1975        3        1.2024        -8.3274        309.8134        93.0989        331.94
1975        4        6.2255        -3.9182        425.9621        96.0321        333.11
1975        5        20.2786        6.4108        487.3694        72.8522        333.95
1975        6        20.4614        9.932        537.4313        135.9767        333.42
1975        7        24.4615        13.3028        544.8342        186.4484        331.97
1975        8        22.5693        11.6257        478.2784        185.1128        329.95
1975        9        16.6321        6.5741        372.4267        173.013        328.5
1975        10        13.9719        3.1256        257.201        168.8076        328.36
1975        11        8.9055        -1.0498        138.7583        147.3846        329.38
1975        12        -1.1163        -10.8755        108.1553        114.1535        330.62
1976        1        -5.2264        -17.2294        144.5097        130.8367        331.56
1976        2        2.0229        -10.256        217.1884        112.6385        332.74
1976        3        4.5183        -7.4961        318.4358        105.9667        333.36
1976        4        12.0789        -0.4657        477.4487        115.4327        334.74
1976        5        15.8389        3.35        519.8881        164.5633        334.72
1976        6        23.0944        11.4845        525.6888        107.6886        333.98
1976        7        21.8755        10.9878        542.2661        132.8509        333.08
1976        8        22.1234        10.3046        459.8109        176.5385        330.68
1976        9        17.9383        5.7083        346.154        92.0454        328.96
1976        10        10.4875        0.4085        233.4282        157.2619        328.72
1976        11        3.2055        -5.1403        154.6515        44.5401        330.16
1976        12        -2.7189        -14.1878        115.8872        67.1177        331.62
1977        1        -6.2775        -17.3166        148.1731        59.4215        332.68
1977        2        -2.1861        -11.914        221.2606        88.363        333.17
1977        3        6.2391        -4.4579        323.052        187.0267        334.96
1977        4        10.9927        -1.5984        452.8299        131.3762        336.14
1977        5        19.859        4.6123        480.8641        81.2873        336.93
1977        6        19.3228        8.7192        540.8912        123.9199        336.17
1977        7        23.7029        11.3134        521.9419        68.2283        334.88
1977        8        22.27        11.1247        460.7229        116.0491        332.56
1977        9        17.367        8.6298        376.142        177.8395        331.29
1977        10        12.0331        1.3562        232.4506        165.2869        331.28
1977        11        6.7337        -1.0204        183.8857        133.6054        332.46
1977        12        -2.1584        -10.7372        138.507        162.8398        333.6
1978        1        -4.3009        -13.5916        173.454        198.255        334.94
1978        2        -5.208        -17.9184        233.3071        28.6432        335.26
1978        3        0.7096        -10.0686        311.9884        75.8544        336.66
1978        4        7.7575        -2.9531        454.5387        60.1863        337.69
1978        5        17.5702        4.9565        575.6785        69.3798        338.02
1978        6        20.9062        8.3229        550.7388        127.4655        338.01
1978        7        23.4317        10.518        531.4186        78.2489        336.5
1978        8        22.4761        11.9345        463.4621        113.7586        334.42
1978        9        17.7379        4.3796        320.7564        56.8283        332.36
1978        10        12.0955        0.4077        221.4056        102.8803        332.45
1978        11        6.4068        -4.7962        134.6024        57.8344        333.76
1978        12        -0.2324        -10.0139        115.5616        122.8958        334.91
1979        1        -3.3787        -12.0729        114.2294        239.4987        336.14
1979        2        -7.7233        -18.0966        255.0702        72.1067        336.69
1979        3        5.249        -5.1092        294.5202        85.9355        338.27
1979        4        8.8513        -1.613        406.8785        135.1122        338.82
1979        5        17.1656        6.3937        464.5596        152.7663        339.24
1979        6        20.905        8.1447        602.3597        32.0436        339.26
1979        7        24.181        12.4672        538.9185        127.3729        337.54
1979        8        21.9259        11.4021        428.7344        105.82        335.72
1979        9        18.9666        5.9572        392.3767        120.9831        333.97
1979        10        11.4224        2.4005        211.6895        118.6581        334.24
1979        11        8.2854        -0.9637        139.9207        112.9481        335.32
1979        12        1.6506        -7.8667        130.3428        64.2922        336.82
1980        1        -2.038        -11.574        163.3422        20.3364        337.9
1980        2        -3.5333        -15.0258        252.905        28.8003        338.34
1980        3        2.1899        -8.0556        303.4336        151.1001        340.07
1980        4        10.2658        -0.763        385.6294        113.5733        340.93
1980        5        18.1783        4.2515        549.951        38.6363        341.45
1980        6        19.5939        6.9825        549.1181        127.1639        341.36
1980        7        24.0251        12.0692        548.6673        80.7193        339.45
1980        8        23.6899        12.2691        463.9386        86.6256        337.67
1980        9        19.6757        7.3167        406.1349        85.8096        336.25
1980        10        11.0349        0.7399        243.9472        80.228        336.14
1980        11        3.4586        -5.2056        157.0403        112.7861        337.3
1980        12        -2.658        -15.2674        140.3362        45.1802        338.29
1981        1        -6.4784        -18.7522        179.9566        15.3212        339.29
1981        2        2.9768        -8.1633        181.8345        233.1069        340.55
1981        3        3.4645        -6.7621        337.2259        15.9568        341.63
1981        4        11.5831        -0.4667        424.6441        99.8582        342.6
1981        5        18.4666        4.4692        528.9811        102.2061        343.04
1981        6        21.4002        9.4848        544.5986        93.3506        342.54
1981        7        23.4094        12.1956        511.5431        123.9193        340.82
1981        8        22.593        10.3313        455.4396        77.1486        338.48
1981        9        17.1514        7.622        315.9362        140.4427        336.95
1981        10        10.4385        -0.2399        213.3387        143.5506        337.05
1981        11        5.736        -3.3072        145.2917        63.5876        338.57
1981        12        -1.2045        -9.1462        109.1177        140.1312        339.91
1982        1        -6.9839        -18.7422        145.5103        100.2843        340.93
1982        2        -1.967        -13.5733        227.4675        113.7853        341.76
1982        3        2.4602        -9.2356        334.994        92.5867        342.78
1982        4        8.8209        -3.8749        477.6925        102.8463        343.96
1982        5        18.557        4.8911        489.8782        73.5798        344.77
1982        6        18.5953        8.5673        445.2382        203.4679        343.88
1982        7        24.2061        10.6603        597.849        75.8459        342.42
1982        8        21.424        9.209        465.9323        79.7338        340.24
1982        9        19.2197        7.1804        353.7732        65.3777        338.38
1982        10        13.493        0.3819        277.8967        50.4        338.41
1982        11        7.8768        -1.7335        143.8294        124.9273        339.44
1982        12        3.3282        -6.666        112.7535        60.3624        340.78
1983        1        -1.9863        -11.7496        156.5047        119.6172        341.57
1983        2        -0.3051        -11.5758        234.424        94.496        342.79
1983        3        3.185        -4.9843        268.0815        149.4279        343.37
1983        4        8.797        -0.704        344.697        234.9163        345.4
1983        5        14.6861        4.1365        403.5808        202.9538        346.14
1983        6        22.7018        9.1534        591.8032        69.0779        345.76
1983        7        24.9628        11.7806        554.8405        48.7794        344.32
1983        8        23.4606        11.765        484.9736        147.1152        342.5
1983        9        21.1509        7.2213        431.205        58.959        340.46
1983        10        12.708        1.6845        252.8384        98.9314        340.53
1983        11        5.7435        -2.9912        138.8095        210.4058        341.79
1983        12        -2.3848        -10.7039        119.5499        215.455        343.2
1984        1        -4.4208        -15.0972        155.0047        50.2498        344.21
1984        2        2.0327        -7.6083        187.5695        134.6888        344.92
1984        3        -0.951        -10.5788        332.0339        119.5788        345.68
1984        4        9.5281        -0.8601        392.1677        130.8786        347.14
1984        5        14.8435        3.2012        438.2124        316.9074        347.78
1984        6        22.3226        9.3692        578.581        61.6751        347.16
1984        7        22.7        11.7266        488.7061        160.46        345.79
1984        8        23.6376        12.7117        470.4661        88.0681        343.74
1984        9        18.1561        5.5185        380.8752        46.033        341.59
1984        10        14.4436        3.0337        254.0879        78.8673        341.86
1984        11        6.1813        -3.7249        165.0178        99.4074        343.31
1984        12        2.6507        -6.4162        115.0224        117.0914        345
1985        1        -5.2663        -14.5882        154.4399        37.4974        345.48
1985        2        -0.8274        -11.4251        217.1365        58.007        346.42
1985        3        5.322        -6.9355        349.6644        95.7516        347.91
1985        4        11.1065        -0.3696        480.3934        57.8528        348.66
1985        5        18.2593        5.1436        501.7614        97.9721        349.28
1985        6        18.3294        8.1195        461.1047        107.8218        348.65
1985        7        23.7332        11.2746        572.134        62.4275        346.9
1985        8        22.2361        10.6626        432.2726        118.3146        345.26
1985        9        19.5547        8.0306        358.5972        104.7991        343.47
1985        10        13.4388        1.6981        236.8724        83.577        343.35
1985        11        5.6612        -1.8652        106.3774        165.3668        344.73
1985        12        -2.6625        -11.5373        121.0622        72.2896        346.12
1986        1        -2.0378        -12.8129        154.6301        126.515        346.78
1986        2        -3.3591        -13.6295        210.1972        102.5645        347.48
1986        3        4.6419        -7.1542        332.2401        123.6655        348.25
1986        4        12.6651        0.2424        438.6205        49.1029        349.86
1986        5        18.8271        6.0095        501.8916        100.0366        350.52
1986        6        19.9789        7.8866        537.8646        160.8071        349.98
1986        7        22.4679        12.0476        471.4237        178.7777        348.25
1986        8        21.5851        10.5279        437.2553        161.5563        346.17
1986        9        17.5132        6.7409        344.2956        76.2216        345.48
1986        10        12.6807        1.1693        238.4059        65.5086        344.82
1986        11        4.3138        -5.1791        137.0027        161.7773        346.22
1986        12        0.2811        -7.3554        123.8252        149.49        347.49
1987        1        -2.9243        -13.7098        142.2393        119.3453        348.73
1987        2        -2.323        -15.4064        280.0333        5.3497        348.92
1987        3        5.2019        -7.0068        317.1993        74.4931        349.81
1987        4        11.5798        0.8243        355.5191        135.123        351.4
1987        5        17.9393        4.615        501.2664        49.2923        352.15
1987        6        21.5023        10.1312        529.1545        148.8626        351.59
1987        7        24.5157        12.7294        530.2756        79.3097        350.21
1987        8        22.0799        9.4162        488.0016        110.7276        348.2
1987        9        17.635        7.9523        305.5385        199.4832        346.66
1987        10        11.9784        -0.4871        254.5227        178.9737        346.72
1987        11        6.2871        -4.1918        160.1722        77.2451        348.08
1987        12        0.6525        -7.0908        116.5733        68.7931        349.28
1988        1        -3.3448        -14.9005        166.4888        60.0911        350.51
1988        2        -1.3539        -12.8766        234.4135        114.3833        351.7
1988        3        3.4428        -8.0645        370.8085        52.226        352.5
1988        4        9.1572        -0.7687        391.0055        93.9974        353.67
1988        5        17.7619        5.5077        476.9748        96.2576        354.35
1988        6        21.4894        7.5364        604.1627        36.0781        353.88
1988        7        25.3885        13.5205        506.5154        163.1006        352.8
1988        8        24.4955        12.9261        494.3725        153.5738        350.49
1988        9        18.4942        5.596        387.0579        58.1988        348.97
1988        10        10.272        0.3171        219.7341        56.624        349.37
1988        11        6.6412        -2.821        141.5972        180.2081        350.43
1988        12        -0.7969        -11.2066        138.4932        46.7691        351.62
1989        1        0.3581        -10.2442        147.0305        32.2166        353.07
1989        2        -1.9052        -12.4845        204.5748        80.1847        353.43
1989        3        3.3203        -8.6891        335.8407        74.3142        354.08
1989        4        8.5295        -3.0653        442.8317        99.7387        355.72
1989        5        17.7955        5.7853        448.1313        209.1658        355.95
1989        6        21.0542        10.6765        454.8942        179.8701        355.44
1989        7        23.5753        12.0366        508.0054        133.9564        354.05
1989        8        22.5122        11.1336        458.9625        141.3193        351.84
1989        9        19.4834        7.9759        363.3134        120.3088        350.09
1989        10        13.6896        1.9127        244.4843        171.0021        350.33
1989        11        5.4493        -3.8205        147.4191        115.5176        351.55
1989        12        -6.8156        -18.1102        152.4745        38.1771        352.91
1990        1        1.754        -7.1692        133.2101        127.2858        353.86
1990        2        1.0178        -11.4393        213.799        120.939        355.1
1990        3        5.6841        -7.1682        350.7933        105.1273        355.75
1990        4        10.3299        -0.5646        400.302        129.8676        356.38
1990        5        14.779        3.5454        422.551        201.671        357.38
1990        6        21.2709        9.6086        521.3871        94.9662        356.39
1990        7        24.042        12.313        542.2428        62.4982        354.89
1990        8        23.3388        12.4575        455.2216        237.1855        353.07
1990        9        18.7403        7.2083        363.3523        57.2359        351.38
1990        10        14.5649        3.8214        236.5207        164.8094        351.69
1990        11        7.4288        -2.8569        172.3963        116.7831        353.14
1990        12        2.781        -6.6091        103.874        167.6715        354.41
1991        1        -2.4955        -12.5222        157.7049        74.3375        354.93
1991        2        1.2914        -9.461        227.6073        55.7474        355.82
1991        3        4.4336        -5.0429        280.79        106.3471        357.33
1991        4        12.8544        0.2233        431.7359        103.1795        358.77
1991        5        20.415        6.2196        562.7031        113.3726        359.23
1991        6        23.0053        9.294        603.6734        69.0881        358.23
1991        7        23.9817        11.2973        557.4494        72.8313        356.3
1991        8        23.9138        12.2221        445.2188        172.1302        353.97
1991        9        18.5722        5.64        379.7938        142.8686        352.34
1991        10        14.5129        2.3525        268.3403        125.1919        352.43
1991        11        5.9681        -2.6413        142.0252        127.2329        353.89
1991        12        0.6935        -9.7158        128.472        110.3828        355.21
1992        1        -1.8705        -11.7933        154.8495        57.1325        356.34
1992        2        -0.9352        -11.1287        216.3446        59.636        357.21
1992        3        1.256        -9.27        319.3679        87.6642        357.97
1992        4        8.3376        -2.2735        413.9961        90.9033        359.22
1992        5        17.7902        3.3581        548.2872        91.5764        359.71
1992        6        20.5418        7.7619        570.9626        107.1933        359.43
1992        7        21.2474        10.23        511.1998        131.8821        357.15
1992        8        21.4646        10.3461        454.4508        117.4366        354.98
1992        9        18.8852        6.9715        392.6227        96.8985        353.01
1992        10        10.4734        -0.4891        262.2393        84.3739        353.41
1992        11        4.1801        -3.5447        129.9402        147.5275        354.42
1992        12        0.1132        -8.7342        114.5559        104.3267        355.68
1993        1        -1.024        -9.9151        140.2182        75.89        357.1
1993        2        -4.4199        -17.4753        255.8851        104.6578        357.42
1993        3        1.9261        -10.0273        310.1609        160.1088        358.59
1993        4        10.7095        -0.9954        378.0977        161.749        359.39
1993        5        18.2292        4.7553        547.5351        39.9579        360.3
1993        6        21.2915        8.2776        561.1751        100.2816        359.64
1993        7        24.6447        11.8997        542.863        94.4036        357.46
1993        8        23.956        12.0336        482.3949        81.8074        355.76
1993        9        17.6262        7.4199        314.3872        122.1058        354.14
1993        10        11.698        0.1144        251.4184        94.715        354.23
1993        11        6.1529        -4.7656        154.1879        136.2077        355.53
1993        12        -0.5045        -9.4911        126.7502        118.9013        357.03
1994        1        -7.2424        -19.5193        152.3781        128.7152        358.36
1994        2        -4.2025        -16.651        237.2151        64.1835        359.04
1994        3        1.7616        -7.8639        301.082        149.8373        360.11
1994        4        10.9394        -1.0105        438.6103        107.187        361.36
1994        5        16.3482        3.824        492.5496        130.7524        361.78
1994        6        22.6006        11.15        539.2856        99.3322        360.94
1994        7        24.4512        14.2456        508.4161        156.4841        359.51
1994        8        21.6542        10.7634        451.823        144.7353        357.59
1994        9        17.8425        7.0936        338.0542        98.0691        355.86
1994        10        13.5755        0.699        281.2829        26.063        356.21
1994        11        8.6048        -2.3168        171.2578        94.6424        357.65
1994        12        2.2753        -7.627        139.2185        124.2896        359.1
1995        1        0.1329        -7.5117        121.2852        91.1666        360.04
1995        2        -2.6019        -14.4169        240.3347        101.9626        361
1995        3        5.3214        -5.2349        317.3085        72.0543        361.98
1995        4        8.1574        -2.9861        456.9916        68.1387        363.44
1995        5        16.0574        4.2998        456.5446        55.8263        363.83
1995        6        22.9897        9.3411        602.0271        48.5704        363.33
1995        7        25.3027        13.8395        531.945        98.4087        361.78
1995        8        24.3241        11.2217        520.9878        102.2383        359.33
1995        9        18.4747        5.3916        389.6476        82.3813        358.32
1995        10        15.3319        3.3047        234.0718        259.6155        358.14
1995        11        3.3942        -4.4674        128.1527        154.1077        359.61
1995        12        -3.2465        -11.1934        118.0991        89.1766        360.82
1996        1        -3.2001        -13.6128        142.2247        167.2821        362.2
1996        2        -2.2151        -11.8687        209.2573        83.3632        363.36
1996        3        2.0601        -9.7091        361.3059        64.6532        364.28
1996        4        9.377        -1.0277        383.1028        205.2882        364.69
1996        5        15.4728        3.8253        478.4924        150.0461        365.25
1996        6        21.4077        11.367        483.3065        106.9715        365.06
1996        7        22.2071        12.1432        505.0181        220.4613        363.69
1996        8        23.6118        12.0807        496.5636        55.6132        361.55
1996        9        18.8946        8.9664        313.7473        141.5059        359.69
1996        10        12.5949        1.5863        260.8022        117.3495        359.72
1996        11        3.4501        -5.2634        145.3352        117.3437        361.04
1996        12        1.7754        -4.957        75.6954        201.2563        362.39
1997        1        -2.6623        -12.3382        146.8823        84.8972        363.24
1997        2        1.1819        -9.4344        226.9981        77.9001        364.21
1997        3        1.7705        -8.3859        306.357        124.1381        364.65
1997        4        8.8556        -2.5582        457.3993        119.5638        366.48
1997        5        14.2963        3.1916        451.202        103.6947        366.77
1997        6        22.2822        9.1862        563.2046        39.5841        365.73
1997        7        23.6759        11.1164        583.4648        81.9848        364.46
1997        8        22.1862        10.7053        443.7584        156.9452        362.4
1997        9        18.4685        7.168        357.8768        87.2559        360.44
1997        10        12.2324        0.452        268.2694        66.2733        360.98
1997        11        3.7373        -4.1182        131.1818        187.4359        362.65
1997        12        -0.0185        -8.2095        121.9863        94.8172        364.51
1998        1        -0.3538        -8.813        129.1182        145.3332        365.39
1998        2        1.7063        -8.1259        226.6553        82.4931        366.1
1998        3        4.7908        -5.4163        285.0907        108.2349        367.36
1998        4        11.2828        -0.6944        447.1859        90.8092        368.79
1998        5        19.3268        6.5434        505.4175        115.1288        369.56
1998        6        19.6089        9.7176        443.987        248.7263        369.13
1998        7        23.331        11.8309        529.403        94.4936        367.98
1998        8        23.6115        11.8082        463.6993        77.8608        366.1
1998        9        20.1724        8.0503        390.7309        73.8756        364.16
1998        10        12.5651        2.5695        231.7239        114.297        364.54
1998        11        5.4371        -2.2956        161.9445        81.7065        365.67
1998        12        3.2913        -6.594        128.4425        51.7124        367.3
1999        1        -2.503        -12.9361        125.3236        174.5383        368.35
1999        2        0.4831        -10.3351        237.556        60.5287        369.28
1999        3        3.2313        -6.7855        329.1441        141.3537        369.84
1999        4        10.3191        -1.4346        475.6186        26.6135        371.15
1999        5        18.5323        4.873        552.4947        118.306        371.12
1999        6        23.681        10.5069        595.2974        65.3093        370.46
1999        7        25.6771        13.1712        580.1226        80.3249        369.61
1999        8        22.8078        10.9003        478.9644        103.4571        367.06
1999        9        20.6572        9.2178        345.2222        230.4857        364.95
1999        10        12.4228        0.4105        264.2096        98.8528        365.52
1999        11        8.4733        -1.106        159.4201        90.0766        366.88
1999        12        1.4833        -7.074        136.8855        51.224        368.26
2000        1        -3.1797        -13.9079        150.2937        101.3482        369.45
