Year        Month        Tmax        Tmin        PAR        Prec        CO2
1800-1970        1        -6.1516        -19.2626        173.9247        18.0161        325.06
1800-1970        2        -0.0431        -12.6805        235.3481        87.0416        325.98
1800-1970        3        2.5666        -7.418        330.9588        75.6358        326.93
1800-1970        4        12.0192        -0.993        453.5312        103.5488        328.13
1800-1970        5        19.2818        6.5065        483.009        91.5581        328.08
1800-1970        6        22.6652        9.8148        563.1207        105.9333        327.67
1800-1970        7        25.5702        13.0769        549.1638        58.5187        326.34
1800-1970        8        25.8977        11.8037        499.2266        100.7746        324.69
1800-1970        9        20.6596        9.0948        355.4279        101.9455        323.1
1800-1970        10        15.369        4.0759        231.1557        71.7085        323.06
1800-1970        11        7.9169        -1.1512        139.6534        80.437        324.01
1800-1970        12        -2.0378        -11.1205        124.7131        100.6748        325.13
1971        1        -4.3381        -16.9303        163.4654        50.5432        326.17
1971        2        -0.6236        -11.087        209.2706        121.4265        326.68
1971        3        1.8754        -7.7413        344.0458        83.0005        327.17
1971        4        9.4283        -2.8806        431.258        56.9617        327.79
1971        5        17.6179        4.3258        461.1095        105.2888        328.93
1971        6        24.6195        9.3315        603.5391        66.2299        328.57
1971        7        25.5329        11.2702        571.9134        99.7869        327.36
1971        8        24.5424        11.3054        472.1205        173.1402        325.43
1971        9        21.4808        10.7989        360.416        81.2137        323.36
1971        10        17.5044        5.3241        224.8458        71.5801        323.56
1971        11        5.4175        -3.723        168.1129        120.6197        324.8
1971        12        1.8693        -7.4973        124.536        99.5784        326.01
1972        1        0.0329        -11.9408        157.4503        49.4728        326.77
1972        2        -1.7925        -13.6835        237.1393        105.358        327.63
1972        3        2.1492        -7.6251        296.4212        119.1746        327.75
1972        4        8.6978        -3.5623        437.4348        104.323        329.72
1972        5        18.9156        5.9924        449.0501        140.8773        330.07
1972        6        20.5453        10.4892        468.5994        220.1912        329.09
1972        7        25.1498        13.4406        507.2468        111.1452        328.04
1972        8        23.702        11.2638        469.1558        65.3546        326.32
1972        9        20.7479        7.5958        356.1494        45.1978        324.84
1972        10        11.7969        -0.0423        240.9493        90.8756        325.2
1972        11        3.9428        -3.692        150.1219        212.7387        326.5
1972        12        0.6164        -7.1193        96.0084        174.8125        327.55
1973        1        0.6948        -10.1197        156.0916        86.6681        328.55
1973        2        -1.2237        -12.7944        246.3118        68.6225        329.56
1973        3        7.7013        -2.4776        286.593        80.0171        330.3
1973        4        12.2403        0.9914        402.0077        143.5201        331.5
1973        5        16.3892        5.2125        442.5138        161.707        332.48
1973        6        23.9343        11.9881        519.9743        167.3468        332.07
1973        7        26.1138        13.4863        546.0598        82.499        330.87
1973        8        26.5933        14.3751        480.0007        76.7191        329.31
1973        9        20.4829        7.3701        385.5775        56.7664        327.51
1973        10        15.6093        1.9513        258.1623        63.3601        327.18
1973        11        7.1848        -2.0536        140.9265        63.961        328.16
1973        12        2.0832        -7.4379        99.2152        238.212        328.64
1974        1        -0.2126        -10.677        156.0916        79.7834        329.35
1974        2        -1.2687        -13.2256        246.3118        72.9806        330.71
1974        3        3.7339        -6.4915        286.593        102.2821        331.48
1974        4        13.6648        0.2702        402.0077        76.6436        332.65
1974        5        16.5181        4.4879        442.5138        120.7945        333.19
1974        6        22.755        9.8727        519.9743        85.6159        332.2
1974        7        25.2453        12.4271        546.0598        106.7        331.07
1974        8        24.8324        11.8486        480.0007        103.0678        329.15
1974        9        19.1563        7.7077        385.5775        163.8443        327.33
1974        10        11.9933        -1.0115        258.1623        43.6726        327.28
1974        11        7.536        -2.531        159.9317        110.5662        328.31
1974        12        1.7328        -6.4812        105.9272        86.5352        329.58
1975        1        0.7548        -9.8521        145.1908        101.0517        330.73
1975        2        -0.1679        -10.8244        242.4253        101.414        331.46
1975        3        2.743        -7.4267        315.3356        82.7425        331.94
1975        4        8.3052        -3.0283        427.1619        80.4119        333.11
1975        5        21.8047        7.2303        495.4755        74.7151        333.95
1975        6        22.406        10.8312        537.8387        128.3015        333.42
1975        7        26.3224        14.1314        552.2122        195.2476        331.97
