Year        Month        Tmax        Tmin        PAR        Prec        CO2
1800-1970        1        -9.6785        -22.4657        163.604        20.7718        325.06
1800-1970        2        -2.6792        -15.829        223.7261        80.6665        325.98
1800-1970        3        0.7001        -9.7908        322.9667        59.6339        326.93
1800-1970        4        10.2256        -2.004        443.4219        80.9304        328.13
1800-1970        5        18.0986        5.1511        474.807        89.6922        328.08
1800-1970        6        22.7186        9.6728        560.7244        91.0097        327.67
1800-1970        7        26.4032        13.2027        548.9791        62.9035        326.34
1800-1970        8        24.8464        11.7462        500.2988        115.91        324.69
1800-1970        9        19.2805        8.2963        327.9555        116.0092        323.1
1800-1970        10        14.6991        3.951        210.114        72.7783        323.06
1800-1970        11        6.4758        -1.843        124.1958        69.0145        324.01
1800-1970        12        -5.5525        -15.2748        111.5758        124.7962        325.13
1971        1        -7.9479        -19.8564        148.3597        53.2131        326.17
1971        2        -2.5832        -13.8209        195.6511        109.4617        326.68
1971        3        -0.2353        -10.5162        333.7369        86.6624        327.17
1971        4        7.1551        -3.1476        403.7389        55.5677        327.79
1971        5        17.5877        4.2386        465.0786        75.6479        328.93
1971        6        23.4969        8.9081        599.0213        68.602        328.57
1971        7        24.8408        11.7927        545.1119        128.102        327.36
1971        8        23.6675        11.567        466.1515        166.8833        325.43
1971        9        21.2003        9.9826        350.8688        58.6808        323.36
1971        10        16.5887        4.674        200.5643        60.7331        323.56
1971        11        2.9634        -5.2993        150.1041        86.9312        324.8
1971        12        -1.5029        -11.8229        111.1818        94.498        326.01
1972        1        -2.4548        -15.1845        146.4581        51.1299        326.77
1972        2        -4.5839        -16.8349        227.9431        68.983        327.63
1972        3        -0.0205        -10.6324        286.977        119.6417        327.75
1972        4        6.0947        -4.357        449.8092        65.8987        329.72
1972        5        18.9457        4.4046        468.8975        87.5702        330.07
1972        6        21.3355        10.6857        483.2293        133.2275        329.09
1972        7        24.8381        12.735        518.2085        156.939        328.04
1972        8        22.7689        10.7082        449.2174        95.9715        326.32
1972        9        19.9581        7.3205        330.2585        41.3769        324.84
1972        10        10.0525        -0.4558        215.7424        91.0906        325.2
1972        11        2.691        -4.5031        128.573        122.296        326.5
1972        12        -1.9123        -11.6008        91.8593        172.2839        327.55
1973        1        -2.9278        -13.212        136.8388        80.9349        328.55
1973        2        -4.3951        -16.9931        224.4351        62.6345        329.56
1973        3        6.0298        -3.9753        278.9331        80.0028        330.3
1973        4        10.5753        -0.3763        424.5664        99.3836        331.5
1973        5        16.1996        4.6817        421.6949        150.4894        332.48
1973        6        23.0915        11.0187        535.1198        204.8005        332.07
1973        7        25.8301        13.2512        546.9379        107.5023        330.87
1973        8        25.9785        14.0557        471.9179        101.1776        329.31
1973        9        18.2126        7.3282        339.7404        108.7845        327.51
1973        10        13.8061        2.3996        229.2493        74.7753        327.18
1973        11        3.688        -2.9974        125.2747        98.4817        328.16
1973        12        -0.0269        -8.8339        96.6688        206.9318        328.64
1974        1        -3.7407        -13.9405        136.8388        71.6126        329.35
1974        2        -4.5629        -16.5074        224.4351        65.8778        330.71
1974        3        1.1852        -9.9409        278.9331        103.4056        331.48
1974        4        10.6203        -1.6492        424.5664        131.6503        332.65
1974        5        14.407        3.2754        421.6949        154.4022        333.19
1974        6        22.8256        10.5148        535.1198        105.5096        332.2
1974        7        24.8122        12.7983        546.9379        166.4376        331.07
1974        8        24.5844        11.6056        471.9179        85.913        329.15
1974        9        18.478        7.4563        339.7404        106.0788        327.33
1974        10        10.0577        -1.4195        229.2493        42.2523        327.28
1974        11        4.6465        -3.4783        131.6073        114.051        328.31
1974        12        -0.205        -7.8801        93.4239        68.3407        329.58
1975        1        -1.7757        -13.0801        136.8396        71.7304        330.73
1975        2        -3.2057        -13.9297        237.2422        70.7665        331.46
1975        3        0.485        -10.3169        310.2633        88.2125        331.94
1975        4        6.1367        -4.0376        408.5015        57.4089        333.11
1975        5        21.8035        6.632        460.6701        54.6196        333.95
1975        6        22.5936        10.4719        566.6119        73.6676        333.42
1975        7        27.287        14.0612        518.4282        125.0934        331.97
1975        8        24.3995        11.909        499.195        115.7653        329.95
1975        9        17.7665        7.5185        360.9257        154.6773        328.5
1975        10        13.4571        2.9371        234.5772        116.6265        328.36
1975        11        7.7509        -1.1596        120.1062        113.3048        329.38
1975        12        -2.6162        -13.4813        96.1566        91.9314        330.62
1976        1        -6.8532        -19.7678        139.7547        111.7599        331.56
1976        2        -0.0988        -13.2742        210.4208        118.4025        332.74
1976        3        3.2186        -8.6747        335.7308        97.5638        333.36
1976        4        11.8172        0.0368        457.28        70.5508        334.74
1976        5        16.6788        3.9596        544.5385        142.2053        334.72
1976        6        24.937        12.0283        547.3746        125.6865        333.98
1976        7        23.5837        11.9105        557.9941        141.575        333.08
1976        8        23.4721        11.2915        478.5266        142.665        330.68
1976        9        18.0147        7.0764        320.3527        95.657        328.96
1976        10        10.1481        0.253        227.2347        138.491        328.72
1976        11        1.657        -4.3874        135.2466        70.5756        330.16
1976        12        -5.0951        -16.2245        104.396        77.4578        331.62
1977        1        -8.1943        -18.2195        141.3205        64.5439        332.68
1977        2        -3.466        -12.7655        201.325        61.8335        333.17
1977        3        5.843        -4.2519        315.6743        83.6842        334.96
1977        4        10.8408        -1.5928        434.6585        88.797        336.14
1977        5        20.6648        4.7912        445.6119        28.6279        336.93
1977        6        20.9467        10.097        563.1364        116.0558        336.17
1977        7        24.9442        11.7961        504.9179        63.5407        334.88
1977        8        23.454        11.6369        447.2853        139.3493        332.56
1977        9        17.6274        8.1265        362.7499        167.6489        331.29
1977        10        12.083        1.7546        211.0509        147.5984        331.28
1977        11        6.7459        -1.9053        151.6977        125.529        332.46
1977        12        -3.1874        -11.6674        123.5533        114.1264        333.6
1978        1        -5.9325        -15.8654        157.485        149.9124        334.94
1978        2        -6.4994        -19.9764        222.2816        19.5824        335.26
1978        3        -0.1304        -11.3991        312.6605        77.939        336.66
1978        4        7.7283        -3.5634        448.1501        78.5746        337.69
1978        5        20.3562        5.8757        582.2195        55.8193        338.02
1978        6        22.2646        9.9622        514.0591        189.0641        338.01
1978        7        25.7415        11.8925        530.8204        94.807        336.5
1978        8        24.4438        11.4237        442.4114        81.2619        334.42
1978        9        18.0814        4.25        301.5924        57.7231        332.36
1978        10        11.689        0.9676        199.7653        107.0207        332.45
1978        11        5.713        -5.6467        133.4474        54.8054        333.76
1978        12        -1.7723        -11.5192        110.0507        96.0514        334.91
1979        1        -4.2788        -13.9033        109.2035        159.2714        336.14
1979        2        -9.0471        -20.6417        253.1357        35.121        336.69
1979        3        5.3604        -5.0539        297.5404        75.1339        338.27
1979        4        10.1886        -0.8221        411.1107        82.0019        338.82
1979        5        18.7013        6.4573        482.0991        119.0158        339.24
1979        6        23.4996        9.4301        572.5711        65.3449        339.26
1979        7        26.6763        13.1948        581.5982        68.9705        337.54
1979        8        22.6706        11.2563        432.785        132.2144        335.72
1979        9        19.7456        6.4839        403.8408        93.157        333.97
1979        10        11.7681        2.9414        197.9323        86.7604        334.24
1979        11        8.1476        -0.7289        132.2217        93.3711        335.32
1979        12        0.3958        -8.9356        118.4817        77.0399        336.82
1980        1        -3.5863        -13.6606        159.2275        33.9219        337.9
1980        2        -5.1295        -16.5946        240.3546        26.2853        338.34
1980        3        2.1582        -9.3711        330.5288        71.3465        340.07
1980        4        11.0044        -0.2953        374.7914        82.6497        340.93
1980        5        18.6668        3.893        584.1607        48.1135        341.45
1980        6        21.4239        8.2158        531.1375        71.1135        341.36
1980        7        25.13        12.8592        491.0857        117.0023        339.45
1980        8        24.922        12.1801        465.4879        103.1354        337.67
